"t_id","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name","cov.SRR3396381","FPKM.SRR3396381","cov.SRR3396382","FPKM.SRR3396382","cov.SRR3396384","FPKM.SRR3396384","cov.SRR3396385","FPKM.SRR3396385","cov.SRR3396386","FPKM.SRR3396386","cov.SRR3396387","FPKM.SRR3396387"
21,"I","+",35155,36303,"YAL060W",1,1149,"MSTRG.9","BDH1",502.123596,319.96756,612.498718,342.432373,536.465637,284.479858,494.972107,279.949615,536.206238,277.51059,564.161865,302.243286
22,"I","-",36496,36918,"YAL059C-A",1,423,"MSTRG.10","YAL059C-A",0.63806,0.40659,0,0,1.329578,0.705056,0,0,2.010108,1.04032,0,0
23,"I","+",36509,37147,"YAL059W",1,639,"MSTRG.11","ECM1",74.16993,47.263203,88.020348,49.209923,136.468262,72.367119,237.491394,134.32196,204.038635,105.599068,142.092331,76.124352
24,"I","+",37464,38972,"YAL058W",1,1509,"MSTRG.12","CNE1",37.781639,24.075544,46.930676,26.237738,47.06543,24.958107,54.877945,31.038235,59.575256,30.832844,51.755451,27.727392
25,"I","-",38696,39046,"YAL056C-A",1,351,"MSTRG.13","YAL056C-A",10.888742,6.938619,6.565137,3.6704,10.812355,5.733633,16.697756,9.444028,13.483396,6.978257,9.568391,5.126156
26,"I","+",39259,41901,"YAL056W",1,2643,"MSTRG.14","GPB2",69.287933,44.15226,82.144531,45.924908,79.377602,42.092781,70.539536,39.896221,75.10556,38.870468,73.402191,39.324387
27,"I","+",42177,42719,"YAL055W",1,543,"MSTRG.40","PEX22",109.09024,69.515434,112.823204,63.076565,140.005524,74.242874,129.848984,73.440857,136.965012,70.885483,134.852676,72.245781
28,"I","-",42881,45022,"YAL054C",1,2142,"MSTRG.41","ACS1",19.022409,12.121625,23.069561,12.897601,20.537815,10.890903,26.553688,15.018412,23.76704,12.3005,22.339403,11.968081
29,"I","+",45899,48250,"YAL053W",1,2352,"MSTRG.23","FLC2",116.506378,74.241203,143.722366,80.351494,149.71344,79.390839,126.924744,71.786942,133.879684,69.288689,125.150932,67.04818
30,"I","+",48564,51707,"YAL051W",1,3144,"MSTRG.76","OAF1",39.152988,24.949408,42.661259,23.850817,44.038166,23.352793,37.395676,21.150496,42.430027,21.959425,43.65617,23.388296
31,"I","-",51855,52595,"YAL049C",1,741,"MSTRG.77","AIM2",136.927124,87.253891,152.785431,85.418427,165.283401,87.647362,128.276657,72.551567,145.152496,75.122871,130.199738,69.753029
32,"I","-",52801,54789,"YAL048C",1,1989,"MSTRG.78","GEM1",21.697367,13.826184,26.803167,14.984964,26.110529,13.846031,20.586483,11.64344,26.505806,13.717934,26.222027,14.048152
33,"I","+",54584,54913,"YAL047W-A",1,330,"MSTRG.79","YAL047W-A",3.811562,2.428837,3.340524,1.867601,3.328465,1.765036,2.274561,1.286461,2.489304,1.288326,0.659027,0.353066
34,"I","-",54989,56857,"YAL047C",1,1869,"MSTRG.80","SPC72",20.417336,13.010511,21.135366,11.816242,25.540932,13.543982,24.332264,13.762004,23.336544,12.0777,23.23435,12.447538
35,"I","-",57029,57385,"YAL046C",1,357,"MSTRG.81","AIM1",162.08963,103.288162,182.033615,101.770332,204.478989,108.432213,184.350143,104.265984,229.823547,118.943909,226.862747,121.539124
36,"I","-",57488,57796,"YAL045C",1,309,"MSTRG.82","YAL045C",92.182465,58.74131,162.349258,90.765312,112.681084,59.753124,173.889221,98.349426,105.820404,54.766766,151.673569,81.257385
37,"I","+",57518,57850,"YAL044W-A",1,333,"MSTRG.83","YAL044W-A",138.483932,88.245926,131.163223,73.330002,155.230957,82.316704,119.672928,67.685417,169.759872,87.858284,114.989296,61.604202
38,"I","-",57950,58462,"YAL044C",1,513,"MSTRG.84","GCV3",648.321655,413.12915,619.777771,346.501862,654.042908,346.829376,957.699829,541.662292,1163.161743,601.987915,998.173462,534.76001
39,"I","-",58695,61052,"YAL043C",1,2358,"MSTRG.85","PTA1",71.591606,45.620228,77.170906,43.144279,84.231979,44.666985,70.103905,39.649837,77.191689,39.950134,73.89695,39.589451
40,"I","-",61231,61608,"YAL042C-A",1,378,"MSTRG.86","YAL042C-A",40.683689,25.924812,48.960545,27.372587,47.078629,24.965107,52.669174,29.788982,56.113483,29.041224,51.670662,27.681969
41,"I","+",61316,62563,"YAL042W",1,1248,"MSTRG.87","ERV46",379.68338,241.945129,484.582031,270.917419,475.433685,252.115524,477.514984,270.076111,494.587433,255.970993,495.007111,265.194397
42,"I","+",62840,65404,"YAL041W",1,2565,"MSTRG.50","CDC24",65.260429,41.585815,67.039375,37.48,71.805458,38.077381,63.461594,35.893032,79.072906,40.923744,72.945808,39.079887
43,"I","-",65778,67520,"YAL040C",1,1743,"MSTRG.51","CLN3",55.250145,35.206978,53.524384,29.92411,50.864029,26.972448,65.124496,36.833546,77.28801,39.999981,72.765923,38.983513
44,"I","+",67551,68270,"MSTRG.52.1",1,720,"MSTRG.52",".",23.016668,14.666882,20.762501,11.607782,21.188889,11.236156,27.269444,15.423234,31.288891,16.193394,27.320833,14.636826
45,"I","-",68716,69525,"YAL039C",1,810,"MSTRG.16","CYC3",134.303711,85.582176,179.274078,100.227547,184.153091,97.653687,158.34198,89.556107,145.824692,75.470764,148.933334,79.78933
46,"I",".",69855,71365,"MSTRG.15.1",1,1511,"MSTRG.15",".",2.886168,1.839149,3.223031,1.801914,5.078756,2.69319,3.329583,1.883168,3.694242,1.911934,3.505625,1.878099
47,"I","+",71786,73288,"YAL038W",1,1503,"MSTRG.67","CDC19",5047.43457,3216.369873,6017.498535,3364.229492,5809.037109,3080.447266,6051.30957,3422.540039,7105.370117,3677.344971,7209.6875,3862.508057
48,"I","-",72326,73300,"YAL037C-B",1,975,"MSTRG.68","YAL037C-B",906.018799,577.341187,1048.60791,586.249817,755.263184,400.505005,1069.300903,604.782349,1019.365479,527.566956,976.445068,523.119324
49,"I","-",73426,73518,"YAL037C-A",1,93,"MSTRG.69","YAL037C-A",16.650381,10.610101,15.978495,8.933167,11.053763,5.861649,17.193548,9.724442,11.580646,5.993499,17.473118,9.361024
50,"I","+",74020,74823,"YAL037W",1,804,"MSTRG.17","YAL037W",11.496267,7.325752,9.738806,5.444717,15.667911,8.308463,16.325871,9.233695,20.81592,10.773164,18.628109,9.979796
51,"I","-",75043,76152,"YAL036C",1,1110,"MSTRG.18","RBG1",100.873871,64.279724,93.983788,52.543926,119.266678,63.245373,176.536041,99.846436,217.507202,112.569649,149.248642,79.958252
52,"I","+",76427,79435,"YAL035W",1,3009,"MSTRG.19","FUN12",187.590027,119.53775,189.830505,106.129379,242.041214,128.350906,251.965103,142.508102,326.005646,168.722427,286.069794,153.258621
53,"I","-",79489,79842,"YAL034C-B",1,354,"MSTRG.20","YAL034C-B",9.119999,5.811525,7.551163,4.221662,7.979135,4.231218,8.507998,4.812011,15.764466,8.158813,9.08757,4.868562
54,"I","+",79718,80587,"YAL034W-A",1,870,"MSTRG.21","MTW1",33.957764,21.638861,37.886269,21.181242,53.662514,28.456446,47.804459,27.037563,53.58205,27.731092,52.216091,27.974174
55,"I","-",80710,81951,"YAL034C",1,1242,"MSTRG.22","FUN19",73.844604,47.055901,69.321259,38.755741,62.910625,33.36058,46.635265,26.376286,50.04509,25.900558,55.661835,29.820192
56,"I","+",82706,83227,"YAL033W",1,522,"MSTRG.72","POP5",82.042145,52.279606,123.846741,69.23954,98.741379,52.361107,235.201157,133.026642,165.636017,85.724007,122.99234,65.891739
57,"I","-",83335,84474,"YAL032C",1,1140,"MSTRG.73","PRP45",48.029823,30.60598,53.310528,29.804552,56.799122,30.119741,49.671051,28.093283,57.052631,29.527273,63.106144,33.808395
58,"I","+",84669,84977,"YAL031W-A",1,309,"MSTRG.74","YAL031W-A",36.432392,23.215765,27.209913,15.212365,20.186949,10.704844,20.047819,11.338778,31.958031,16.539701,24.96892,13.376814
59,"I","-",84749,87031,"YAL031C",1,2283,"MSTRG.75","GIP4",48.143219,30.678242,62.056065,34.693954,58.53878,31.042255,51.962719,29.389421,56.534328,29.259029,57.491802,30.800579
60,"I","+",87286,87752,"YAL030W",2,354,"MSTRG.34","SNC1",419.158173,267.099609,540.290955,302.062836,560.533875,297.242889,353.641266,200.014786,369.480225,191.222458,398.217529,213.3405
61,"I","-",87855,92270,"YAL029C",1,4416,"MSTRG.35","MYO4",37.117752,23.652496,34.815216,19.464296,37.314766,19.787472,39.497963,22.33952,47.892662,24.786581,40.584011,21.742422
62,"I","+",92900,94486,"YAL028W",1,1587,"MSTRG.42","FRT2",37.779457,24.074152,37.90107,21.189518,39.591053,20.994555,24.204159,13.689549,26.164461,13.541272,29.783869,15.956368
63,"I","+",94687,95472,"YAL027W",1,786,"MSTRG.43","SAW1",49.085243,31.278524,71.150124,39.778214,65.755722,34.869293,61.716282,34.905907,66.753181,34.547741,63.411011,33.971725
64,"I","-",95386,95823,"YAL026C-A",1,438,"MSTRG.44","YAL026C-A",20.484814,13.053511,0.521935,0.2918,0.614739,0.325987,0.721952,0.408326,17.497602,9.055787,24.232885,12.982492
65,"I","-",95630,99697,"YAL026C",1,4068,"MSTRG.44","DRS2",43.132523,27.485281,45.967133,25.699045,47.44952,25.161783,46.043007,26.041309,48.543346,25.123341,47.586899,25.494137
66,"I","+",99305,99868,"HRA1",1,564,"MSTRG.45","HRA1",7.133238,4.545504,9.677936,5.410686,10.342444,5.484447,7.384621,4.176643,9.876892,5.111731,10.80396,5.788098
67,"I","-",100225,101145,"YAL025C",1,921,"MSTRG.65","MAK16",83.77198,53.381908,80.48317,44.996082,119.672096,63.460358,185.579803,104.961456,210.499466,108.942833,145.02388,77.694885
68,"I","-",101565,105872,"YAL024C",1,4308,"MSTRG.66","LTE1",11.909239,7.588909,10.66597,5.96307,12.363277,6.556065,13.102136,7.410393,14.438486,7.472558,14.954967,8.011953
69,"I","-",106272,108551,"YAL023C",1,2280,"MSTRG.24","PMT2",227.182449,144.767166,254.945618,142.533569,275.205688,145.937546,286.810089,162.215958,321.654388,166.470459,330.750885,177.196014
70,"I","-",108877,110430,"YAL022C",1,1554,"MSTRG.62","FUN26",77.305016,49.260971,94.302444,52.722084,96.573357,51.211437,95.154442,53.818081,96.833336,50.115559,92.877731,49.758186
71,"I","-",110846,113359,"YAL021C",1,2514,"MSTRG.33","CCR4",90.163879,57.455009,99.243042,55.484241,95.822197,50.813107,96.219574,54.420506,118.793556,61.480949,103.408516,55.399933
72,"I","-",113614,114615,"YAL020C",1,1002,"MSTRG.46","ATS1",85.280205,54.342991,103.820168,58.043198,116.602005,61.832333,129.811005,73.419373,112.906578,58.434174,93.071037,49.861748
73,"I","+",114250,114819,"YAL019W-A",1,570,"MSTRG.47","YAL019W-A",18.700907,11.916754,17.135611,9.580081,13.67087,7.249462,19.675171,11.128015,4.774894,2.47122,21.435673,11.483917
74,"I","+",114919,118314,"YAL019W",1,3396,"MSTRG.48","FUN30",27.89193,17.773537,31.963192,17.869802,34.405773,18.244877,34.359539,19.433298,47.685513,24.679375,34.945522,18.721666
75,"I","-",118564,119541,"YAL018C",1,978,"MSTRG.49","LDS1",0,0,0,0,0.579755,0.307436,0,0,0,0,0,0
76,"I","+",120225,124295,"YAL017W",1,4071,"MSTRG.63","PSK1",47.839108,30.484453,61.372143,34.311592,55.561531,29.463465,42.31147,23.930803,47.597397,24.63377,50.519527,27.06526
77,"I","-",124307,124492,"YAL016C-B",1,186,"MSTRG.64","YAL016C-B",14.982387,9.547207,37.827957,21.148642,29.045008,15.402143,18.752687,10.606271,21.505377,11.129989,18.290323,9.798832
78,"I","-",124755,125069,"YAL016C-A",1,315,"MSTRG.53","YAL016C-A",56.160034,35.786785,73.960114,41.349205,60.887711,32.287861,67.847908,38.373875,75.778946,39.218975,65.06813,34.859509
79,"I","+",124879,126786,"YAL016W",1,1908,"MSTRG.54","TPD3",155.551132,99.121643,162.72644,90.976189,166.759857,88.430305,170.149933,96.234535,181.058105,93.705627,186.761963,100.055595
80,"I","-",126903,128102,"YAL015C",1,1200,"MSTRG.55","NTG1",64.673332,41.211704,86.144165,48.160995,88.455833,46.90683,75.765839,42.85215,78.998337,40.885155,80.056664,42.889446
81,"I","-",128252,129019,"YAL014C",1,768,"MSTRG.56","SYN8",121.570312,77.468086,122.050781,68.235466,133.326828,70.701263,128.673172,72.775826,133.169266,68.921021,147.916672,79.244667
82,"I","+",129270,130487,"YAL013W",1,1218,"MSTRG.57","DEP1",88.055008,56.111176,97.143677,54.310543,111.614937,59.187763,76.290642,43.148968,100.150246,51.832207,106.465515,57.037685
83,"I","+",130799,131983,"YAL012W",1,1185,"MSTRG.58","CYS3",237.045563,151.052231,255.252304,142.705032,268.27594,142.262802,377.233765,213.358383,419.818573,217.27478,403.726593,216.291916
84,"I","+",132199,134076,"YAL011W",1,1878,"MSTRG.59","SWC3",34.421726,21.934511,39.447815,22.054262,48.244942,25.583584,37.965919,21.473017,44.736423,23.153088,44.536209,23.859766
85,"I","-",134184,135665,"YAL010C",1,1482,"MSTRG.60","MDM10",29.410931,18.741489,36.077599,20.170061,39.682861,21.04324,40.312416,22.800163,42.977058,22.242538,41.466263,22.215076
86,"I","+",135854,136633,"YAL009W",1,780,"MSTRG.61","SPO7",105.055138,66.944145,115.197426,64.403931,124.79615,66.177567,97.397438,55.086693,95.655128,49.505779,96.801285,51.860184
87,"I","+",136914,137510,"YAL008W",1,597,"MSTRG.36","FUN14",209.8526,133.724091,245.651596,137.337524,248.061996,131.54364,221.882751,125.493919,210.365158,108.873322,229.343369,122.868088
88,"I","-",137698,138345,"YAL007C",1,648,"MSTRG.37","ERP2",250.484573,159.615952,330.804016,184.944046,343.535492,182.171829,375.38736,212.314087,397.25,205.594543,402.205261,215.476868
89,"I","+",139152,139254,"tP(UGG)A",2,72,"tP(UGG)A","TRN1",0,0,0,0,0,0,0,0,0,0,0,0
90,"I","-",139503,141431,"YAL005C",1,1929,"MSTRG.38","SSA1",1999.796753,1274.327759,2725.22583,1523.604004,2527.216797,1340.145996,2277.015869,1287.849731,2233.963623,1156.175537,2331.659668,1249.160156
91,"I","+",140760,141407,"YAL004W",1,648,"MSTRG.39","YAL004W",0,0,0,0,0,0,0,0,0,0,0,0
92,"I","+",142174,143160,"YAL003W",2,621,"MSTRG.70","EFB1",2788.77124,1777.084961,2792.539307,1561.237183,3260.726562,1729.115479,3736.402588,2113.259521,4353.130859,2252.938721,3835.488037,2054.819092
93,"I","+",142367,142468,"snR18",1,102,"MSTRG.71","snR18",65.803925,41.932148,103.529411,57.880646,124.5,66.020523,140.862747,79.670097,119.519608,61.856712,149.15686,79.909081
94,"I","+",143707,147531,"YAL002W",1,3825,"MSTRG.88","VPS8",32.198692,20.517931,37.496471,20.963318,39.927319,21.172873,30.061174,17.002199,34.415947,17.811783,30.001045,16.072718
95,"I","-",147594,151166,"MSTRG.89.1",2,3466,"MSTRG.89",".",27.093744,17.26491,38.491043,21.519356,0,0,7.535464,4.261958,28.314989,14.654265,25.366404,13.589761
96,"I","-",147594,151166,"YAL001C",2,3483,"MSTRG.89","TFC3",25.213919,16.067032,21.688789,12.125647,59.894054,31.760939,41.963558,23.734028,23.638882,12.234173,29.063465,15.57042
97,"I","+",152257,153876,"YAR002W",1,1620,"MSTRG.90","NUP60",96.30864,61.370628,105.801231,59.150757,117.951233,62.54781,109.264816,61.798721,120.59259,62.412029,118.909874,63.704605
98,"I","-",154065,154724,"YAR002C-A",1,660,"MSTRG.91","ERP1",456.136353,290.663177,576.881836,322.519867,612.69397,324.902618,611.453003,345.829651,684.39093,354.202759,622.875732,333.698547
99,"I","+",155005,156285,"YAR003W",1,1281,"MSTRG.92","SWD1",89.651054,57.128223,108.359879,60.581234,118.449646,62.812111,97.092117,54.914005,100.257614,51.887772,92.574554,49.595764
100,"I","-",156754,158619,"YAR007C",1,1866,"MSTRG.93","RFA1",110.016617,70.105743,134.465164,75.176033,141.37674,74.970009,121.785637,68.880333,139.146301,72.014397,144.195602,77.251144
101,"I","+",158966,159793,"YAR008W",1,828,"MSTRG.96","SEN34",43.832127,27.931089,53.542271,29.934113,65.352654,34.655556,94.730667,53.5784,97.752411,50.591217,73.878021,39.579308
102,"I","+",160032,166515,"MSTRG.97.1",2,896,"MSTRG.97",".",20.993179,13.377456,29.169836,16.308109,25.93203,13.751375,37.190208,21.034286,32.587578,16.86552,24.393684,13.068639
103,"I","-",160597,164187,"YAR009C",1,3591,"MSTRG.98","YAR009C",29.207958,18.612148,29.781994,16.650351,30.786259,16.325502,37.175678,21.026068,46.792778,24.217344,40.694866,21.801809
104,"I","-",164544,165866,"YAR010C",1,1323,"MSTRG.99","YAR010C",38.234676,24.364233,47.982616,26.825851,51.91473,27.529621,53.13604,30.053036,57.265766,29.637581,53.439213,28.62945
105,"I","+",166267,166339,"tA(UGC)A",1,73,"MSTRG.97","TGA1",0.353425,0.225213,0.478082,0.267283,0.403131,0.213774,0.297456,0.168237,0.351027,0.181672,0.248532,0.133148
106,"I","-",166742,168871,"YAR014C",1,2130,"MSTRG.100","BUD14",69.084038,44.022331,77.212204,43.167366,83.703285,44.386623,83.975121,47.495209,100.138969,51.82637,83.452583,44.708771
107,"I","+",169375,170295,"YAR015W",1,921,"MSTRG.94","ADE1",367.652557,234.278763,309.715515,173.154007,364.062988,193.057266,685.601501,387.76709,912.50708,472.263,751.587402,402.654388
108,"I","-",170396,171703,"YAR018C",1,1308,"MSTRG.95","KIN3",71.448776,45.529205,83.124619,46.472847,90.297401,47.883389,69.113914,39.089909,74.409019,38.509975,78.409782,42.007149
109,"I","-",172211,175135,"YAR019C",1,2925,"MSTRG.101","CDC15",18.620512,11.865524,20.485916,11.453152,22.160307,11.751286,18.2868,10.342771,18.832508,9.746661,17.621069,9.440288
110,"I","+",174998,175330,"YAR019W-A",1,333,"MSTRG.102","YAR019W-A",1.570571,1.000813,2.52487,1.41159,1.285596,0.681733,2.655118,1.501699,1.61236,0.834468,1.247373,0.668266
111,"I","-",175343,176217,"MSTRG.103.1",1,875,"MSTRG.103",".",20.10743,12.813031,17.861713,9.986027,21.022858,11.148113,20.339428,11.503709,24.651428,12.75821,19.033142,10.196788
112,"I","-",176856,177023,"YAR020C",1,168,"MSTRG.104","PAU7",37.291668,23.763321,37.815475,21.141665,32.32143,17.13958,31.440475,17.782314,22.738094,11.767975,27.839285,14.914579
113,"I","-",179281,179820,"YAR023C",1,540,"MSTRG.105","YAR023C",29.82037,19.002394,33.709259,18.845984,27.861111,14.774339,35.918518,20.315033,34.772221,17.996172,31.729628,16.998785
114,"I","+",181141,181254,"tL(CAA)A",2,82,"MSTRG.107","SUP56",0,0,0,0,0,0,0,0,0,0,0,0
115,"I","+",181152,183549,"MSTRG.107.2",1,2398,"MSTRG.107",".",8.702882,5.545726,13.203948,7.381989,11.15636,5.916054,11.657753,6.59347,13.424171,6.947606,10.400576,5.57199
116,"I","-",182522,182603,"tS(AGA)A",1,82,"MSTRG.108","tS(AGA)A",0,0,0,0,0,0,0,0,0,0,0,0
117,"I","+",183770,184477,"YAR027W",1,708,"MSTRG.109","UIP3",232.145477,147.929749,314.151123,175.633835,298.865814,158.484161,244.164551,138.096222,241.05365,124.755981,258.153961,138.30304
118,"I","+",184892,185596,"YAR028W",1,705,"MSTRG.106","YAR028W",52.88369,33.699005,70.965958,39.675251,62.120567,32.941628,63.053905,35.662449,62.651058,32.424709,62.706383,33.594227
119,"I","+",186321,186545,"YAR029W",1,225,"MSTRG.110","YAR029W",31.799999,20.26387,38.075554,21.287067,42.062222,22.304979,30.306667,17.141047,36.542221,18.912226,38.599998,20.67951
120,"I","-",186512,186853,"YAR030C",1,342,"MSTRG.111","YAR030C",21.742689,13.855064,24.257313,13.561643,20.032164,10.622763,11.090643,6.27272,11.979532,6.199941,13.614035,7.293564
121,"I","+",186836,187732,"YAR031W",1,897,"MSTRG.112","PRM9",34.897995,22.238003,38.562431,21.559267,38.380714,20.352732,38.232998,21.624073,45.758083,23.681843,44.308807,23.737938
122,"I","+",188107,188811,"YAR033W",1,705,"MSTRG.113","MST28",42.603546,27.148201,53.995739,30.187634,50.551773,26.806864,57.781559,32.680481,65.151062,33.718571,59.774467,32.023491
123,"I","+",190193,192256,"YAR035W",1,2064,"MSTRG.115","YAT1",14.278585,9.098724,17.185078,9.607737,21.251938,11.269591,21.16279,11.969393,18.238857,9.43942,18.024225,9.656273
124,"I","-",192337,192417,"YAR035C-A",1,81,"MSTRG.116","YAR035C-A",0.641975,0.409085,3.197531,1.787658,1.222222,0.648126,2.08642,1.180051,0.333333,0.172515,1.604939,0.859828
125,"I","+",192619,196185,"YAR042W",1,3567,"MSTRG.117","SWH1",38.374264,24.453182,44.499023,24.878263,47.478554,25.177181,44.276142,25.041996,56.302494,29.139044,50.725819,27.175779
126,"I",".",200062,200512,"MSTRG.114.1",1,451,"MSTRG.114",".",3.359202,2.14058,5.27051,2.946607,6.394679,3.391005,10.04878,5.683456,4.725055,2.445426,5.383592,2.884198
127,"I","-",201467,201787,"YAR047C",1,321,"MSTRG.120","YAR047C",2.193146,1.397536,2.420561,1.353274,5.00623,2.65473,1.158878,0.655446,3.323987,1.720311,6.087227,3.261162
128,"I","+",201846,208016,"MSTRG.121.1",3,5496,"MSTRG.121",".",3.51447,2.239521,1.618977,0.905129,1.562175,0.828398,1.57224,0.889238,2.704582,1.399741,3.104479,1.663189
129,"I","+",203403,208016,"YAR050W",1,4614,"MSTRG.121","FLO1",1.696851,1.081282,2.809658,1.570808,3.457161,1.833282,4.452311,2.518168,4.336132,2.244141,2.705096,1.449224
130,"I","+",208367,208663,"YAR053W",1,297,"MSTRG.118","YAR053W",11.053872,7.043844,7.259259,4.058466,7.720539,4.094089,14.602694,8.259089,13.670033,7.07485,6.658249,3.567081
131,"I",".",209943,212072,"MSTRG.119.1",1,2130,"MSTRG.119",".",3.714085,2.366722,3.800939,2.125008,4.347652,2.305496,2.825352,1.597981,3.250391,1.682222,3.897418,2.087997
132,"I","-",217157,217492,"YAR060C",1,336,"MSTRG.122","YAR060C",1.758929,1.12084,4.755952,2.658931,2.424107,1.285468,4.247024,2.40206,2.526786,1.307724,3.528274,1.890233
133,"I","+",218140,218343,"YAR061W",1,204,"MSTRG.123","YAR061W",1.855392,1.182309,5.911765,3.305116,3.324346,1.762852,3.143791,1.778086,5.448529,2.819856,2.003268,1.073228
134,"I","+",218549,219145,"YAR062W",1,597,"MSTRG.124","YAR062W",3.192909,2.034613,2.298157,1.284841,3.296762,1.748225,1.680067,0.950223,2.58794,1.339374,3.712731,1.989053
135,"I","+",220198,220497,"YAR064W",1,300,"YAR064W","YAR064W",3.15,2.00727,2.068333,1.156352,5.068333,2.687663,4.991667,2.82322,6.481667,3.354551,2.656667,1.423279
136,"I","+",221049,221660,"YAR066W",1,612,"MSTRG.125","YAR066W",36.184639,23.057888,43.825165,24.501528,50.699345,26.88512,39.02124,22.069893,52.212418,27.022247,44.333332,23.751076
137,"I","+",222406,222891,"YAR068W",1,486,"MSTRG.126","YAR068W",60.760288,38.718201,63.898148,35.72382,61.831276,32.788219,60.988682,34.494385,76.177979,39.425491,60.042183,32.166916
138,"I","+",223257,223496,"MSTRG.127.1",1,240,"MSTRG.127",".",20.379168,12.98619,28.852083,16.130461,22.447916,11.9038,32.283333,18.259022,28.56875,14.785599,25.13125,13.46378
139,"I","-",224011,224304,"YAR069C",1,294,"MSTRG.128","YAR069C",0.414966,0.264428,0.668367,0.373667,1.355442,0.718771,1.802721,1.019595,1.715986,0.888099,1.615646,0.865564
140,"I","-",224563,224862,"YAR070C",1,300,"YAR070C","YAR070C",0.043333,0.027613,1.748333,0.977448,1.965,1.042011,1.381667,0.781452,2.175,1.125659,1.341667,0.718783
