"","ID","Description","Count","GeneRatio","geneID"
"GO:0005615","GO:0005615","extracellular space",39,"39/157","3801/23491/230/342510/284217/682/10272/1675/2788/11140/23646/7040/4924/56886/92747/3083/10067/10396/56477/9555/2162/629/5167/85477/57509/90865/152007/10592/7295/3698/240/65217/10410/3481/5499/54827/10163/7450/196374"
"GO:0031224","GO:0031224","intrinsic component of membrane",39,"39/157","10595/343/9914/10462/57125/342510/8174/682/79085/51257/10715/23646/79623/7109/6529/6533/10067/10396/152519/80157/115350/5734/9522/10050/5167/7036/8793/157378/646962/65217/219623/23352/10410/5002/163702/4035/65012/348013/3895"
"GO:0043228","GO:0043228","non-membrane-bounded organelle",36,"36/157","3801/9851/230/85294/29128/79980/5435/27341/11073/8419/55153/8470/9555/134265/3662/51567/3006/4172/85477/79027/136332/57509/7994/10171/90865/10592/7739/23352/24138/79703/5499/408/91544/10163/196374/7443"
"GO:0043230","GO:0043230","extracellular organelle",30,"30/157","3801/23491/230/342510/682/1675/2788/11140/23646/4924/56886/92747/10067/10396/56477/9555/629/85477/152007/10592/7295/3698/65217/10410/3481/5499/54827/10163/7450/196374"
"GO:0031090","GO:0031090","organelle membrane",28,"28/157","3801/23035/9914/729873/682/79085/51257/10715/4924/79623/7109/9609/129049/2779/57732/10396/9522/10590/6293/5167/10466/157378/152007/240/23352/10410/408/4035"
"GO:0044459","GO:0044459","plasma membrane part",21,"21/157","343/23035/682/2788/64130/6529/6533/2779/8470/10050/5167/7036/8793/65217/24138/5002/163702/408/4035/65012/3895"
"GO:0042995","GO:0042995","cell projection",20,"20/157","23035/57125/10272/7040/64130/6295/6529/2779/8470/134265/10590/85477/136332/65217/24138/10612/5499/408/10163/4035"
"GO:0097458","GO:0097458","neuron part",15,"15/157","23035/57125/10272/7040/64130/6295/6529/2779/9522/10590/65217/10612/5499/408/4035"
"GO:0098805","GO:0098805","whole membrane",13,"13/157","729873/682/51257/57732/10396/9522/10590/6293/5167/23352/10410/408/4035"
"GO:1902494","GO:1902494","catalytic complex",12,"12/157","2788/5435/2779/56893/9555/4172/7994/24138/8945/5499/408/83667"
"GO:0044463","GO:0044463","cell projection part",12,"12/157","23035/57125/10272/6295/2779/10590/65217/24138/10612/5499/408/4035"
"GO:0098590","GO:0098590","plasma membrane region",10,"10/157","23035/64130/2779/8470/10050/5167/24138/5002/408/4035"
"GO:0098796","GO:0098796","membrane protein complex",8,"8/157","10595/2788/64130/2779/7036/163702/408/4035"
"GO:0005789","GO:0005789","endoplasmic reticulum membrane",7,"7/157","10595/51257/10715/23646/56893/9840/3895"
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",7,"7/157","10595/51257/10715/23646/56893/9840/3895"
"GO:0070161","GO:0070161","anchoring junction",7,"7/157","3801/682/64130/8470/7739/5499/4035"
"GO:0005911","GO:0005911","cell-cell junction",6,"6/157","3801/57125/64130/157378/5499/10163"
"GO:0045177","GO:0045177","apical part of cell",6,"6/157","343/2779/8470/10050/24138/5002"
"GO:0099081","GO:0099081","supramolecular polymer",6,"6/157","3801/85294/8419/8470/57509/196374"
"GO:0032993","GO:0032993","protein-DNA complex",5,"5/157","9555/3662/3006/4172/7994"
"GO:0044815","GO:0044815","DNA packaging complex",5,"5/157","9555/3662/3006/7994/10592"
"GO:0098552","GO:0098552","side of membrane",5,"5/157","2788/4924/2779/7036/408"
"GO:0009986","GO:0009986","cell surface",5,"5/157","7040/6529/115350/5167/7036"
"GO:0044297","GO:0044297","cell body",5,"5/157","57125/7040/2779/5499/4035"
"GO:0044456","GO:0044456","synapse part",5,"5/157","64130/9522/10590/5499/408"
"GO:0030055","GO:0030055","cell-substrate junction",4,"4/157","682/8470/7739/4035"
"GO:0043235","GO:0043235","receptor complex",4,"4/157","57125/7036/163702/4035"
"GO:0005929","GO:0005929","cilium",4,"4/157","23035/6295/2779/65217"
"GO:0031012","GO:0031012","extracellular matrix",4,"4/157","146547/284217/7040/7450"
"GO:0072562","GO:0072562","blood microparticle",4,"4/157","7040/2162/629/3698"
"GO:0044441","GO:0044441","ciliary part",4,"4/157","23035/6295/2779/65217"
"GO:0019898","GO:0019898","extrinsic component of membrane",4,"4/157","2788/4924/2779/408"
"GO:0031975","GO:0031975","envelope",4,"4/157","79085/157378/240/5002"
"GO:0099023","GO:0099023","tethering complex",3,"3/157","7109/6293/10466"
"GO:0098793","GO:0098793","presynapse",3,"3/157","64130/9522/10590"
"GO:0098794","GO:0098794","postsynapse",3,"3/157","64130/5499/408"
"GO:0031252","GO:0031252","cell leading edge",3,"3/157","8470/24138/10163"
"GO:0002102","GO:0002102","podosome",2,"2/157","134265/85477"
"GO:0101031","GO:0101031","chaperone complex",2,"2/157","10693/11140"
"GO:0099572","GO:0099572","postsynaptic specialization",2,"2/157","64130/408"
"GO:0005905","GO:0005905","clathrin-coated pit",2,"2/157","408/4035"
"GO:0097060","GO:0097060","synaptic membrane",2,"2/157","64130/408"
"GO:0097223","GO:0097223","sperm part",2,"2/157","682/136332"
"GO:0098862","GO:0098862","cluster of actin-based cell projections",2,"2/157","85477/65217"
"GO:0098984","GO:0098984","neuron to neuron synapse",2,"2/157","64130/408"
"GO:0098589","GO:0098589","membrane region",1,"1/157","682"
"GO:0000444","GO:0000444","MIS12/MIND type complex",1,"1/157","79980"
"GO:0000776","GO:0000776","kinetochore",1,"1/157","79980"
"GO:0000939","GO:0000939","condensed chromosome inner kinetochore",1,"1/157","79980"
"GO:0005875","GO:0005875","microtubule associated complex",1,"1/157","3801"
"GO:0008180","GO:0008180","COP9 signalosome",1,"1/157","9840"
"GO:0017053","GO:0017053","transcriptional repressor complex",1,"1/157","7704"
"GO:0031209","GO:0031209","SCAR complex",1,"1/157","10163"
"GO:0031519","GO:0031519","PcG protein complex",1,"1/157","9555"
"GO:0031932","GO:0031932","TORC2 complex",1,"1/157","83667"
"GO:0032545","GO:0032545","CURI complex",1,"1/157","27341"
"GO:0034456","GO:0034456","UTP-C complex",1,"1/157","27341"
"GO:0035859","GO:0035859","Seh1-associated complex",1,"1/157","83667"
"GO:0042555","GO:0042555","MCM complex",1,"1/157","4172"
"GO:0043256","GO:0043256","laminin complex",1,"1/157","284217"
"GO:0061700","GO:0061700","GATOR2 complex",1,"1/157","83667"
"GO:1990391","GO:1990391","DNA repair complex",1,"1/157","5378"
"GO:1990745","GO:1990745","EARP complex",1,"1/157","6293"
"GO:1990904","GO:1990904","ribonucleoprotein complex",1,"1/157","27341"
"GO:0044420","GO:0044420","extracellular matrix component",1,"1/157","284217"
"GO:0045171","GO:0045171","intercellular bridge",1,"1/157","2948"
"GO:0032420","GO:0032420","stereocilium",1,"1/157","65217"
"GO:0044449","GO:0044449","contractile fiber part",1,"1/157","8470"
"GO:0098576","GO:0098576","lumenal side of membrane",1,"1/157","4924"
"GO:0008021","GO:0008021","synaptic vesicle",1,"1/157","9522"
"GO:0030672","GO:0030672","synaptic vesicle membrane",1,"1/157","9522"
"GO:0008287","GO:0008287","protein serine/threonine phosphatase complex",1,"1/157","5499"
"GO:0005628","GO:0005628","prospore membrane",0,"0/157",""
"GO:0019867","GO:0019867","outer membrane",0,"0/157",""
"GO:0034357","GO:0034357","photosynthetic membrane",0,"0/157",""
"GO:0036362","GO:0036362","ascus membrane",0,"0/157",""
"GO:0048475","GO:0048475","coated membrane",0,"0/157",""
"GO:0055036","GO:0055036","virion membrane",0,"0/157",""
"GO:1990578","GO:1990578","perinuclear endoplasmic reticulum membrane",0,"0/157",""
"GO:0043083","GO:0043083","synaptic cleft",0,"0/157",""
"GO:0048046","GO:0048046","apoplast",0,"0/157",""
"GO:0098595","GO:0098595","perivitelline space",0,"0/157",""
"GO:0099544","GO:0099544","perisynaptic space",0,"0/157",""
"GO:0039642","GO:0039642","virion nucleoid",0,"0/157",""
"GO:0042645","GO:0042645","mitochondrial nucleoid",0,"0/157",""
"GO:0042646","GO:0042646","plastid nucleoid",0,"0/157",""
"GO:0043590","GO:0043590","bacterial nucleoid",0,"0/157",""
"GO:0044777","GO:0044777","single-stranded DNA-binding protein complex",0,"0/157",""
"GO:0044423","GO:0044423","virion part",0,"0/157",""
"GO:0061466","GO:0061466","plasma membrane part of cell junction",0,"0/157",""
"GO:0120118","GO:0120118","flagella connector",0,"0/157",""
"GO:0000133","GO:0000133","polarisome",0,"0/157",""
"GO:0000346","GO:0000346","transcription export complex",0,"0/157",""
"GO:0000347","GO:0000347","THO complex",0,"0/157",""
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/157",""
"GO:0000417","GO:0000417","HIR complex",0,"0/157",""
"GO:0000439","GO:0000439","core TFIIH complex",0,"0/157",""
"GO:0000797","GO:0000797","condensin core heterodimer",0,"0/157",""
"GO:0000808","GO:0000808","origin recognition complex",0,"0/157",""
"GO:0000817","GO:0000817","COMA complex",0,"0/157",""
"GO:0000930","GO:0000930","gamma-tubulin complex",0,"0/157",""
"GO:0000940","GO:0000940","condensed chromosome outer kinetochore",0,"0/157",""
"GO:0000974","GO:0000974","Prp19 complex",0,"0/157",""
"GO:0001114","GO:0001114","protein-DNA-RNA complex",0,"0/157",""
"GO:0001534","GO:0001534","radial spoke",0,"0/157",""
"GO:0001535","GO:0001535","radial spoke head",0,"0/157",""
"GO:0001536","GO:0001536","radial spoke stalk",0,"0/157",""
"GO:0002096","GO:0002096","polkadots",0,"0/157",""
"GO:0002111","GO:0002111","BRCA2-BRAF35 complex",0,"0/157",""
"GO:0002133","GO:0002133","polycystin complex",0,"0/157",""
"GO:0002142","GO:0002142","stereocilia ankle link complex",0,"0/157",""
"GO:0002144","GO:0002144","cytosolic tRNA wobble base thiouridylase complex",0,"0/157",""
"GO:0002167","GO:0002167","VRK3/VHR/ERK complex",0,"0/157",""
"GO:0002193","GO:0002193","MAML1-RBP-Jkappa- ICN1 complex",0,"0/157",""
"GO:0002199","GO:0002199","zona pellucida receptor complex",0,"0/157",""
"GO:0002929","GO:0002929","MECO complex",0,"0/157",""
"GO:0005581","GO:0005581","collagen trimer",0,"0/157",""
"GO:0005577","GO:0005577","fibrinogen complex",0,"0/157",""
"GO:0005601","GO:0005601","classical-complement-pathway C3/C5 convertase complex",0,"0/157",""
"GO:0005602","GO:0005602","complement component C1 complex",0,"0/157",""
"GO:0005616","GO:0005616","larval serum protein complex",0,"0/157",""
"GO:0005643","GO:0005643","nuclear pore",0,"0/157",""
"GO:0005663","GO:0005663","DNA replication factor C complex",0,"0/157",""
"GO:0005662","GO:0005662","DNA replication factor A complex",0,"0/157",""
"GO:0005667","GO:0005667","transcription factor complex",0,"0/157",""
"GO:0005731","GO:0005731","nucleolus organizer region",0,"0/157",""
"GO:0005831","GO:0005831","steroid hormone aporeceptor complex",0,"0/157",""
"GO:0005833","GO:0005833","hemoglobin complex",0,"0/157",""
"GO:0005835","GO:0005835","fatty acid synthase complex",0,"0/157",""
"GO:0005838","GO:0005838","proteasome regulatory particle",0,"0/157",""
"GO:0005839","GO:0005839","proteasome core complex",0,"0/157",""
"GO:0005849","GO:0005849","mRNA cleavage factor complex",0,"0/157",""
"GO:0005850","GO:0005850","eukaryotic translation initiation factor 2 complex",0,"0/157",""
"GO:0005851","GO:0005851","eukaryotic translation initiation factor 2B complex",0,"0/157",""
"GO:0005852","GO:0005852","eukaryotic translation initiation factor 3 complex",0,"0/157",""
"GO:0005853","GO:0005853","eukaryotic translation elongation factor 1 complex",0,"0/157",""
"GO:0005854","GO:0005854","nascent polypeptide-associated complex",0,"0/157",""
"GO:0005861","GO:0005861","troponin complex",0,"0/157",""
"GO:0005885","GO:0005885","Arp2/3 protein complex",0,"0/157",""
"GO:0005931","GO:0005931","axonemal nexin link",0,"0/157",""
"GO:0005952","GO:0005952","cAMP-dependent protein kinase complex",0,"0/157",""
"GO:0005954","GO:0005954","calcium- and calmodulin-dependent protein kinase complex",0,"0/157",""
"GO:0005956","GO:0005956","protein kinase CK2 complex",0,"0/157",""
"GO:0008023","GO:0008023","transcription elongation factor complex",0,"0/157",""
"GO:0008074","GO:0008074","guanylate cyclase complex, soluble",0,"0/157",""
"GO:0008278","GO:0008278","cohesin complex",0,"0/157",""
"GO:0008290","GO:0008290","F-actin capping protein complex",0,"0/157",""
"GO:0016281","GO:0016281","eukaryotic translation initiation factor 4F complex",0,"0/157",""
"GO:0008537","GO:0008537","proteasome activator complex",0,"0/157",""
"GO:0008540","GO:0008540","proteasome regulatory particle, base subcomplex",0,"0/157",""
"GO:0008541","GO:0008541","proteasome regulatory particle, lid subcomplex",0,"0/157",""
"GO:0009327","GO:0009327","NAD(P)+ transhydrogenase complex (AB-specific)",0,"0/157",""
"GO:0009330","GO:0009330","DNA topoisomerase complex (ATP-hydrolyzing)",0,"0/157",""
"GO:0009337","GO:0009337","sulfite reductase complex (NADPH)",0,"0/157",""
"GO:0009340","GO:0009340","DNA topoisomerase IV complex",0,"0/157",""
"GO:0009344","GO:0009344","nitrite reductase complex [NAD(P)H]",0,"0/157",""
"GO:0009346","GO:0009346","citrate lyase complex",0,"0/157",""
"GO:0009356","GO:0009356","aminodeoxychorismate synthase complex",0,"0/157",""
"GO:0009366","GO:0009366","enterobactin synthetase complex",0,"0/157",""
"GO:0009368","GO:0009368","endopeptidase Clp complex",0,"0/157",""
"GO:0010316","GO:0010316","pyrophosphate-dependent phosphofructokinase complex",0,"0/157",""
"GO:0010317","GO:0010317","pyrophosphate-dependent phosphofructokinase complex, alpha-subunit complex",0,"0/157",""
"GO:0010318","GO:0010318","pyrophosphate-dependent phosphofructokinase complex, beta-subunit complex",0,"0/157",""
"GO:0015627","GO:0015627","type II protein secretion system complex",0,"0/157",""
"GO:0034081","GO:0034081","polyketide synthase complex",0,"0/157",""
"GO:0016272","GO:0016272","prefoldin complex",0,"0/157",""
"GO:0016459","GO:0016459","myosin complex",0,"0/157",""
"GO:0016592","GO:0016592","mediator complex",0,"0/157",""
"GO:0017101","GO:0017101","aminoacyl-tRNA synthetase multienzyme complex",0,"0/157",""
"GO:0017102","GO:0017102","methionyl glutamyl tRNA synthetase complex",0,"0/157",""
"GO:0017177","GO:0017177","glucosidase II complex",0,"0/157",""
"GO:0018444","GO:0018444","translation release factor complex",0,"0/157",""
"GO:0019008","GO:0019008","molybdopterin synthase complex",0,"0/157",""
"GO:0019035","GO:0019035","viral integration complex",0,"0/157",""
"GO:0019036","GO:0019036","viral transcriptional complex",0,"0/157",""
"GO:0019197","GO:0019197","phosphoenolpyruvate-dependent sugar phosphotransferase complex",0,"0/157",""
"GO:0019773","GO:0019773","proteasome core complex, alpha-subunit complex",0,"0/157",""
"GO:0019774","GO:0019774","proteasome core complex, beta-subunit complex",0,"0/157",""
"GO:0019814","GO:0019814","immunoglobulin complex",0,"0/157",""
"GO:0022623","GO:0022623","proteasome-activating nucleotidase complex",0,"0/157",""
"GO:0022624","GO:0022624","proteasome accessory complex",0,"0/157",""
"GO:0030014","GO:0030014","CCR4-NOT complex",0,"0/157",""
"GO:0030015","GO:0030015","CCR4-NOT core complex",0,"0/157",""
"GO:0030076","GO:0030076","light-harvesting complex",0,"0/157",""
"GO:0030080","GO:0030080","B875 antenna complex",0,"0/157",""
"GO:0030081","GO:0030081","B800-820 antenna complex",0,"0/157",""
"GO:0030082","GO:0030082","B800-850 antenna complex",0,"0/157",""
"GO:0030256","GO:0030256","type I protein secretion system complex",0,"0/157",""
"GO:0030257","GO:0030257","type III protein secretion system complex",0,"0/157",""
"GO:0030314","GO:0030314","junctional membrane complex",0,"0/157",""
"GO:0030689","GO:0030689","Noc complex",0,"0/157",""
"GO:0030870","GO:0030870","Mre11 complex",0,"0/157",""
"GO:0030877","GO:0030877","beta-catenin destruction complex",0,"0/157",""
"GO:0030895","GO:0030895","apolipoprotein B mRNA editing enzyme complex",0,"0/157",""
"GO:0030896","GO:0030896","checkpoint clamp complex",0,"0/157",""
"GO:0030929","GO:0030929","ADPG pyrophosphorylase complex",0,"0/157",""
"GO:0030956","GO:0030956","glutamyl-tRNA(Gln) amidotransferase complex",0,"0/157",""
"GO:0030990","GO:0030990","intraciliary transport particle",0,"0/157",""
"GO:0030991","GO:0030991","intraciliary transport particle A",0,"0/157",""
"GO:0030992","GO:0030992","intraciliary transport particle B",0,"0/157",""
"GO:0030993","GO:0030993","axonemal heterotrimeric kinesin-II complex",0,"0/157",""
"GO:0044613","GO:0044613","nuclear pore central transport channel",0,"0/157",""
"GO:0031074","GO:0031074","nucleocytoplasmic transport complex",0,"0/157",""
"GO:0031080","GO:0031080","nuclear pore outer ring",0,"0/157",""
"GO:0031082","GO:0031082","BLOC complex",0,"0/157",""
"GO:0031105","GO:0031105","septin complex",0,"0/157",""
"GO:0031250","GO:0031250","anaerobic ribonucleoside-triphosphate reductase complex",0,"0/157",""
"GO:0031251","GO:0031251","PAN complex",0,"0/157",""
"GO:0031262","GO:0031262","Ndc80 complex",0,"0/157",""
"GO:0031298","GO:0031298","replication fork protection complex",0,"0/157",""
"GO:0031389","GO:0031389","Rad17 RFC-like complex",0,"0/157",""
"GO:0031390","GO:0031390","Ctf18 RFC-like complex",0,"0/157",""
"GO:0031395","GO:0031395","bursicon neuropeptide hormone complex",0,"0/157",""
"GO:0031422","GO:0031422","RecQ helicase-Topo III complex",0,"0/157",""
"GO:0031431","GO:0031431","Dbf4-dependent protein kinase complex",0,"0/157",""
"GO:0031499","GO:0031499","TRAMP complex",0,"0/157",""
"GO:0031511","GO:0031511","Mis6-Sim4 complex",0,"0/157",""
"GO:0031518","GO:0031518","CBF3 complex",0,"0/157",""
"GO:0031521","GO:0031521","spitzenkorper",0,"0/157",""
"GO:0031522","GO:0031522","cell envelope Sec protein transport complex",0,"0/157",""
"GO:0031523","GO:0031523","Myb complex",0,"0/157",""
"GO:0031617","GO:0031617","NMS complex",0,"0/157",""
"GO:0031680","GO:0031680","G-protein beta/gamma-subunit complex",0,"0/157",""
"GO:0031838","GO:0031838","haptoglobin-hemoglobin complex",0,"0/157",""
"GO:0031931","GO:0031931","TORC1 complex",0,"0/157",""
"GO:0031941","GO:0031941","filamentous actin",0,"0/157",""
"GO:0032039","GO:0032039","integrator complex",0,"0/157",""
"GO:0032045","GO:0032045","guanyl-nucleotide exchange factor complex",0,"0/157",""
"GO:0032116","GO:0032116","SMC loading complex",0,"0/157",""
"GO:0032299","GO:0032299","ribonuclease H2 complex",0,"0/157",""
"GO:0032311","GO:0032311","angiogenin-PRI complex",0,"0/157",""
"GO:0032449","GO:0032449","CBM complex",0,"0/157",""
"GO:0032517","GO:0032517","SOD1-calcineurin complex",0,"0/157",""
"GO:0032766","GO:0032766","NHE3/E3KARP/ACTN4 complex",0,"0/157",""
"GO:0032797","GO:0032797","SMN complex",0,"0/157",""
"GO:0032807","GO:0032807","DNA ligase IV complex",0,"0/157",""
"GO:0032992","GO:0032992","protein-carbohydrate complex",0,"0/157",""
"GO:0032994","GO:0032994","protein-lipid complex",0,"0/157",""
"GO:0032996","GO:0032996","Bcl3-Bcl10 complex",0,"0/157",""
"GO:0033061","GO:0033061","DNA recombinase mediator complex",0,"0/157",""
"GO:0033104","GO:0033104","type VI protein secretion system complex",0,"0/157",""
"GO:0033186","GO:0033186","CAF-1 complex",0,"0/157",""
"GO:0033193","GO:0033193","Lsd1/2 complex",0,"0/157",""
"GO:0033256","GO:0033256","I-kappaB/NF-kappaB complex",0,"0/157",""
"GO:0033551","GO:0033551","monopolin complex",0,"0/157",""
"GO:0033557","GO:0033557","Slx1-Slx4 complex",0,"0/157",""
"GO:0033588","GO:0033588","Elongator holoenzyme complex",0,"0/157",""
"GO:0033593","GO:0033593","BRCA2-MAGE-D1 complex",0,"0/157",""
"GO:0033596","GO:0033596","TSC1-TSC2 complex",0,"0/157",""
"GO:0033597","GO:0033597","mitotic checkpoint complex",0,"0/157",""
"GO:0033607","GO:0033607","SOD1-Bcl-2 complex",0,"0/157",""
"GO:0034044","GO:0034044","exomer complex",0,"0/157",""
"GO:0034064","GO:0034064","Tor2-Mei2-Ste11 complex",0,"0/157",""
"GO:0034099","GO:0034099","luminal surveillance complex",0,"0/157",""
"GO:0034270","GO:0034270","Cvt complex",0,"0/157",""
"GO:0034388","GO:0034388","Pwp2p-containing subcomplex of 90S preribosome",0,"0/157",""
"GO:0034455","GO:0034455","t-UTP complex",0,"0/157",""
"GO:0034457","GO:0034457","Mpp10 complex",0,"0/157",""
"GO:0034464","GO:0034464","BBSome",0,"0/157",""
"GO:0034518","GO:0034518","RNA cap binding complex",0,"0/157",""
"GO:0034657","GO:0034657","GID complex",0,"0/157",""
"GO:0034663","GO:0034663","endoplasmic reticulum chaperone complex",0,"0/157",""
"GO:0034692","GO:0034692","E.F.G complex",0,"0/157",""
"GO:0034716","GO:0034716","Gemin3-Gemin4-Gemin5 complex",0,"0/157",""
"GO:0034717","GO:0034717","Gemin6-Gemin7-unrip complex",0,"0/157",""
"GO:0034741","GO:0034741","APC-tubulin-IQGAP1 complex",0,"0/157",""
