"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006525","GO:0006525","arginine metabolic process","11/191","18/6396",3.35634658780325e-13,2.68812849441333e-11,2.21936410734167e-11,"853357/854479/854096/853573/855993/854297/852507/855084/856411/856800/853374",11
"GO:0009067","GO:0009067","aspartate family amino acid biosynthetic process","17/191","59/6396",5.42514840089516e-13,3.9829631176572e-11,3.28840135527943e-11,"854714/850664/854834/856268/853594/854852/856539/856778/852691/852672/852752/853230/851736/850714/855855/852412/855786",17
"GO:0006526","GO:0006526","arginine biosynthetic process","9/191","13/6396",1.01077199705198e-11,6.84992407232921e-10,5.65541255030705e-10,"853357/854479/854096/853573/854297/855084/856411/856800/853374",9
"GO:0009066","GO:0009066","aspartate family amino acid metabolic process","18/191","84/6396",2.71549585415254e-11,1.70882274822028e-09,1.41083280843564e-09,"854714/850664/854834/856268/853594/854852/850877/856539/856778/852691/852672/852752/853230/851736/850714/855855/852412/855786",18
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","16/191","70/6396",1.28780132618066e-10,7.56368645576777e-09,6.2447067816901e-09,"853357/854479/854096/856268/853573/855993/854297/852550/852507/855084/856147/853669/856411/856800/853374/852241",16
"GO:0071941","GO:0071941","nitrogen cycle metabolic process","8/191","12/6396",2.44452122167609e-10,1.3460144976854e-08,1.11129221327512e-08,"853357/854479/854096/853573/853904/855993/856370/852507",8
"GO:0009085","GO:0009085","lysine biosynthetic process","8/191","14/6396",1.40850583703229e-09,7.29937436720849e-08,6.02648627485641e-08,"854714/854852/856778/852672/853230/851736/852412/855786",8
"GO:0006553","GO:0006553","lysine metabolic process","8/191","15/6396",2.9414570935959e-09,1.36390721024105e-07,1.12606473776995e-07,"854714/854852/856778/852672/853230/851736/852412/855786",8
"GO:0009073","GO:0009073","aromatic amino acid family biosynthetic process","8/191","15/6396",2.9414570935959e-09,1.36390721024105e-07,1.12606473776995e-07,"851605/852858/852551/852672/851705/853669/851956/856824",8
"GO:0009084","GO:0009084","glutamine family amino acid biosynthetic process","10/191","30/6396",7.97002364666108e-09,3.51079541635421e-07,2.898571757812e-07,"853357/854479/854096/853573/854297/855084/856147/856411/856800/853374",10
"GO:0006555","GO:0006555","methionine metabolic process","11/191","47/6396",8.60393335845391e-08,3.60955489942757e-06,2.98010924846699e-06,"850664/854834/853594/850877/856539/856778/852691/852672/852752/851736/855855",11
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","16/191","108/6396",9.75085852458263e-08,3.90477561825332e-06,3.22384844042421e-06,"853762/851584/854165/856228/852995/851154/854793/852704/853188/853784/851403/853048/854461/855335/855269/856095",16
"GO:0042254","GO:0042254","ribosome biogenesis","36/191","475/6396",1.27036727279328e-07,4.86605898839514e-06,4.01750016247212e-06,"854711/856863/856488/853762/854075/851584/854165/855890/856228/851656/852439/851678/852995/853160/851154/853860/854793/856723/855789/852704/853188/853064/850652/853784/851403/853048/854461/852854/852569/855335/853419/851497/855269/853320/853714/856095",36
"GO:0009072","GO:0009072","aromatic amino acid family metabolic process","9/191","31/6396",1.7868285007576e-07,6.55914962153103e-06,5.41534427203291e-06,"851605/852858/852551/856539/852672/851705/853669/851956/856824",9
"GO:0019878","GO:0019878","lysine biosynthetic process via aminoadipic acid","6/191","11/6396",2.67577055939747e-07,9.42941545131669e-06,7.78508402755222e-06,"854714/854852/852672/853230/852412/855786",6
"GO:0009086","GO:0009086","methionine biosynthetic process","10/191","42/6396",2.85562593516586e-07,9.67617864954279e-06,7.98881587530207e-06,"850664/854834/853594/856539/856778/852691/852672/852752/851736/855855",10
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","18/191","147/6396",2.97284818382258e-07,9.70029351832478e-06,8.00872551665264e-06,"853762/851584/854165/856228/852995/851154/854793/852704/853188/853064/853784/851403/853048/854461/855335/855269/853714/856095",18
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","11/191","53/6396",3.21911997228623e-07,1.01287310556577e-05,8.36245075507437e-06,"850664/854834/853594/850877/856539/856778/852691/852672/852752/851736/855855",11
"GO:0006364","GO:0006364","rRNA processing","29/191","351/6396",4.30478826423586e-07,1.23330591629743e-05,1.01823811238607e-05,"854711/856863/856488/853762/854075/851584/854165/855890/856228/851656/852439/852995/851154/853860/854793/856723/852704/853188/853064/850652/853784/851403/853048/854461/852854/855335/853419/855269/856095",29
"GO:0030490","GO:0030490","maturation of SSU-rRNA","16/191","120/6396",4.33966894497393e-07,1.23330591629743e-05,1.01823811238607e-05,"853762/851584/854165/856228/852995/851154/854793/852704/853188/853784/851403/853048/854461/855335/855269/856095",16
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","16/191","120/6396",4.33966894497393e-07,1.23330591629743e-05,1.01823811238607e-05,"856863/856488/854075/855890/851656/852439/852995/853160/853860/856723/850652/852569/855335/851497/855269/853320",16
"GO:0000097","GO:0000097","sulfur amino acid biosynthetic process","10/191","44/6396",4.57114450603274e-07,1.25849322181714e-05,1.03903317554889e-05,"850664/854834/853594/856539/856778/852691/852672/852752/851736/855855",10
"GO:0009112","GO:0009112","nucleobase metabolic process","9/191","39/6396",1.52690699274988e-06,4.07637897155347e-05,3.36552705579001e-05,"854479/854850/853573/852648/855581/854845/853664/851272/852241",9
"GO:0016072","GO:0016072","rRNA metabolic process","29/191","395/6396",4.84572405417786e-06,0.000125561261521491,0.000103665489827768,"854711/856863/856488/853762/854075/851584/854165/855890/856228/851656/852439/852995/851154/853860/854793/856723/852704/853188/853064/850652/853784/851403/853048/854461/852854/855335/853419/855269/856095",29
"GO:0015849","GO:0015849","organic acid transport","12/191","93/6396",1.78312116703597e-05,0.000448837070902482,0.000370567436517851,"852956/852401/854297/852360/856646/854530/854397/850333/852444/853912/855863/856171",12
"GO:0034470","GO:0034470","ncRNA processing","31/191","471/6396",2.05096308922325e-05,0.000501916244890467,0.00041439049551265,"854711/856863/856488/853762/854075/851584/854165/855890/856228/851656/852439/852995/851154/853860/854793/856723/852704/854024/853188/853064/850652/853784/851403/853996/853048/854461/852854/855335/853419/855269/856095",31
"GO:0000463","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","8/191","44/6396",3.84688920440122e-05,0.000906696110622363,0.000748583562267821,"856863/856488/855890/852439/852995/856723/855335/855269",8
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","11/191","85/6396",3.91083452935866e-05,0.000906696110622363,0.000748583562267821,"850664/854834/853594/850877/856539/856778/852691/852672/852752/851736/855855",11
"GO:0006541","GO:0006541","glutamine metabolic process","6/191","24/6396",5.63138249904819e-05,0.00127211486709268,0.00105027943504516,"854479/856268/852550/856147/853669/852241",6
"GO:0009082","GO:0009082","branched-chain amino acid biosynthetic process","5/191","16/6396",7.52882924723367e-05,0.00165822464170322,0.00136905816048381,"854275/850348/855619/853473/851736",5
"GO:0046112","GO:0046112","nucleobase biosynthetic process","6/191","26/6396",9.16409902184015e-05,0.00192511003005745,0.00158940322691881,"854479/853573/855581/853664/851272/852241",6
"GO:1903825","GO:1903825","organic acid transmembrane transport","9/191","63/6396",9.17759605702758e-05,0.00192511003005745,0.00158940322691881,"852401/854297/852360/856646/854530/850333/852444/853912/856171",9
"GO:0006206","GO:0006206","pyrimidine nucleobase metabolic process","5/191","17/6396",0.000104088626480791,0.00213260650999017,0.0017607158114621,"854479/853573/852648/853664/852241",5
"GO:0010501","GO:0010501","RNA secondary structure unwinding","6/191","27/6396",0.000114924912458788,0.00230111017900437,0.00189983527533547,"851584/852439/852704/850652/855335/853419",6
"GO:0009309","GO:0009309","amine biosynthetic process","4/191","10/6396",0.000140548232621026,0.00263453176466222,0.002175113745602,"852858/853669/851956/856824",4
"GO:0042401","GO:0042401","cellular biogenic amine biosynthetic process","4/191","10/6396",0.000140548232621026,0.00263453176466222,0.002175113745602,"852858/853669/851956/856824",4
"GO:1902047","GO:1902047","polyamine transmembrane transport","4/191","10/6396",0.000140548232621026,0.00263453176466222,0.002175113745602,"856370/850631/853912/852331",4
"GO:0006865","GO:0006865","amino acid transport","8/191","54/6396",0.000174895916469512,0.00321006880020083,0.00265028680439545,"854297/852360/856646/854530/850333/852444/853912/855863",8
"GO:0017144","GO:0017144","drug metabolic process","21/191","298/6396",0.000197804997601,0.0035153226533948,0.00290230952087437,"852076/856268/853594/854850/856804/852979/850877/851016/856539/852559/852691/852672/852442/850747/856832/854845/853169/852507/853230/855855/853465",21
"GO:0000470","GO:0000470","maturation of LSU-rRNA","8/191","55/6396",0.000199507528569512,0.0035153226533948,0.00290230952087437,"856863/856488/855890/852439/852995/856723/855335/855269",8
"GO:0003333","GO:0003333","amino acid transmembrane transport","7/191","42/6396",0.000210882135480112,0.00364288551682312,0.00300762756690934,"854297/852360/856646/854530/850333/852444/853912",7
"GO:0019856","GO:0019856","pyrimidine nucleobase biosynthetic process","4/191","11/6396",0.000215719805021916,0.00365479131200593,0.00301745719170332,"854479/853573/853664/852241",4
"GO:0046942","GO:0046942","carboxylic acid transport","10/191","89/6396",0.000291470225842821,0.00484500507485898,0.00400011769726692,"852956/854297/852360/856646/854530/854397/850333/852444/853912/855863",10
"GO:0071265","GO:0071265","L-methionine biosynthetic process","5/191","21/6396",0.000310524728460343,0.00506615344025115,0.00418270150811105,"853594/856539/852691/852672/855855",5
"GO:0000480","GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/191","33/6396",0.000370394265351821,0.00593304268681735,0.0048984198537437,"853762/854165/856228/852704/851403/855269",6
"GO:0009069","GO:0009069","serine family amino acid metabolic process","7/191","46/6396",0.000378226116411395,0.00595030729568641,0.0049126738052683,"854834/853594/856778/852691/850747/851736/855855",7
"GO:0015846","GO:0015846","polyamine transport","4/191","13/6396",0.000445913234230375,0.00689209753257825,0.00569023166857228,"856370/850631/853912/852331",4
"GO:0006790","GO:0006790","sulfur compound metabolic process","13/191","150/6396",0.000505671844229228,0.00768098094424052,0.006341547084617,"852076/850664/854834/853594/850877/856539/856778/852691/852672/852752/851736/855855/855292",13
"GO:0000472","GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/191","35/6396",0.000516525685263925,0.00771286658843251,0.00636787240887372,"853762/854165/856228/852704/851403/855269",6
"GO:0000967","GO:0000967","rRNA 5'-end processing","6/191","36/6396",0.000604643594230234,0.0088068956052658,0.00727112117000856,"853762/854165/856228/852704/851403/855269",6
"GO:0015695","GO:0015695","organic cation transport","4/191","14/6396",0.000609785053259039,0.0088068956052658,0.00727112117000856,"856370/850631/855580/853019",4
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","19/191","281/6396",0.000673705880244079,0.00957314323379086,0.00790374810269369,"852076/854479/853163/854850/853573/852934/852442/854948/852648/855581/854845/853169/854744/853664/855149/855855/853465/851272/852241",19
"GO:0019740","GO:0019740","nitrogen utilization","5/191","25/6396",0.000735704323158117,0.0102881826778143,0.0084940966967796,"851384/853904/850523/855580/853019",5
"GO:0009092","GO:0009092","homoserine metabolic process","4/191","15/6396",0.000812238015629856,0.0111809639339047,0.00923119192105642,"853594/856778/852691/851736",4
"GO:0034471","GO:0034471","ncRNA 5'-end processing","6/191","39/6396",0.000940231386938431,0.0127437515675809,0.0105214556821774,"853762/854165/856228/852704/851403/855269",6
"GO:0000966","GO:0000966","RNA 5'-end processing","6/191","40/6396",0.00107910482520339,0.0141894231493162,0.0117150264605741,"853762/854165/856228/852704/851403/855269",6
"GO:0044106","GO:0044106","cellular amine metabolic process","6/191","40/6396",0.00107910482520339,0.0141894231493162,0.0117150264605741,"854834/852858/855993/853669/851956/856824",6
"GO:0000466","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","9/191","88/6396",0.00116566331753933,0.0151021968051786,0.0124686277464346,"856863/856488/853762/854165/856228/852439/852704/851403/855269",9
"GO:0009308","GO:0009308","amine metabolic process","6/191","41/6396",0.00123319778349397,0.0157028358734058,0.0129645254657069,"854834/852858/855993/853669/851956/856824",6
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","9/191","89/6396",0.00126401004035519,0.0157028358734058,0.0129645254657069,"856863/856488/853762/854165/856228/852439/852704/851403/855269",9
"GO:0000055","GO:0000055","ribosomal large subunit export from nucleus","5/191","28/6396",0.001265495286052,0.0157028358734058,0.0129645254657069,"856488/851678/853160/856723/855789",5
"GO:0072488","GO:0072488","ammonium transmembrane transport","4/191","17/6396",0.00135136463007771,0.0165354477652565,0.0136519438506389,"856370/850631/855580/853019",4
"GO:0009081","GO:0009081","branched-chain amino acid metabolic process","5/191","29/6396",0.00149258458093839,0.0180132467918729,0.0148720395880091,"854275/850348/855619/853473/851736",5
"GO:0042737","GO:0042737","drug catabolic process","6/191","43/6396",0.00159136352996698,0.0189458279716339,0.0156419942988219,"854850/856804/852979/851016/854845/852507",6
"GO:0006568","GO:0006568","tryptophan metabolic process","4/191","18/6396",0.00169728239660055,0.0194195557325336,0.0160331119077373,"852858/853669/851956/856824",4
"GO:0006586","GO:0006586","indolalkylamine metabolic process","4/191","18/6396",0.00169728239660055,0.0194195557325336,0.0160331119077373,"852858/853669/851956/856824",4
"GO:0042430","GO:0042430","indole-containing compound metabolic process","4/191","18/6396",0.00169728239660055,0.0194195557325336,0.0160331119077373,"852858/853669/851956/856824",4
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","7/191","59/6396",0.00173843367541152,0.0196353854876608,0.0162113045844718,"854297/852360/856646/854530/850333/852444/853912",7
"GO:0006811","GO:0006811","ion transport","22/191","378/6396",0.00188263848828396,0.0209949937744072,0.0173338200586837,"852956/851608/854297/852360/854565/854564/856370/856646/853926/854530/854397/850631/850333/852444/856324/855580/854030/853912/852343/855863/853019/853714",22
"GO:0000447","GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/191","46/6396",0.00227044465287039,0.0250032717397352,0.0206431217780716,"853762/854165/856228/852704/851403/855269",6
"GO:0042255","GO:0042255","ribosome assembly","8/191","79/6396",0.00232187594080931,0.0252539839981852,0.0208501140363773,"856488/854075/855890/856228/853860/853064/850652/855269",8
"GO:0006534","GO:0006534","cysteine metabolic process","4/191","20/6396",0.00256466237528672,0.0272804445049975,0.0225231939219228,"854834/853594/852691/855855",4
"GO:0055085","GO:0055085","transmembrane transport","25/191","464/6396",0.0026843174523602,0.0272804445049975,0.0225231939219228,"851329/852956/851608/852401/854297/852360/856370/856646/853926/854530/854397/850631/850333/856494/852444/856324/851574/855580/854030/853912/852331/852343/855863/856171/853019",25
"GO:0000105","GO:0000105","histidine biosynthetic process","3/191","10/6396",0.00269398260151508,0.0272804445049975,0.0225231939219228,"852550/856782/850327",3
"GO:0006547","GO:0006547","histidine metabolic process","3/191","10/6396",0.00269398260151508,0.0272804445049975,0.0225231939219228,"852550/856782/850327",3
"GO:0009097","GO:0009097","isoleucine biosynthetic process","3/191","10/6396",0.00269398260151508,0.0272804445049975,0.0225231939219228,"850348/853473/851736",3
"GO:0052803","GO:0052803","imidazole-containing compound metabolic process","3/191","10/6396",0.00269398260151508,0.0272804445049975,0.0225231939219228,"852550/856782/850327",3
"GO:0015711","GO:0015711","organic anion transport","12/191","161/6396",0.0030286794158168,0.0303212109697114,0.025033701869969,"852956/854297/852360/856646/854530/854397/850333/852444/856324/853912/855863/853714",12
"GO:0015696","GO:0015696","ammonium transport","4/191","21/6396",0.00309504770395175,0.0306374946874325,0.0252948310281568,"856370/850631/855580/853019",4
"GO:0000054","GO:0000054","ribosomal subunit export from nucleus","6/191","49/6396",0.00314791107093965,0.0308145517055315,0.0254410122809275,"856488/851678/853160/856723/855789/853714",6
"GO:0033750","GO:0033750","ribosome localization","6/191","50/6396",0.0034901493182099,0.033440708325987,0.0276092113665775,"856488/851678/853160/856723/855789/853714",6
"GO:0009070","GO:0009070","serine family amino acid biosynthetic process","5/191","35/6396",0.00353006342147195,0.033440708325987,0.0276092113665775,"854834/853594/856778/852691/851736",5
"GO:0009119","GO:0009119","ribonucleoside metabolic process","5/191","35/6396",0.00353006342147195,0.033440708325987,0.0276092113665775,"852076/854948/853664/855855/852241",5
"GO:0015801","GO:0015801","aromatic amino acid transport","3/191","11/6396",0.00362333115020001,0.033601628877118,0.0277420700807558,"852360/850333/853912",3
"GO:0090293","GO:0090293","nitrogen catabolite regulation of transcription","3/191","11/6396",0.00362333115020001,0.033601628877118,0.0277420700807558,"851384/853904/850523",3
"GO:0006144","GO:0006144","purine nucleobase metabolic process","4/191","22/6396",0.00369567962281331,0.0339155598718596,0.0280012567912719,"854850/855581/854845/851272",4
"GO:1901657","GO:1901657","glycosyl compound metabolic process","6/191","52/6396",0.00425670170439629,0.0386613835213725,0.0319194886352451,"852076/854024/854948/853664/855855/852241",6
"GO:0006094","GO:0006094","gluconeogenesis","5/191","37/6396",0.00451720343126911,0.0401985477065464,0.0331885972462196,"853972/853356/853169/852519/853465",5
"GO:0019319","GO:0019319","hexose biosynthetic process","5/191","37/6396",0.00451720343126911,0.0401985477065464,0.0331885972462196,"853972/853356/853169/852519/853465",5
"GO:0006549","GO:0006549","isoleucine metabolic process","3/191","12/6396",0.00472575701843643,0.0412217023093317,0.034033330898797,"850348/853473/851736",3
"GO:0050667","GO:0050667","homocysteine metabolic process","3/191","12/6396",0.00472575701843643,0.0412217023093317,0.034033330898797,"853594/852691/855855",3
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","6/191","54/6396",0.00514106970035836,0.0444047294707423,0.0366612916712861,"851605/852551/856778/851705/851736/850714",6
"GO:0032989","GO:0032989","cellular component morphogenesis","9/191","110/6396",0.00540095813536533,0.0461965448277364,0.0381406445737092,"852920/851016/852334/856591/852328/852445/854062/856324/852331",9
"GO:0046364","GO:0046364","monosaccharide biosynthetic process","5/191","39/6396",0.0056865671237683,0.0481717849619219,0.0397714360579342,"853972/853356/853169/852519/853465",5
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","7/191","73/6396",0.00585002024040392,0.0490844555409129,0.0405249522417956,"852920/851016/852334/856591/852445/854062/852331",7
"GO:0043102","GO:0043102","amino acid salvage","3/191","13/6396",0.00600971015369825,0.0494818191159641,0.0408530222942006,"856539/852672/855855",3
"GO:0071267","GO:0071267","L-methionine salvage","3/191","13/6396",0.00600971015369825,0.0494818191159641,0.0408530222942006,"856539/852672/855855",3
"GO:0034220","GO:0034220","ion transmembrane transport","15/191","244/6396",0.00608349793671103,0.0496255711318743,0.0409717063768745,"851608/854297/852360/856370/856646/853926/854530/850631/850333/852444/855580/854030/853912/852343/853019",15
