"","ID","Description","Count","GeneRatio","geneID"
"GO:0003700","GO:0003700","DNA binding transcription factor activity",46,"46/663","727857/5915/2115/81628/22887/6668/79673/64412/3661/5453/2099/10743/6670/2020/344022/10379/4610/10168/2146/7022/94234/6689/602/344787/26574/7711/7638/22807/60468/84547/30812/571/2104/7755/80818/9139/26298/51804/9831/7543/1054/55818/81566/84524/51043/7625"
"GO:0030234","GO:0030234","enzyme regulator activity",42,"42/663","29108/216/8829/6695/259173/10294/202151/57332/2099/23145/9858/1676/55188/11261/55802/483/3486/30837/8826/653268/9905/496/23397/27344/55531/9743/395/663/115703/80119/9329/324/285590/8837/5707/2719/4659/146923/11116/8835/83666/8503"
"GO:0022857","GO:0022857","transmembrane transporter activity",37,"37/663","6572/1182/146167/7416/2281/57657/7018/23390/54499/65012/26504/483/2568/114571/496/344657/5825/63895/136306/6326/1180/26503/10242/80228/10396/54977/6331/9990/11309/120103/6526/30820/10478/9498/6505/24145/85320"
"GO:0008289","GO:0008289","lipid binding",33,"33/663","127833/79792/80115/246/83849/9026/126567/2099/2733/128869/9265/84747/6247/8826/219287/205147/9743/9885/6010/353376/2104/115703/85477/247/115727/8301/285590/1071/29993/3291/221749/7855/8473"
"GO:0060089","GO:0060089","molecular transducer activity",30,"30/663","2264/5915/8829/3383/2099/1395/54328/1240/2568/22914/1238/9289/219699/26686/2261/5734/7436/552/6010/2825/344561/2104/57337/5797/1439/1268/8877/7855/7048/27202"
"GO:0044877","GO:0044877","protein-containing complex binding",27,"27/663","1062/8660/143244/3383/9026/23468/7018/8408/2146/9289/23332/6041/7436/2191/2887/63923/114897/79983/85477/7087/324/8357/80149/8350/25/283284/24145"
"GO:0016491","GO:0016491","oxidoreductase activity",25,"25/663","1577/216/246/6649/10243/1718/51780/1036/66002/51102/4329/1428/121642/247/84842/4016/54784/2329/29958/7264/3291/55818/51/23171/2110"
"GO:0048037","GO:0048037","cofactor binding",21,"21/663","1577/216/22933/10243/1718/10993/4913/5095/571/66002/4329/84706/1428/2329/80777/7264/3291/137362/51/23171/2110"
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity",17,"17/663","8660/2264/81704/259173/57572/79574/55188/9265/221178/23348/2261/55255/115727/284/51112/1439/1839"
"GO:0000988","GO:0000988","transcription factor activity, protein binding",16,"16/663","5915/3661/5453/9063/1822/8863/56970/10443/2958/1428/10409/9139/7543/57591/83666/4848"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",14,"14/663","10190/51634/6041/28987/112479/144233/10621/80119/80149/833/5439/6897/4848/10623"
"GO:0003682","GO:0003682","chromatin binding",13,"13/663","22933/23468/2099/6670/2146/8019/51780/23397/83743/8357/80149/8350/55818"
"GO:0060090","GO:0060090","molecular adaptor activity",12,"12/663","51283/9026/2549/23468/602/10111/2887/395/8301/9414/8835/23623"
"GO:0016874","GO:0016874","ligase activity",11,"11/663","23093/164395/9654/79717/83887/3978/5095/84532/833/6897/150465"
"GO:0033218","GO:0033218","amide binding",9,"9/663","5481/1718/5095/5191/552/2825/7855/6199/290"
"GO:1901681","GO:1901681","sulfur compound binding",9,"9/663","2264/8829/6649/5095/51363/9289/4329/2719/1839"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",8,"8/663","4913/27301/3978/5890/10111/128387/121642/80119"
"GO:0005319","GO:0005319","lipid transporter activity",8,"8/663","114571/5825/124976/9885/10396/11309/1071/57048"
"GO:0016247","GO:0016247","channel regulator activity",8,"8/663","2281/11261/10110/57628/29085/10242/30820/23171"
"GO:0016829","GO:0016829","lyase activity",7,"7/663","109/10993/4913/27301/111/768/60490"
"GO:0016853","GO:0016853","isomerase activity",7,"7/663","246/2281/5481/51645/285755/7264/51061"
"GO:0005057","GO:0005057","signal transducer activity, downstream of receptor",7,"7/663","2264/9175/5595/2261/930/5603/7048"
"GO:0030246","GO:0030246","carbohydrate binding",7,"7/663","374378/10216/10219/6247/22914/26033/388512"
"GO:0030545","GO:0030545","receptor regulator activity",6,"6/663","255324/338872/8190/94027/151449/1839"
"GO:0001618","GO:0001618","virus receptor activity",5,"5/663","3383/9080/2993/1605/290"
"GO:0032451","GO:0032451","demethylase activity",4,"4/663","51780/121642/54784/55818"
"GO:0005044","GO:0005044","scavenger receptor activity",4,"4/663","10216/84466/1238/84547"
"GO:0042562","GO:0042562","hormone binding",4,"4/663","6572/216/552/1428"
"GO:0004879","GO:0004879","nuclear receptor activity",3,"3/663","5915/2099/2104"
"GO:0003735","GO:0003735","structural constituent of ribosome",3,"3/663","128308/64979/65008"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",3,"3/663","3881/1674/84617"
"GO:0005326","GO:0005326","neurotransmitter transporter activity",3,"3/663","6572/54977/6505"
"GO:0008565","GO:0008565","protein transporter activity",3,"3/663","1434/8190/83548"
"GO:0072341","GO:0072341","modified amino acid binding",3,"3/663","79792/6247/85477"
"GO:0009975","GO:0009975","cyclase activity",2,"2/663","109/111"
"GO:0098748","GO:0098748","endocytic adaptor activity",2,"2/663","9026/8301"
"GO:0008307","GO:0008307","structural constituent of muscle",2,"2/663","1605/283284"
"GO:0050840","GO:0050840","extracellular matrix binding",2,"2/663","9289/1605"
"GO:0051540","GO:0051540","metal cluster binding",2,"2/663","4913/2110"
"GO:0004708","GO:0004708","MAP kinase kinase activity",1,"1/663","5595"
"GO:0097199","GO:0097199","cysteine-type endopeptidase activity involved in apoptotic signaling pathway",1,"1/663","8837"
"GO:0099604","GO:0099604","ligand-gated calcium channel activity",1,"1/663","2281"
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",1,"1/663","7436"
"GO:0017056","GO:0017056","structural constituent of nuclear pore",1,"1/663","55706"
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",1,"1/663","283284"
"GO:0034437","GO:0034437","glycoprotein transporter activity",1,"1/663","7436"
"GO:0001871","GO:0001871","pattern binding",1,"1/663","10216"
"GO:0003823","GO:0003823","antigen binding",1,"1/663","1718"
"GO:0098631","GO:0098631","cell adhesion mediator activity",1,"1/663","23114"
"GO:0015643","GO:0015643","toxic substance binding",1,"1/663","57583"
"GO:0042165","GO:0042165","neurotransmitter binding",1,"1/663","6572"
"GO:0050997","GO:0050997","quaternary ammonium group binding",1,"1/663","1071"
"GO:1901567","GO:1901567","fatty acid derivative binding",1,"1/663","4329"
"GO:0004784","GO:0004784","superoxide dismutase activity",1,"1/663","6649"
"GO:0030371","GO:0030371","translation repressor activity",1,"1/663","400961"
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding",1,"1/663","400961"
"GO:0016530","GO:0016530","metallochaperone activity",1,"1/663","7018"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",1,"1/663","1434"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/663",""
"GO:0008987","GO:0008987","quinolinate synthetase A activity",0,"0/663",""
"GO:0010280","GO:0010280","UDP-L-rhamnose synthase activity",0,"0/663",""
"GO:0046572","GO:0046572","versicolorin B synthase activity",0,"0/663",""
"GO:0046905","GO:0046905","phytoene synthase activity",0,"0/663",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/663",""
"GO:0070283","GO:0070283","radical SAM enzyme activity",0,"0/663",""
"GO:1990055","GO:1990055","phenylacetaldehyde synthase activity",0,"0/663",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/663",""
"GO:0005068","GO:0005068","transmembrane receptor protein tyrosine kinase adaptor activity",0,"0/663",""
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity",0,"0/663",""
"GO:0005231","GO:0005231","excitatory extracellular ligand-gated ion channel activity",0,"0/663",""
"GO:0008086","GO:0008086","light-activated voltage-gated calcium channel activity",0,"0/663",""
"GO:0008384","GO:0008384","IkappaB kinase activity",0,"0/663",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/663",""
"GO:0038078","GO:0038078","MAP kinase phosphatase activity involved in regulation of innate immune response",0,"0/663",""
"GO:0099107","GO:0099107","ion channel regulator activity involved in G-protein coupled receptor signaling pathway",0,"0/663",""
"GO:1990890","GO:1990890","netrin receptor binding",0,"0/663",""
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/663",""
"GO:0004998","GO:0004998","transferrin receptor activity",0,"0/663",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/663",""
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",0,"0/663",""
"GO:0030226","GO:0030226","apolipoprotein receptor activity",0,"0/663",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/663",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/663",""
"GO:0070287","GO:0070287","ferritin receptor activity",0,"0/663",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/663",""
"GO:0005201","GO:0005201","extracellular matrix structural constituent",0,"0/663",""
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/663",""
"GO:0005213","GO:0005213","structural constituent of chorion",0,"0/663",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/663",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/663",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/663",""
"GO:0030280","GO:0030280","structural constituent of epidermis",0,"0/663",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/663",""
"GO:0032947","GO:0032947","protein-containing complex scaffold activity",0,"0/663",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/663",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/663",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/663",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/663",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/663",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/663",""
"GO:0017089","GO:0017089","glycolipid transporter activity",0,"0/663",""
"GO:0034202","GO:0034202","glycolipid-translocating activity",0,"0/663",""
"GO:0000035","GO:0000035","acyl binding",0,"0/663",""
"GO:0005549","GO:0005549","odorant binding",0,"0/663",""
"GO:0008430","GO:0008430","selenium binding",0,"0/663",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/663",""
"GO:0031409","GO:0031409","pigment binding",0,"0/663",""
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/663",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/663",""
"GO:0043176","GO:0043176","amine binding",0,"0/663",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/663",""
"GO:0046812","GO:0046812","host cell surface binding",0,"0/663",""
"GO:0046790","GO:0046790","virion binding",0,"0/663",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/663",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/663",""
"GO:0050436","GO:0050436","microfibril binding",0,"0/663",""
"GO:0050824","GO:0050824","water binding",0,"0/663",""
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/663",""
"GO:0072328","GO:0072328","alkene binding",0,"0/663",""
"GO:0097243","GO:0097243","flavonoid binding",0,"0/663",""
"GO:1904012","GO:1904012","platinum binding",0,"0/663",""
"GO:1904013","GO:1904013","xenon atom binding",0,"0/663",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/663",""
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",0,"0/663",""
"GO:1904517","GO:1904517","MgATP(2-) binding",0,"0/663",""
"GO:1990300","GO:1990300","cellulosome binding",0,"0/663",""
"GO:0004362","GO:0004362","glutathione-disulfide reductase activity",0,"0/663",""
"GO:0004601","GO:0004601","peroxidase activity",0,"0/663",""
"GO:0004791","GO:0004791","thioredoxin-disulfide reductase activity",0,"0/663",""
"GO:0032542","GO:0032542","sulfiredoxin activity",0,"0/663",""
"GO:0045174","GO:0045174","glutathione dehydrogenase (ascorbate) activity",0,"0/663",""
"GO:0050605","GO:0050605","superoxide reductase activity",0,"0/663",""
"GO:0051920","GO:0051920","peroxiredoxin activity",0,"0/663",""
"GO:0004694","GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity",0,"0/663",""
"GO:0044748","GO:0044748","3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing",0,"0/663",""
"GO:0045183","GO:0045183","translation factor activity, non-nucleic acid binding",0,"0/663",""
"GO:0090624","GO:0090624","endoribonuclease activity, cleaving miRNA-paired mRNA",0,"0/663",""
"GO:0000036","GO:0000036","acyl carrier activity",0,"0/663",""
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/663",""
"GO:0022809","GO:0022809","mobile ion carrier activity",0,"0/663",""
"GO:0097163","GO:0097163","sulfur carrier activity",0,"0/663",""
"GO:0140132","GO:0140132","iron-sulfur cluster carrier activity",0,"0/663",""
"GO:0001070","GO:0001070","RNA binding transcription regulator activity",0,"0/663",""
"GO:0001072","GO:0001072","transcription antitermination factor activity, RNA binding",0,"0/663",""
"GO:0001073","GO:0001073","transcription antitermination factor activity, DNA binding",0,"0/663",""
