"","ID","Description","Count","GeneRatio","geneID"
"GO:0007165","GO:0007165","signal transduction",296,"296/1001","160/79989/2064/1454/1268/10554/7320/5923/3656/2915/9655/11035/23532/408/51266/10318/51311/9518/961/4046/10272/5179/94031/8532/388324/5922/219931/2046/4318/54499/6199/10446/5686/2321/284217/5449/5333/1258/5139/4193/2956/9501/390195/3172/390649/9201/11137/54518/25959/1759/153222/80315/3696/6400/1786/10439/23303/24138/8516/8387/8725/1936/6494/1132/26533/2719/11059/3340/4101/8850/23399/23322/9508/5734/22926/167359/7345/7484/219790/2555/8938/57060/3312/54941/57732/2296/8793/4646/10752/1991/81035/8811/960/81858/6907/660/140462/10411/114882/4293/2532/3845/219287/9491/7850/3595/5336/1501/6355/150681/3977/11240/4584/3181/653268/10461/1149/2695/4853/2565/9649/23266/219869/51643/11213/9235/116449/9177/51284/1870/6295/246330/23564/23035/92747/150290/115330/1646/9839/2887/552/26037/27091/10144/57451/6663/6456/4158/54861/4692/51332/23334/650/3824/5563/4436/10955/2048/9564/5314/8805/94/55614/645432/90427/2764/2294/55835/3993/7837/4880/6775/8027/613/3320/5527/126961/26268/8741/8742/285852/1499/1029/10276/79754/1796/9103/10871/2977/5136/7292/3683/81/8633/57568/7466/148327/207/4920/775/3662/8744/25865/1265/112858/9869/10626/161725/9064/4159/5998/6885/51289/84216/55785/6648/2651/64135/5972/8031/728233/9604/6092/1949/2201/79801/776/54429/284340/93649/8821/2099/345557/57115/240/2162/57708/3359/4088/22931/57590/8452/55619/322/1364/8751/64343/23101/10919/9241/6300/84289/79753/5576/387129/1004/57498/5155/11024/163702/154810/7295/81793/3987/4848/148252/3066/57758/94027/7456/10888/79651/3552/6574/799/3084/5366/23677/27032/3685/8764/57057/441549/152831/729956/3430/2729/10410/916/8425/26033/10462/147372/545/1119/1001"
"GO:0048856","GO:0048856","anatomical structure development",290,"290/1001","160/8929/730755/729920/249/79989/2064/4130/1454/1268/7320/5923/5538/55140/9655/11035/170690/408/51266/9518/80725/10272/5179/4917/645027/92749/25914/54471/2046/55036/4318/10446/5686/2321/1404/284217/10585/4358/5449/5333/1258/55327/6293/5139/4193/2956/5066/387733/27005/3172/9201/81545/3696/2703/1786/10439/23303/1008/3910/8516/387755/11145/64841/1397/55646/54443/157378/7881/2719/11059/6949/3340/8850/10893/23399/23322/5734/10763/10562/158326/10643/339345/22926/66008/1412/7345/7484/219790/406984/3849/126731/57125/43849/10363/2296/94234/8793/10752/152330/8811/960/326/81858/412/3899/660/10411/3845/7520/219287/9751/642636/9491/57453/5336/1501/23152/28316/11240/7138/4322/8214/10461/2695/4853/80224/11213/10320/4063/1870/200558/23035/2001/29842/1646/9839/2887/552/26037/4778/230/3214/64423/56999/57451/6663/1010/6456/4158/54861/7358/58524/4692/3020/51332/23334/650/4436/51804/2048/5314/306/8925/94/114792/55614/5784/70/2764/2294/57465/5100/51393/4880/5624/613/126961/226/8741/8742/1499/405754/10276/1796/6434/27443/1828/7292/339451/81/8633/4287/84466/7466/79414/207/56001/4920/775/3662/57801/3766/8744/1497/25865/10626/5549/643418/196383/85477/55785/6531/2651/7020/6594/9435/64175/5972/8031/55553/6092/1949/10579/2201/284340/93649/2099/6707/9362/4088/22931/8452/55619/322/1364/4094/8751/64343/23230/219793/9241/6300/348980/10049/1004/57498/5155/440822/154810/4016/3987/4848/3066/84570/51742/57758/4826/7456/85464/3552/84750/3084/27032/84002/3685/6439/147744/8764/57057/441549/85300/2706/23175/10493/3887/85301/113146/22806/916/9555/8425/6507/147372/545/6895/196374/9919/1001/2016/4774"
"GO:0009058","GO:0009058","biosynthetic process",287,"287/1001","160/8929/1593/248/729920/2346/249/57670/2064/10554/3656/5538/2915/79027/55140/11035/9653/6155/23532/408/10318/51311/9518/10272/94031/23300/6199/5686/252969/81669/10585/5449/55349/5139/4193/5066/27005/55037/3172/11137/25959/503582/153222/80315/1786/10236/8516/11145/64841/9885/8725/1936/6122/55646/9753/284349/676/2719/11059/6949/3340/4101/8850/23399/2645/4907/9508/7626/10643/339345/22926/66008/56655/3614/406984/3312/10363/2296/94234/4646/152330/8732/1991/51585/8811/326/124739/6907/3899/660/10411/9668/4293/3845/7520/9491/6799/317649/27109/5336/79623/1501/2077/23152/389114/11240/4584/3181/89887/27068/1149/9887/4853/11213/10320/51284/1870/80818/23564/2001/29842/55706/9839/552/4778/230/3214/26747/57451/6663/9469/646625/29128/7358/58524/4692/3020/57713/650/83591/5563/80222/10955/51804/80157/5314/84464/8805/51102/306/94/51106/79618/5784/2294/57018/55699/80032/10317/4880/6775/3320/116931/126961/143/226/1499/1029/92949/9939/2977/5136/149603/7292/84808/7673/23466/81/2230/4287/353355/6713/7466/148327/207/4920/3662/57801/1497/25865/9348/79862/3921/84706/9869/152815/10626/5549/11001/197258/6885/22893/6648/6531/2651/7020/6594/9435/8031/55553/8427/9604/84105/619279/3006/84312/93649/8821/2099/9362/240/124512/57708/65986/2804/125919/4088/8452/322/5160/4094/10919/9241/6300/84289/79753/10049/342908/5155/83463/440822/5933/7295/6173/3704/3987/4848/3066/8021/2766/10589/51742/147741/54965/342357/23435/3552/4172/84750/3084/84002/5119/3685/25909/11047/399664/2583/29947/57057/152831/23175/10715/339983/10250/2729/22806/916/9555/6507/51258/3183/545/1119/6895/1001/2016/4774"
"GO:0048518","GO:0048518","positive regulation of biological process",278,"278/1001","160/8929/2064/1454/1268/10554/7320/5923/3656/5538/2915/55140/9655/11035/8832/23532/408/10318/51311/9518/80725/961/1511/1675/10272/5179/23300/388324/54471/2046/4318/6199/5686/2321/81669/10585/5449/5139/4193/2956/9501/27005/3172/11137/54518/1759/81545/153222/3696/1786/10439/24138/10236/8516/1397/1936/55646/54443/676/2719/11059/3340/4101/8850/23399/2645/9508/5734/150577/10763/10562/339345/22926/219790/406984/57060/3312/54941/2296/8793/4646/1991/81035/8811/960/326/81858/6907/660/140462/10411/114882/4293/3845/7520/9491/3595/5336/6355/3977/11240/4584/3181/10461/1149/2695/9554/4853/10590/11213/10320/116449/4063/51284/1870/200558/23564/92747/2001/29842/64328/1646/9839/2887/552/27091/4778/3214/26747/56999/57451/158297/6663/29128/4692/3020/650/5563/4436/10955/51804/2048/9564/5314/84464/8805/306/94/79618/70/90427/2764/2294/23593/57018/55835/51393/4880/5624/6775/8027/613/3320/116931/126961/101927423/8741/8742/285852/1499/1029/10276/1796/6434/2977/149603/7292/81/8633/4287/7466/148327/207/4920/3662/8744/25865/10294/9869/10626/9064/6885/51289/85477/6648/6531/2651/7020/6594/64175/64135/8031/55553/9604/6092/84105/1949/2201/776/284340/93649/2099/57115/9362/124512/57708/3359/4088/57590/8452/322/4094/9241/6300/84289/49856/79753/5576/387129/57498/5155/5933/154810/7295/81793/3987/4848/3066/51742/4826/7456/23435/3552/6574/25924/799/3084/5366/23677/27032/9066/192683/3685/11047/399664/8764/29947/57057/152831/23175/729956/27338/2729/84299/22806/916/9555/256158/6507/10462/147372/3183/545/6895/9919/1001/4774/83715"
"GO:0007275","GO:0007275","multicellular organism development",263,"263/1001","160/8929/730755/729920/249/2064/4130/1454/1268/7320/5923/5538/55140/9655/11035/170690/408/51266/80725/10272/5179/4917/92749/25914/2046/55036/4318/10446/5686/2321/1404/284217/10585/4358/5449/5333/1258/6293/4193/2956/5066/387733/27005/3172/9201/81545/3696/2703/1786/10439/23303/1008/3910/8516/387755/11145/64841/1397/55646/54443/157378/7881/2719/11059/6949/3340/8850/10893/23322/5734/10763/158326/339345/22926/66008/1412/7345/7484/219790/406984/3849/126731/57125/43849/10363/2296/94234/8793/10752/152330/8811/960/326/81858/3899/660/10411/3845/7520/9751/642636/9491/57453/5336/1501/23152/28316/11240/4322/8214/10461/2695/4853/11213/10320/4063/1870/200558/23035/2001/29842/9839/2887/552/26037/4778/3214/56999/57451/6663/1010/6456/4158/54861/7358/58524/4692/3020/51332/23334/650/4436/51804/2048/5314/306/8925/94/114792/55614/5784/70/2764/2294/57465/5100/51393/4880/5624/613/126961/8741/8742/1499/1796/6434/27443/1828/7292/339451/8633/4287/84466/7466/79414/207/56001/4920/775/3662/57801/3766/8744/1497/25865/10626/5549/643418/85477/6531/2651/7020/6594/9435/64175/5972/8031/55553/6092/1949/10579/2201/284340/93649/2099/6707/9362/4088/22931/8452/55619/322/1364/4094/8751/64343/23230/219793/9241/6300/348980/10049/1004/57498/5155/440822/154810/4016/4848/3066/84570/51742/57758/4826/85464/3552/84750/3084/84002/3685/6439/147744/8764/57057/441549/85300/2706/23175/3887/85301/113146/22806/916/9555/8425/6507/147372/545/196374/9919/1001/2016/4774"
"GO:0051234","GO:0051234","establishment of localization",263,"263/1001","160/157869/9342/79989/2064/1454/1268/7320/5923/5538/2915/80333/8832/79085/9899/6155/80832/408/51311/80725/961/1511/1675/29091/54946/114780/54471/387700/219931/4318/54499/5686/23071/124460/27147/5449/54020/203859/1258/55327/6293/53919/4193/9501/5066/6338/6947/3172/9201/1759/6400/2703/23303/8516/9885/6122/55646/7881/91056/9145/2719/11059/6402/64786/7277/2645/9154/5734/150577/136306/10562/10643/66008/3614/7345/2555/8938/3312/91782/4646/1991/81035/8972/8811/960/55652/7109/201140/10411/114882/7520/9751/642636/9491/7850/27109/5336/6355/23352/11240/3181/653268/10461/84910/113829/1149/2695/90134/9887/11309/9554/343/2565/273/112574/154664/57709/25972/9177/10123/830/55706/64328/2887/552/27091/387775/230/56999/6456/80036/51332/51411/60684/6533/5563/9144/6048/29789/10955/2048/306/55614/5784/5002/90427/6906/2294/23593/3993/51393/5624/134266/51305/56241/8027/613/3320/6103/226/1499/10807/9939/51257/27443/1828/90203/4082/7292/6731/148867/3683/81/84466/7466/207/56001/775/2512/291/3766/1497/91828/1265/3921/10626/11001/100128553/3752/55153/196383/11095/85477/6531/285195/64175/64135/5972/8031/1058/10466/6568/10050/776/9362/240/2162/286133/6340/3359/2804/22931/8452/322/1364/23230/348980/79753/8492/387129/23431/5155/7295/81793/6173/3987/8021/81033/8273/10469/4826/7456/79651/3552/6574/254428/25924/799/84750/3084/5366/23677/27032/9066/5119/192683/3685/25909/65012/6286/2706/729956/10493/10250/157680/9555/8425/6507/10462/545/1119/9919/1001"
"GO:0048519","GO:0048519","negative regulation of biological process",261,"261/1001","160/8929/2064/1268/7320/3656/5538/79027/9655/8832/6155/23532/408/10318/51311/80725/89932/1511/10272/29091/94031/388324/5922/219931/2046/4318/5686/2321/84101/55210/5449/5139/4193/2956/9501/3172/9201/11137/25959/1759/153222/80315/3696/1786/10439/24138/10236/11145/8725/6122/6494/55646/7881/2719/11059/4101/8850/23322/2645/4907/60385/5734/10643/339345/66008/7345/7484/406984/57060/3312/54941/10363/57732/2296/94234/8793/10752/152330/1991/8811/960/81858/201140/6907/10411/114882/3845/7520/219287/9491/7850/5336/6355/2077/23152/11240/3181/7138/10461/1149/9887/9554/4853/51643/11213/10320/57709/1870/6295/246330/23564/23035/92747/830/2001/29842/55706/150290/9839/2887/552/3214/56999/57451/6663/6456/29128/4692/3020/80760/57713/51332/23334/650/5563/4436/6048/51804/2048/5314/84464/8805/8925/94/79618/5784/70/90427/2764/6906/2294/55835/7837/4880/5624/56241/8027/613/5527/126961/9656/101927423/8741/1499/56893/1029/6434/9939/10382/7292/23466/81/23504/7466/207/4920/775/3662/291/1497/3921/9869/161725/79000/5998/22893/11095/85477/6648/6531/2651/7020/64175/64135/55553/192286/8427/4496/6092/1949/3006/2201/84312/284340/93649/2099/57708/4088/8452/322/79171/4094/8751/10919/388503/9241/6300/84289/79753/5576/387129/10049/5155/83463/440822/163702/5933/7295/6173/3987/4848/3066/8021/10589/23435/79651/3552/3053/284352/3084/23677/5119/192683/3685/399664/29947/57057/85300/10715/10493/2729/10410/84299/916/9555/3183/545/6895/1001/4774/83715"
"GO:0048522","GO:0048522","positive regulation of cellular process",250,"250/1001","160/8929/2064/1454/1268/10554/7320/5923/3656/5538/2915/55140/9655/11035/23532/408/10318/51311/9518/80725/961/10272/23300/388324/54471/2046/4318/6199/5686/2321/81669/10585/5449/5139/4193/2956/9501/27005/3172/11137/81545/153222/1786/10439/24138/10236/8516/1397/1936/55646/54443/676/2719/3340/4101/8850/23399/2645/9508/5734/150577/10763/10562/339345/22926/219790/406984/57060/3312/54941/2296/8793/4646/1991/81035/8811/960/326/81858/6907/10411/114882/4293/3845/7520/9491/3595/5336/6355/3977/11240/3181/10461/2695/4853/10590/10320/116449/51284/1870/200558/23564/2001/1646/9839/2887/552/27091/4778/3214/26747/56999/57451/158297/6663/29128/4692/3020/650/5563/4436/10955/51804/2048/9564/5314/84464/8805/306/94/79618/90427/2764/2294/23593/57018/55835/51393/4880/5624/6775/8027/613/3320/116931/101927423/8741/8742/285852/1499/1029/10276/1796/6434/2977/149603/7292/81/8633/4287/7466/148327/207/4920/3662/8744/25865/10294/9869/10626/9064/6885/51289/85477/6648/2651/7020/6594/64175/64135/8031/55553/9604/6092/84105/1949/2201/284340/93649/2099/57115/9362/124512/57708/4088/57590/8452/322/4094/9241/6300/84289/49856/79753/5576/387129/57498/5155/5933/154810/7295/3987/4848/3066/51742/4826/7456/3552/6574/25924/799/3084/5366/23677/27032/9066/192683/3685/11047/399664/8764/29947/57057/152831/23175/729956/27338/2729/84299/22806/916/9555/256158/6507/147372/545/6895/1001/4774/83715"
"GO:0048523","GO:0048523","negative regulation of cellular process",236,"236/1001","160/8929/2064/1268/7320/5538/79027/9655/8832/23532/408/10318/51311/80725/89932/10272/29091/94031/388324/5922/219931/2046/4318/5686/2321/84101/55210/5449/5139/4193/2956/9501/3172/11137/25959/1759/153222/80315/1786/10236/11145/8725/6494/55646/7881/2719/11059/4101/8850/23322/2645/60385/5734/10643/339345/66008/7345/406984/57060/3312/54941/10363/57732/2296/94234/8793/10752/152330/1991/8811/960/201140/6907/10411/114882/3845/7520/219287/9491/7850/5336/6355/2077/23152/11240/3181/10461/1149/9554/4853/51643/11213/10320/57709/6295/246330/23564/23035/92747/830/2001/29842/55706/150290/9839/2887/552/3214/56999/57451/6663/6456/29128/4692/3020/80760/57713/51332/23334/650/5563/4436/6048/51804/2048/5314/84464/8805/8925/94/79618/5784/70/90427/2764/6906/2294/55835/7837/4880/5624/56241/8027/613/5527/126961/9656/101927423/1499/56893/1029/6434/10382/7292/23466/81/23504/7466/207/4920/775/3662/291/1497/9869/161725/79000/5998/22893/11095/85477/6648/2651/7020/64175/55553/192286/8427/6092/1949/3006/2201/84312/93649/2099/57708/4088/8452/322/79171/4094/8751/10919/388503/9241/6300/84289/79753/5576/387129/10049/5155/83463/163702/5933/7295/3987/4848/3066/8021/10589/23435/79651/3552/3053/284352/3084/23677/5119/192683/3685/399664/29947/57057/85300/10715/10493/2729/84299/916/9555/3183/545/6895/4774/83715"
"GO:0042221","GO:0042221","response to chemical",227,"227/1001","8929/729920/249/2064/1268/10554/54905/7320/3656/2915/9655/79085/23190/408/10318/9518/1511/10272/5179/94031/4917/387700/219931/2046/4318/5686/2321/23071/10585/4358/5139/4193/9501/5066/6947/390195/3172/390649/25959/153222/80315/6400/1786/8516/8387/64841/8725/6122/6494/1132/9145/26533/2719/3340/8850/6402/2645/9508/5734/22926/7484/114907/3312/2296/8793/4646/10752/152330/1991/81035/960/81858/3899/10411/114882/2532/3845/7520/9491/7850/3595/6799/5336/6355/150681/3977/11240/3181/1149/2695/343/219869/11213/9235/8988/246330/1646/2887/552/6663/6456/4692/3020/51332/23334/2731/51411/650/5563/6048/2048/9564/8805/306/94/55614/5784/5002/70/2294/7837/4880/6775/613/3320/126961/143/8741/8742/1499/10276/1796/6434/1828/7292/6731/148867/8633/2230/4287/6713/7466/148327/207/4920/3662/291/3766/8744/25865/1265/9869/2326/10626/6885/6648/6531/2651/7020/64135/5972/8031/55553/4496/9604/6092/1949/2201/79801/54429/284340/93649/2099/9362/240/2162/3359/4088/8452/322/1364/9241/6300/348980/79753/5576/57498/5155/5378/163702/7295/4016/3987/4848/3066/8273/7384/94027/10888/3552/254428/3053/799/3084/5366/23677/9066/3685/8764/6286/152831/2706/23175/10715/3430/2729/6649/10410/916/8425/6507/147372/545/1119/6895/1001/2016"
"GO:0048869","GO:0048869","cellular developmental process",212,"212/1001","160/8929/730755/729920/374462/249/79989/2064/4130/1454/1268/7320/5923/5538/55140/9655/11035/23532/51266/9518/80725/10272/5179/4917/2046/4318/10446/5686/2321/5449/1258/6293/5139/4193/27005/9201/11137/81545/10439/23303/1008/8516/387755/55646/54443/7881/676/2719/6949/4101/8850/10893/136332/5734/10562/339345/66008/7345/7484/406984/3849/126731/43849/10363/2296/94234/10752/152330/8811/960/326/81858/660/10411/114882/3845/7520/9751/9491/57453/5336/1501/2077/28316/7138/10461/4853/80224/10320/4063/2001/29842/1646/9839/2887/552/26037/4778/230/3214/56999/57451/6663/1010/6456/54861/58524/4692/3020/51332/23334/650/4436/51804/2048/8925/94/114792/70/2294/57465/51393/4880/5624/126961/26268/226/8742/1499/1029/10276/1796/1828/7292/81/8633/84466/79414/207/4920/3662/57801/3766/8744/10626/5549/643418/196383/85477/55785/2651/7020/6594/64175/5972/55553/6092/1949/2201/284340/93649/2099/6707/9362/4088/8452/55619/322/4094/8751/64343/219793/9241/6300/348980/10049/1004/57498/5155/440822/5933/3987/4848/3066/84570/51742/57758/4826/7456/85464/3552/3084/3685/147744/29947/57057/441549/85300/3887/85301/113146/22806/916/9555/8425/6507/3183/545/6895/196374/1001/2016"
"GO:0048583","GO:0048583","regulation of response to stimulus",212,"212/1001","2064/1454/1268/10554/7320/5923/3656/9655/11035/8832/23532/408/10318/51311/9518/961/1511/1675/10272/5179/94031/388324/5922/2046/4318/5686/2321/5449/1258/4193/2956/9501/11137/25959/1759/153222/24138/8516/8725/1936/6494/2719/3340/8850/6402/23399/23322/4907/9508/5734/22926/7345/7484/114907/3312/54941/57732/8793/1991/81035/960/81858/6907/660/114882/4293/3845/7520/219287/9491/7850/5336/1501/6355/3977/11240/4584/7138/653268/10461/1149/2695/4853/9649/51643/11213/9235/116449/51284/6295/200558/246330/23035/92747/55706/150290/1646/9839/2887/26037/27091/10144/6663/6456/23334/650/3824/5563/4436/10955/2048/9564/5314/8805/94/90427/2764/2294/3993/7837/4880/5624/8027/613/3320/5527/26268/8741/8742/285852/1499/1029/10276/1796/10871/7292/3683/81/4287/57568/7466/207/4920/3662/8744/25865/112858/10626/161725/9064/79000/5998/6885/55785/6648/6531/2651/64135/5972/9604/6092/2201/284340/93649/2099/57115/57708/4088/57590/8452/322/23101/10919/9241/84289/10049/57498/5155/11024/163702/5933/7295/81793/3987/4848/3066/8021/94027/7456/79651/3552/6574/799/3084/5366/23677/27032/9066/3685/57057/441549/152831/729956/2729/916/9555/8425/10462/147372/545/6895/1001"
"GO:0006950","GO:0006950","response to stress",193,"193/1001","2064/1454/1268/7320/5923/3656/9655/8832/23190/408/51266/10318/51311/961/4046/1511/1675/5179/23300/4318/54499/5686/23071/252969/10585/4358/4193/2956/5066/3172/153222/80315/6400/24138/6494/64708/3340/4101/4907/22897/5734/22926/7345/7484/57060/3312/54941/8793/953/4646/10752/1991/81035/960/81858/124739/660/2187/4293/2532/3845/7520/642636/9491/7850/5336/6355/4584/10461/2695/343/11213/9235/10777/8988/4063/51284/200558/92747/830/55706/9839/552/4778/4439/3004/158297/55967/29128/3020/23334/650/3824/5563/4436/6048/10955/84464/306/94/55614/284110/2294/55835/7837/51393/4880/5624/8344/8346/613/3320/126961/143/9656/26268/285852/1499/1029/10276/6434/10871/7292/3683/81/100133315/4287/7466/148327/207/4920/3662/10294/2326/161725/9064/79000/6885/84216/6648/9435/64135/5972/4496/284340/93649/2099/57115/6707/240/2162/286133/4088/57590/8452/322/8751/10919/9241/6300/5576/10049/5155/11024/5378/163702/5933/7295/81793/4848/3066/8021/2766/9755/3552/3053/84750/3084/5366/9066/192683/8764/2706/3430/2729/6649/10410/9555/6507/10462/545/6895/1001"
"GO:0065008","GO:0065008","regulation of biological quality",192,"192/1001","9342/1454/1268/7320/5923/5538/2915/11035/79085/170690/408/51266/80725/27346/1511/8532/219931/54499/5686/23071/4358/55349/1258/55327/5139/53919/4193/9501/5066/6338/3172/25959/1759/6400/10439/10236/387755/55646/66002/9145/2645/5734/9718/10643/56655/7484/2555/8938/57060/126731/3312/2296/953/152330/1991/8811/201140/10411/114882/3845/7520/57733/9751/9491/5336/6355/3181/27068/10461/1149/2695/90134/9887/2565/10590/10320/9177/23564/830/1646/552/26037/27091/4778/158297/4692/3020/51332/2731/60684/650/5563/4635/6048/80222/51804/2048/5314/84464/8805/94/79618/90427/2764/6906/23593/55699/51393/4880/5624/51305/613/3320/126961/226/101927423/8741/1499/6434/1828/4082/148867/2230/7466/207/775/2512/291/3766/1497/4159/3752/51289/85477/55785/6648/6531/2651/285195/64175/5972/8031/55553/4496/6092/2201/776/2099/2162/286133/6340/3359/4088/8452/55619/1364/23230/348980/5576/387129/5155/7295/3066/8021/81033/4826/7456/85464/23435/3552/254428/25924/3053/799/3084/5366/27032/9066/3685/399664/65012/2583/729956/27338/2729/8425/6507/3183/545/1119/1001/2016"
"GO:0023051","GO:0023051","regulation of signaling",184,"184/1001","2064/1454/1268/10554/7320/5923/3656/2915/9655/11035/23532/408/10318/9518/10272/5179/94031/388324/5922/2046/4318/5686/2321/5449/1258/4193/9501/3172/11137/25959/1759/153222/24138/8516/8725/1936/6494/157378/9145/2719/3340/8850/23399/23322/2645/9508/22926/7345/7484/54941/57732/8793/152330/1991/960/81858/6907/10411/114882/4293/3845/219287/9491/7850/1501/6355/3977/11240/653268/10461/1149/2695/4853/9649/10590/51643/11213/9235/116449/6295/246330/23035/92747/150290/1646/9839/2887/552/26037/27091/10144/6663/6456/23334/650/5563/10955/2048/5314/8805/94/55614/90427/2764/3993/7837/4880/8027/613/5527/26268/8741/8742/285852/1499/10276/1796/4082/7292/81/57568/7466/207/4920/775/3662/291/3766/8744/25865/112858/10626/161725/9064/5998/6885/55785/6648/2651/5972/9604/2201/776/284340/93649/2099/57708/4088/57590/8452/23101/10919/9241/84289/57498/5155/7295/3987/4848/3066/94027/4826/79651/3552/6574/25924/799/3084/5366/23677/27032/9066/3685/57057/441549/152831/729956/2729/916/8425/6507/147372/545/1001"
"GO:0009893","GO:0009893","positive regulation of metabolic process",167,"167/1001","8929/2064/1454/10554/7320/3656/2915/9655/11035/408/10318/51311/9518/80725/10272/23300/2046/4318/6199/2321/81669/10585/5449/4193/2956/27005/3172/153222/3696/1786/10439/10236/8516/676/2719/11059/3340/4101/8850/23399/2645/339345/22926/3312/54941/2296/8793/4646/1991/8811/960/326/6907/140462/10411/114882/4293/3845/7520/5336/6355/11240/3181/10461/9554/4853/10320/51284/1870/200558/23564/2001/9839/552/4778/3214/26747/6663/29128/4692/3020/650/5563/4436/51804/2048/84464/8805/306/94/79618/70/2294/57018/4880/6775/3320/116931/126961/8741/8742/1499/6434/2977/149603/7292/4287/7466/148327/207/4920/3662/25865/9869/10626/9064/6885/2651/7020/6594/8031/55553/9604/84105/284340/93649/2099/124512/4088/8452/322/4094/9241/6300/84289/5576/57498/5155/5933/7295/3987/3066/51742/23435/3552/799/3084/5366/23677/3685/11047/399664/29947/57057/152831/23175/27338/2729/22806/916/9555/147372/3183/545/6895/1001/4774"
"GO:0009892","GO:0009892","negative regulation of metabolic process",158,"158/1001","160/1268/7320/9655/6155/23532/408/10318/80725/89932/388324/4318/5686/84101/5449/4193/2956/11137/25959/80315/3696/1786/10439/10236/8725/6122/55646/2719/11059/4101/8850/2645/60385/10643/339345/7345/406984/57060/3312/10363/57732/2296/94234/8793/1991/8811/960/6907/7520/9491/7850/2077/23152/3181/1149/9887/9554/4853/11213/10320/57709/6295/29842/55706/150290/9839/2887/3214/57451/6663/29128/3020/80760/57713/650/4436/6048/51804/2048/84464/8805/8925/94/79618/90427/2764/6906/2294/4880/613/126961/101927423/8741/1499/56893/1029/6434/9939/7292/23466/23504/7466/207/1497/3921/9869/79000/5998/22893/7020/64175/55553/8427/3006/84312/93649/2099/57708/4088/8452/322/79171/4094/10919/388503/9241/79753/5576/10049/5155/83463/440822/5933/7295/6173/3987/4848/3066/8021/10589/23435/3053/284352/3084/5119/3685/399664/29947/57057/85300/10715/2729/916/9555/3183/545/6895/4774"
"GO:0065009","GO:0065009","regulation of molecular function",157,"157/1001","2064/1454/1268/5923/3656/2915/55140/9655/11035/80333/408/9518/80725/89932/5179/388324/5922/2046/4318/2321/84101/81669/27147/4193/2956/10236/8725/6494/7881/2719/4101/8850/64786/10893/60385/10763/7345/7484/57732/2296/8793/1991/8811/960/7109/10411/114882/4293/3845/7520/57733/9491/5336/6355/3181/653268/10461/2695/9649/11213/9235/112574/57709/6295/23564/150290/9839/552/26037/27091/10144/79961/29128/80760/51332/23334/60684/650/4436/4635/2048/5314/84464/306/8925/79618/2764/6906/57018/57465/3993/4880/134266/613/3320/5527/143/6103/8741/8742/1499/1029/10276/7292/81/23504/57568/7466/207/4920/3662/8744/25865/10294/9064/5998/6885/55785/776/284340/93649/2099/3359/4088/55619/8751/23101/388503/9241/6300/5576/10049/57498/5155/5933/7295/3987/3066/94027/3552/3053/284352/3084/5366/23677/6439/11047/29947/5522/441549/152831/729956/27338/10715/9555/6895/1001"
"GO:0009653","GO:0009653","anatomical structure morphogenesis",148,"148/1001","160/8929/729920/249/2064/4130/1454/170690/51266/9518/80725/4917/54471/2046/55036/4318/10446/5686/2321/5333/55327/6293/4193/5066/387733/3172/9201/3696/10439/23303/1008/8516/2719/6949/3340/23322/10562/158326/10643/66008/7345/7484/406984/57125/2296/94234/10752/152330/960/326/3899/10411/3845/9491/57453/1501/28316/7138/4322/8214/10461/4853/80224/1870/2001/29842/9839/2887/26037/3214/64423/56999/57451/6663/1010/6456/7358/58524/4692/51332/23334/650/51804/2048/306/8925/94/55614/5784/70/2294/5100/51393/4880/613/226/8742/1499/405754/10276/1796/81/8633/79414/4920/775/25865/5549/196383/55785/7020/55553/6092/1949/2201/284340/93649/2099/9362/4088/8452/55619/322/8751/9241/348980/10049/1004/57498/154810/3987/4848/3066/84570/7456/85464/3552/3084/3685/6439/57057/10493/85301/113146/6507/147372/1001/2016"
"GO:0044085","GO:0044085","cellular component biogenesis",147,"147/1001","200162/9342/79989/1454/7320/11035/170690/6155/728498/408/84902/29091/23300/55299/92749/55036/115939/9790/1258/4193/5066/10799/25959/1759/2703/1008/55794/6122/55646/54443/8850/644096/136332/7277/151011/23322/22897/5734/10562/219790/126731/3312/91782/81035/7109/81858/10411/7520/642636/28316/7138/9554/80224/10320/830/55706/29070/4439/26747/57451/158297/1010/57495/55967/80036/3020/51332/51411/60684/51678/6048/51804/2048/5314/84464/94/51106/4676/70/90427/2764/54853/55835/8344/8346/8027/3320/126961/6103/226/1499/1029/6434/28987/55722/1828/10382/4082/127733/93099/81/3921/100128553/3752/22893/55153/196383/85477/55785/6648/1058/6092/84105/3006/2099/286133/4088/8452/348980/49856/10049/1004/171425/4016/6173/3987/4848/7456/85464/3084/5366/9066/5119/25909/11047/57057/2706/27338/113146/84299/916/9555/545/6895/9919/1001/83715"
