"","ID","Description","Count","GeneRatio","geneID"
"GO:0050794","GO:0050794","regulation of cellular process",30,"30/192","856468/856921/853169/854274/853904/854193/855993/852334/856424/851980/850523/855914/851384/854755/852714/851488/853356/855091/853188/856324/852226/852920/853160/854834/850591/852756/856800/852410/852719/855871"
"GO:0051716","GO:0051716","cellular response to stimulus",27,"27/192","852934/856921/854274/850331/853904/852979/856424/854344/852112/850523/855914/851845/851384/854758/855982/854755/852714/851488/853356/853188/851574/854104/852756/852410/852719/853714/855871"
"GO:0006950","GO:0006950","response to stress",24,"24/192","853210/852934/856921/850331/854193/852979/850468/856424/854344/852112/851845/854758/855982/854755/852714/851488/854104/852630/854631/853232/852410/852719/853714/855871"
"GO:0019222","GO:0019222","regulation of metabolic process",23,"23/192","856468/856921/851584/853904/854193/855993/852334/853860/854344/851980/850523/851384/854755/852714/851488/853356/855091/852226/854834/850591/856800/852410/855871"
"GO:0042221","GO:0042221","response to chemical",23,"23/192","852934/856921/850331/853904/854193/852979/850631/856424/854297/850523/855914/851384/854755/852714/853356/853188/851574/852331/854104/852956/852719/853714/855871"
"GO:0055114","GO:0055114","oxidation-reduction process",20,"20/192","854714/856921/850331/852979/853465/856804/852559/851705/853230/852442/854948/850327/852752/854852/854744/853664/851736/856800/852412/855786"
"GO:0009056","GO:0009056","catabolic process",20,"20/192","854850/856468/853169/854845/852979/855993/853465/856539/853860/856804/854344/851980/856370/851384/852442/855581/852507/850714/851016/852695"
"GO:0007049","GO:0007049","cell cycle",16,"16/192","856468/856591/852334/851403/855982/853188/852445/854062/852920/853160/852995/856832/851016/852331/852569/852719"
"GO:0048869","GO:0048869","cellular developmental process",16,"16/192","852934/856149/856591/852334/852328/850523/855982/854755/851488/852445/854062/856324/852920/856832/851016/852331"
"GO:0022414","GO:0022414","reproductive process",14,"14/192","856591/852334/852328/855914/855982/852714/852445/854062/852920/856832/851016/852331/852569/852719"
"GO:0007154","GO:0007154","cell communication",14,"14/192","854274/853904/856424/854344/850523/855914/851384/854755/853356/853188/854104/852756/852719/855871"
"GO:0022402","GO:0022402","cell cycle process",13,"13/192","856591/852334/855982/853188/852445/854062/852920/853160/852995/856832/851016/852331/852719"
"GO:0009653","GO:0009653","anatomical structure morphogenesis",13,"13/192","856149/856591/852334/852328/855982/851488/852445/854062/856324/852920/856832/851016/852331"
"GO:0048856","GO:0048856","anatomical structure development",13,"13/192","856149/856591/852334/852328/855982/851488/852445/854062/856324/852920/856832/851016/852331"
"GO:0033036","GO:0033036","macromolecule localization",13,"13/192","856488/851678/856723/855789/853968/852714/856324/851574/853160/851497/852704/852695/853714"
"GO:0065008","GO:0065008","regulation of biological quality",13,"13/192","856468/856921/851329/854565/854564/851980/851845/851384/856324/851574/852920/850747/852331"
"GO:0048522","GO:0048522","positive regulation of cellular process",12,"12/192","856921/850523/855914/851384/854755/852714/853356/853188/856324/853160/852410/855871"
"GO:0048518","GO:0048518","positive regulation of biological process",12,"12/192","856921/850523/855914/851384/854755/852714/853356/853188/856324/853160/852410/855871"
"GO:0019953","GO:0019953","sexual reproduction",11,"11/192","856591/852334/852328/855914/852714/852445/854062/852920/856832/851016/852331"
"GO:0071554","GO:0071554","cell wall organization or biogenesis",11,"11/192","853210/856591/850468/852334/852920/856832/851016/852331/852630/854631/853232"
"GO:0044703","GO:0044703","multi-organism reproductive process",11,"11/192","856591/852334/852328/855914/852714/852445/854062/852920/856832/851016/852331"
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis",11,"11/192","856149/856591/852334/855982/851488/852445/854062/852920/856832/851016/852331"
"GO:0043934","GO:0043934","sporulation",11,"11/192","856149/856591/852334/855982/851488/852445/854062/852920/856832/851016/852331"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",10,"10/192","856591/852334/852328/852445/854062/852920/856832/851016/852331/852569"
"GO:0051321","GO:0051321","meiotic cell cycle",10,"10/192","856591/852334/855982/852445/854062/852920/856832/851016/852331/852719"
"GO:1903046","GO:1903046","meiotic cell cycle process",10,"10/192","856591/852334/855982/852445/854062/852920/856832/851016/852331/852719"
"GO:0048519","GO:0048519","negative regulation of biological process",10,"10/192","856468/853904/853860/854344/851980/852714/851488/853356/855091/852410"
"GO:0065009","GO:0065009","regulation of molecular function",10,"10/192","856468/856921/854274/852334/852821/854344/854834/856832/852343/850348"
"GO:0032259","GO:0032259","methylation",9,"9/192","852076/853593/854711/854024/856922/853996/851656/855855/850664"
"GO:0003006","GO:0003006","developmental process involved in reproduction",9,"9/192","856591/852334/852328/852445/854062/852920/856832/851016/852331"
"GO:0022413","GO:0022413","reproductive process in single-celled organism",9,"9/192","856591/852334/852328/852445/854062/852920/856832/851016/852331"
"GO:0009605","GO:0009605","response to external stimulus",9,"9/192","853904/854344/850523/851384/854755/852714/853356/854104/855871"
"GO:0051641","GO:0051641","cellular localization",9,"9/192","856488/851678/856723/855789/853160/851497/852569/852695/853714"
"GO:0009892","GO:0009892","negative regulation of metabolic process",8,"8/192","856468/853904/853860/854344/851980/852714/855091/852410"
"GO:0009893","GO:0009893","positive regulation of metabolic process",8,"8/192","856921/850523/851384/854755/852714/853356/852410/855871"
"GO:0009628","GO:0009628","response to abiotic stimulus",7,"7/192","854193/852979/851845/854758/854104/853714/855871"
"GO:0007165","GO:0007165","signal transduction",6,"6/192","854274/856424/855914/853188/852756/852719"
"GO:0048523","GO:0048523","negative regulation of cellular process",6,"6/192","856468/853904/852714/851488/855091/852410"
"GO:0031503","GO:0031503","protein-containing complex localization",6,"6/192","856488/851678/856723/855789/853160/853714"
"GO:0030447","GO:0030447","filamentous growth",4,"4/192","852714/853356/855580/852756"
"GO:0019725","GO:0019725","cellular homeostasis",4,"4/192","856921/851329/856324/851574"
"GO:2000241","GO:2000241","regulation of reproductive process",4,"4/192","855914/852714/853188/852719"
"GO:0040008","GO:0040008","regulation of growth",3,"3/192","852714/853356/856324"
"GO:0044764","GO:0044764","multi-organism cellular process",3,"3/192","852328/855914/852714"
"GO:0051301","GO:0051301","cell division",3,"3/192","856468/854062/852569"
"GO:0006808","GO:0006808","regulation of nitrogen utilization",3,"3/192","853904/850523/851384"
"GO:2000243","GO:2000243","positive regulation of reproductive process",3,"3/192","855914/852714/853188"
"GO:0043902","GO:0043902","positive regulation of multi-organism process",3,"3/192","855914/852714/853188"
"GO:0032879","GO:0032879","regulation of localization",3,"3/192","852714/856324/852410"
"GO:0043900","GO:0043900","regulation of multi-organism process",3,"3/192","855914/852714/853188"
"GO:0048583","GO:0048583","regulation of response to stimulus",3,"3/192","852714/853188/852410"
"GO:0009719","GO:0009719","response to endogenous stimulus",3,"3/192","853904/850523/851384"
"GO:0042440","GO:0042440","pigment metabolic process",2,"2/192","855581/851272"
"GO:0016049","GO:0016049","cell growth",2,"2/192","856324/855580"
"GO:0045926","GO:0045926","negative regulation of growth",2,"2/192","852714/853356"
"GO:0030029","GO:0030029","actin filament-based process",2,"2/192","856921/853160"
"GO:0061919","GO:0061919","process utilizing autophagic mechanism",2,"2/192","856468/852695"
"GO:0007568","GO:0007568","aging",2,"2/192","852934/854755"
"GO:0050793","GO:0050793","regulation of developmental process",2,"2/192","856324/852920"
"GO:0019954","GO:0019954","asexual reproduction",1,"1/192","852569"
"GO:0007117","GO:0007117","budding cell bud growth",1,"1/192","852569"
"GO:0045927","GO:0045927","positive regulation of growth",1,"1/192","856324"
"GO:0048589","GO:0048589","developmental growth",1,"1/192","856324"
"GO:0006457","GO:0006457","protein folding",1,"1/192","851845"
"GO:0008219","GO:0008219","cell death",1,"1/192","853465"
"GO:0016458","GO:0016458","gene silencing",1,"1/192","855091"
"GO:0043335","GO:0043335","protein unfolding",1,"1/192","851845"
"GO:1990748","GO:1990748","cellular detoxification",1,"1/192","852979"
"GO:0032220","GO:0032220","plasma membrane fusion involved in cytogamy",1,"1/192","852328"
"GO:0023051","GO:0023051","regulation of signaling",1,"1/192","853188"
"GO:0051094","GO:0051094","positive regulation of developmental process",1,"1/192","856324"
"GO:0051050","GO:0051050","positive regulation of transport",1,"1/192","852714"
"GO:1905954","GO:1905954","positive regulation of lipid localization",1,"1/192","852714"
"GO:0043433","GO:0043433","negative regulation of DNA binding transcription factor activity",1,"1/192","856468"
"GO:0048585","GO:0048585","negative regulation of response to stimulus",1,"1/192","852714"
"GO:0051051","GO:0051051","negative regulation of transport",1,"1/192","852410"
"GO:0044087","GO:0044087","regulation of cellular component biogenesis",1,"1/192","851488"
"GO:0032504","GO:0032504","multicellular organism reproduction",0,"0/192",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/192",""
"GO:0019748","GO:0019748","secondary metabolic process",0,"0/192",""
"GO:0032963","GO:0032963","collagen metabolic process",0,"0/192",""
"GO:0042445","GO:0042445","hormone metabolic process",0,"0/192",""
"GO:0044033","GO:0044033","multi-organism metabolic process",0,"0/192",""
"GO:0045730","GO:0045730","respiratory burst",0,"0/192",""
"GO:0070085","GO:0070085","glycosylation",0,"0/192",""
"GO:0070988","GO:0070988","demethylation",0,"0/192",""
"GO:1901275","GO:1901275","tartrate metabolic process",0,"0/192",""
"GO:1901902","GO:1901902","tyrocidine metabolic process",0,"0/192",""
"GO:1902421","GO:1902421","hydrogen metabolic process",0,"0/192",""
"GO:1990845","GO:1990845","adaptive thermogenesis",0,"0/192",""
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity",0,"0/192",""
"GO:0031341","GO:0031341","regulation of cell killing",0,"0/192",""
"GO:0031342","GO:0031342","negative regulation of cell killing",0,"0/192",""
"GO:0031343","GO:0031343","positive regulation of cell killing",0,"0/192",""
"GO:0031640","GO:0031640","killing of cells of other organism",0,"0/192",""
"GO:0097278","GO:0097278","complement-dependent cytotoxicity",0,"0/192",""
"GO:0001776","GO:0001776","leukocyte homeostasis",0,"0/192",""
"GO:0002200","GO:0002200","somatic diversification of immune receptors",0,"0/192",""
"GO:0002252","GO:0002252","immune effector process",0,"0/192",""
"GO:0002253","GO:0002253","activation of immune response",0,"0/192",""
"GO:0002262","GO:0002262","myeloid cell homeostasis",0,"0/192",""
"GO:0002339","GO:0002339","B cell selection",0,"0/192",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/192",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",0,"0/192",""
"GO:0002507","GO:0002507","tolerance induction",0,"0/192",""
"GO:0002520","GO:0002520","immune system development",0,"0/192",""
"GO:0002682","GO:0002682","regulation of immune system process",0,"0/192",""
"GO:0002683","GO:0002683","negative regulation of immune system process",0,"0/192",""
"GO:0002684","GO:0002684","positive regulation of immune system process",0,"0/192",""
"GO:0006955","GO:0006955","immune response",0,"0/192",""
"GO:0019882","GO:0019882","antigen processing and presentation",0,"0/192",""
"GO:0031294","GO:0031294","lymphocyte costimulation",0,"0/192",""
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/192",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/192",""
"GO:0045058","GO:0045058","T cell selection",0,"0/192",""
"GO:0045321","GO:0045321","leukocyte activation",0,"0/192",""
"GO:0050900","GO:0050900","leukocyte migration",0,"0/192",""
"GO:0090713","GO:0090713","immunological memory process",0,"0/192",""
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/192",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/192",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/192",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/192",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/192",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/192",""
"GO:0001545","GO:0001545","primary ovarian follicle growth",0,"0/192",""
"GO:0001546","GO:0001546","preantral ovarian follicle growth",0,"0/192",""
"GO:0001550","GO:0001550","ovarian cumulus expansion",0,"0/192",""
"GO:0042702","GO:0042702","uterine wall growth",0,"0/192",""
"GO:0044110","GO:0044110","growth involved in symbiotic interaction",0,"0/192",""
"GO:0080189","GO:0080189","primary growth",0,"0/192",""
"GO:0080190","GO:0080190","lateral growth",0,"0/192",""
"GO:0002209","GO:0002209","behavioral defense response",0,"0/192",""
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/192",""
"GO:0007611","GO:0007611","learning or memory",0,"0/192",""
"GO:0007622","GO:0007622","rhythmic behavior",0,"0/192",""
"GO:0007625","GO:0007625","grooming behavior",0,"0/192",""
"GO:0007626","GO:0007626","locomotory behavior",0,"0/192",""
"GO:0030537","GO:0030537","larval behavior",0,"0/192",""
"GO:0007631","GO:0007631","feeding behavior",0,"0/192",""
"GO:0007632","GO:0007632","visual behavior",0,"0/192",""
"GO:0007635","GO:0007635","chemosensory behavior",0,"0/192",""
"GO:0007638","GO:0007638","mechanosensory behavior",0,"0/192",""
"GO:0030534","GO:0030534","adult behavior",0,"0/192",""
"GO:0019098","GO:0019098","reproductive behavior",0,"0/192",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/192",""
"GO:0035187","GO:0035187","hatching behavior",0,"0/192",""
"GO:0035640","GO:0035640","exploration behavior",0,"0/192",""
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/192",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/192",""
"GO:0048266","GO:0048266","behavioral response to pain",0,"0/192",""
"GO:0048520","GO:0048520","positive regulation of behavior",0,"0/192",""
"GO:0048521","GO:0048521","negative regulation of behavior",0,"0/192",""
"GO:0050795","GO:0050795","regulation of behavior",0,"0/192",""
"GO:0051705","GO:0051705","multi-organism behavior",0,"0/192",""
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/192",""
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/192",""
"GO:0060273","GO:0060273","crying behavior",0,"0/192",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/192",""
"GO:0061744","GO:0061744","motor behavior",0,"0/192",""
"GO:0071625","GO:0071625","vocalization behavior",0,"0/192",""
"GO:0001833","GO:0001833","inner cell mass cell proliferation",0,"0/192",""
"GO:0001834","GO:0001834","trophectodermal cell proliferation",0,"0/192",""
"GO:0002174","GO:0002174","mammary stem cell proliferation",0,"0/192",""
"GO:0002941","GO:0002941","synoviocyte proliferation",0,"0/192",""
"GO:0003419","GO:0003419","growth plate cartilage chondrocyte proliferation",0,"0/192",""
"GO:0008284","GO:0008284","positive regulation of cell proliferation",0,"0/192",""
"GO:0008285","GO:0008285","negative regulation of cell proliferation",0,"0/192",""
"GO:0010463","GO:0010463","mesenchymal cell proliferation",0,"0/192",""
"GO:0014009","GO:0014009","glial cell proliferation",0,"0/192",""
"GO:0033002","GO:0033002","muscle cell proliferation",0,"0/192",""
"GO:0033687","GO:0033687","osteoblast proliferation",0,"0/192",""
"GO:0035726","GO:0035726","common myeloid progenitor cell proliferation",0,"0/192",""
"GO:0035736","GO:0035736","cell proliferation involved in compound eye morphogenesis",0,"0/192",""
"GO:0035988","GO:0035988","chondrocyte proliferation",0,"0/192",""
"GO:0036093","GO:0036093","germ cell proliferation",0,"0/192",""
"GO:0042127","GO:0042127","regulation of cell proliferation",0,"0/192",""
"GO:0044340","GO:0044340","canonical Wnt signaling pathway involved in regulation of cell proliferation",0,"0/192",""
"GO:0048134","GO:0048134","germ-line cyst formation",0,"0/192",""
"GO:0048144","GO:0048144","fibroblast proliferation",0,"0/192",""
"GO:0050673","GO:0050673","epithelial cell proliferation",0,"0/192",""
"GO:0051450","GO:0051450","myoblast proliferation",0,"0/192",""
"GO:0060722","GO:0060722","cell proliferation involved in embryonic placenta development",0,"0/192",""
"GO:0061323","GO:0061323","cell proliferation involved in heart morphogenesis",0,"0/192",""
"GO:0061351","GO:0061351","neural precursor cell proliferation",0,"0/192",""
"GO:0070341","GO:0070341","fat cell proliferation",0,"0/192",""
"GO:0070661","GO:0070661","leukocyte proliferation",0,"0/192",""
"GO:0071335","GO:0071335","hair follicle cell proliferation",0,"0/192",""
"GO:0071838","GO:0071838","cell proliferation in bone marrow",0,"0/192",""
"GO:0072089","GO:0072089","stem cell proliferation",0,"0/192",""
"GO:0072111","GO:0072111","cell proliferation involved in kidney development",0,"0/192",""
"GO:0090255","GO:0090255","cell proliferation involved in imaginal disc-derived wing morphogenesis",0,"0/192",""
"GO:0097360","GO:0097360","chorionic trophoblast cell proliferation",0,"0/192",""
"GO:1990654","GO:1990654","sebum secreting cell proliferation",0,"0/192",""
"GO:2000793","GO:2000793","cell proliferation involved in heart valve development",0,"0/192",""
"GO:0043610","GO:0043610","regulation of carbohydrate utilization",0,"0/192",""
"GO:0007059","GO:0007059","chromosome segregation",0,"0/192",""
"GO:0007017","GO:0007017","microtubule-based process",0,"0/192",""
"GO:0000075","GO:0000075","cell cycle checkpoint",0,"0/192",""
"GO:0000920","GO:0000920","cell separation after cytokinesis",0,"0/192",""
"GO:0001775","GO:0001775","cell activation",0,"0/192",""
"GO:0010496","GO:0010496","intercellular transport",0,"0/192",""
"GO:0006903","GO:0006903","vesicle targeting",0,"0/192",""
"GO:0006276","GO:0006276","plasmid maintenance",0,"0/192",""
"GO:0006928","GO:0006928","movement of cell or subcellular component",0,"0/192",""
"GO:0006949","GO:0006949","syncytium formation",0,"0/192",""
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity",0,"0/192",""
"GO:0007272","GO:0007272","ensheathment of neurons",0,"0/192",""
"GO:0008037","GO:0008037","cell recognition",0,"0/192",""
"GO:0019835","GO:0019835","cytolysis",0,"0/192",""
"GO:0010118","GO:0010118","stomatal movement",0,"0/192",""
"GO:0016037","GO:0016037","light absorption",0,"0/192",""
"GO:0022406","GO:0022406","membrane docking",0,"0/192",""
"GO:0022412","GO:0022412","cellular process involved in reproduction in multicellular organism",0,"0/192",""
"GO:0032196","GO:0032196","transposition",0,"0/192",""
"GO:0032940","GO:0032940","secretion by cell",0,"0/192",""
"GO:0033059","GO:0033059","cellular pigmentation",0,"0/192",""
"GO:0034337","GO:0034337","RNA folding",0,"0/192",""
"GO:0035212","GO:0035212","cell competition in a multicellular organism",0,"0/192",""
"GO:0035638","GO:0035638","signal maturation",0,"0/192",""
"GO:0036166","GO:0036166","phenotypic switching",0,"0/192",""
"GO:0044663","GO:0044663","establishment or maintenance of cell type involved in phenotypic switching",0,"0/192",""
"GO:0045103","GO:0045103","intermediate filament-based process",0,"0/192",""
"GO:0051651","GO:0051651","maintenance of location in cell",0,"0/192",""
"GO:0060242","GO:0060242","contact inhibition",0,"0/192",""
"GO:0060352","GO:0060352","cell adhesion molecule production",0,"0/192",""
"GO:0071804","GO:0071804","cellular potassium ion transport",0,"0/192",""
"GO:0090485","GO:0090485","chromosome number maintenance",0,"0/192",""
"GO:0090618","GO:0090618","DNA clamp unloading",0,"0/192",""
"GO:0097194","GO:0097194","execution phase of apoptosis",0,"0/192",""
"GO:0097528","GO:0097528","execution phase of necroptosis",0,"0/192",""
"GO:0140029","GO:0140029","exocytic process",0,"0/192",""
"GO:0043609","GO:0043609","regulation of carbon utilization",0,"0/192",""
"GO:0019676","GO:0019676","ammonia assimilation cycle",0,"0/192",""
"GO:0045847","GO:0045847","negative regulation of nitrogen utilization",0,"0/192",""
"GO:0045848","GO:0045848","positive regulation of nitrogen utilization",0,"0/192",""
"GO:0000728","GO:0000728","gene conversion at mating-type locus, DNA double-strand break formation",0,"0/192",""
"GO:0000734","GO:0000734","gene conversion at mating-type locus, DNA repair synthesis",0,"0/192",""
"GO:0000742","GO:0000742","karyogamy involved in conjugation with cellular fusion",0,"0/192",""
"GO:0000743","GO:0000743","nuclear migration involved in conjugation with cellular fusion",0,"0/192",""
"GO:0002077","GO:0002077","acrosome matrix dispersal",0,"0/192",""
"GO:0007299","GO:0007299","ovarian follicle cell-cell adhesion",0,"0/192",""
"GO:0007300","GO:0007300","ovarian nurse cell to oocyte transport",0,"0/192",""
"GO:0007303","GO:0007303","cytoplasmic transport, nurse cell to oocyte",0,"0/192",""
"GO:0007316","GO:0007316","pole plasm RNA localization",0,"0/192",""
"GO:0007318","GO:0007318","pole plasm protein localization",0,"0/192",""
"GO:0007340","GO:0007340","acrosome reaction",0,"0/192",""
"GO:0007343","GO:0007343","egg activation",0,"0/192",""
"GO:0007344","GO:0007344","pronuclear fusion",0,"0/192",""
"GO:0007534","GO:0007534","gene conversion at mating-type locus",0,"0/192",""
"GO:0007543","GO:0007543","sex determination, somatic-gonadal interaction",0,"0/192",""
"GO:0007566","GO:0007566","embryo implantation",0,"0/192",""
"GO:0009566","GO:0009566","fertilization",0,"0/192",""
"GO:0009846","GO:0009846","pollen germination",0,"0/192",""
"GO:0009856","GO:0009856","pollination",0,"0/192",""
"GO:0009859","GO:0009859","pollen hydration",0,"0/192",""
"GO:0009875","GO:0009875","pollen-pistil interaction",0,"0/192",""
"GO:0009876","GO:0009876","pollen adhesion",0,"0/192",""
"GO:0010069","GO:0010069","zygote asymmetric cytokinesis in embryo sac",0,"0/192",""
"GO:0010183","GO:0010183","pollen tube guidance",0,"0/192",""
"GO:0010344","GO:0010344","seed oilbody biogenesis",0,"0/192",""
"GO:0010588","GO:0010588","cotyledon vascular tissue pattern formation",0,"0/192",""
"GO:0010708","GO:0010708","heteroduplex formation involved in gene conversion at mating-type locus",0,"0/192",""
"GO:0018985","GO:0018985","pronuclear envelope synthesis",0,"0/192",""
"GO:0022602","GO:0022602","ovulation cycle process",0,"0/192",""
"GO:0030709","GO:0030709","border follicle cell delamination",0,"0/192",""
"GO:0030720","GO:0030720","oocyte localization involved in germarium-derived egg chamber formation",0,"0/192",""
"GO:0031292","GO:0031292","gene conversion at mating-type locus, DNA double-strand break processing",0,"0/192",""
"GO:0032219","GO:0032219","cell wall macromolecule catabolic process involved in cytogamy",0,"0/192",""
"GO:0034624","GO:0034624","DNA recombinase assembly involved in gene conversion at mating-type locus",0,"0/192",""
"GO:0034636","GO:0034636","strand invasion involved in gene conversion at mating-type locus",0,"0/192",""
"GO:0035036","GO:0035036","sperm-egg recognition",0,"0/192",""
"GO:0035037","GO:0035037","sperm entry",0,"0/192",""
"GO:0035038","GO:0035038","female pronucleus assembly",0,"0/192",""
