"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022804","GO:0022804","active transmembrane transporter activity","13/191","184/6391",0.00330450361644277,0.0232162561770595,0.0187299800122262,"851608/850631/852360/856370/856646/850333/856494/851574/854030/853912/854530/855863/852956",13
"GO:0015318","GO:0015318","inorganic molecular entity transmembrane transporter activity","16/191","256/6391",0.00399383594462993,0.0268333794509216,0.0216481355539514,"851608/854297/852360/856646/854397/850333/856494/852444/854030/853926/853912/852343/854530/855863/852956/856171",16
"GO:0016836","GO:0016836","hydro-lyase activity","5/191","36/6391",0.00401521371345908,0.0268333794509216,0.0216481355539514,"853169/851705/853230/852858/853473",5
"GO:0008026","GO:0008026","ATP-dependent helicase activity","7/191","71/6391",0.00504029401006508,0.0312874795380839,0.025241531705715,"853419/851584/850652/852439/853784/855335/852704",7
"GO:0070035","GO:0070035","purine NTP-dependent helicase activity","7/191","71/6391",0.00504029401006508,0.0312874795380839,0.025241531705715,"853419/851584/850652/852439/853784/855335/852704",7
"GO:0016830","GO:0016830","carbon-carbon lyase activity","5/191","38/6391",0.00509476003783753,0.0312874795380839,0.025241531705715,"853669/852550/853972/851272/856824",5
"GO:0042887","GO:0042887","amide transmembrane transporter activity","4/191","24/6391",0.00513845466866341,0.0312874795380839,0.025241531705715,"856370/853968/856324/852956",4
"GO:0008324","GO:0008324","cation transmembrane transporter activity","13/191","195/6391",0.00541294035366655,0.0322422968892312,0.0260118415164754,"851608/850631/854297/856370/856646/850333/856494/855580/853926/853912/853019/854530/856171",13
"GO:0016835","GO:0016835","carbon-oxygen lyase activity","5/191","39/6391",0.00570515955749579,0.0332598663564648,0.02683277731409,"853169/851705/853230/852858/853473",5
"GO:0016646","GO:0016646","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","3/191","13/6391",0.00602277906951594,0.0343800305218202,0.0277364825569813,"852752/854852/855786",3
