"","ID","Description","Count","GeneRatio","geneID"
"GO:0003700","GO:0003700","DNA binding transcription factor activity",62,"62/910","8929/57670/79027/23300/3172/153222/9753/284349/7626/22926/26974/10363/2296/94234/343472/3899/9668/7789/148266/2077/23152/5813/89887/1870/2001/9839/6663/7620/29128/58524/4692/51804/79618/2294/2516/6775/1499/7673/353355/3662/57801/79862/152815/7020/4779/55553/93649/2099/57708/2804/125919/342908/83463/5933/9204/342357/25909/57057/22806/5079/9534/4774"
"GO:0022857","GO:0022857","transmembrane transporter activity",59,"59/910","6891/80333/79085/54946/114780/387700/219931/54499/54020/203859/1258/53919/6338/7881/9154/6505/136306/2555/55652/7109/25769/27109/113829/11309/343/2565/154664/57709/27091/387775/80036/6533/155066/10955/5002/51393/51305/148867/85414/775/291/3766/1497/6547/3752/6568/10050/776/3359/348980/81033/8273/6574/3685/65012/2706/151473/8645/6507"
"GO:0044877","GO:0044877","protein-containing complex binding",57,"57/910","408/10272/23300/645027/388324/4318/4193/55037/80315/8850/10763/9578/4646/81035/51585/960/7520/9491/4322/9887/2887/22989/29128/3020/4436/4635/94/79618/4676/2764/3320/9103/339451/6731/85477/6594/64175/64135/4779/1058/84962/8751/3326/3066/8266/7456/3084/7087/3685/11047/916/9555/8425/147372/3183/545/83715"
"GO:0030234","GO:0030234","enzyme regulator activity",54,"54/910","9655/408/388324/5922/6494/2719/8850/64786/10893/79883/79849/7520/9491/6692/6355/653268/6295/9839/26037/10144/5599/7040/650/84464/2764/6906/57018/57465/3993/134266/613/3320/5527/1029/57568/124997/10294/5998/66036/2099/388503/3326/5576/10049/57498/3053/9858/284352/3084/6439/11047/29947/5522/9555"
"GO:0060089","GO:0060089","molecular transducer activity",50,"50/910","2064/961/2321/3172/390649/8387/152/1132/26533/5734/2555/8793/81035/8811/960/3595/3977/10461/4853/2565/23266/51284/51348/115330/94/2324/2516/120787/390445/9103/10871/3683/8633/4920/4159/51289/6092/1949/2099/57115/3359/11024/163702/81793/10333/799/3685/8764/916/8425"
"GO:0008289","GO:0008289","lipid binding",34,"34/910","79792/29091/5922/124460/5333/92017/9501/3172/9885/6402/8938/5375/57732/219287/205147/5009/273/112574/92747/1646/6456/51411/55614/284110/2516/222642/90203/154661/85477/4779/2099/10333/57758/9066"
"GO:0003682","GO:0003682","chromatin binding",31,"31/910","80335/1059/8850/10363/2296/23152/257101/6663/29128/3020/5563/8805/4676/2516/1499/9869/22893/7020/6594/1058/3006/84962/2099/322/10919/5933/3066/5579/9555/3183/4774"
"GO:0000988","GO:0000988","transcription factor activity, protein binding",28,"28/910","27005/676/8850/22926/2296/1991/6907/2077/4853/6663/51567/57713/9734/8805/5784/2516/116931/1499/7020/4779/8031/9604/84962/93649/3084/5579/57057/23175"
"GO:0016491","GO:0016491","oxidoreductase activity",27,"27/910","54905/6392/55349/92483/7881/66002/3614/1582/6390/1646/1717/55967/7358/2731/650/7837/2326/4191/6648/64175/240/4128/7295/2766/7384/10493/6649"
"GO:0048037","GO:0048037","cofactor binding",21,"21/910","54905/6392/55349/6947/5980/7881/66002/55652/1582/6390/80224/1717/7358/2731/7837/2977/84706/2326/6898/64175/2729"
"GO:0030545","GO:0030545","receptor regulator activity",19,"19/910","9518/5179/6320/347148/9244/6355/7040/6019/10509/650/2764/7837/8741/8742/7292/8744/94027/3552/3084"
"GO:0030246","GO:0030246","carbohydrate binding",18,"18/910","114780/89790/6320/64841/6402/2645/158326/81035/8972/79623/23266/51348/946/226/89858/2595/64175/10462"
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity",15,"15/910","2064/5923/7109/10411/9649/79961/51332/60684/8925/613/10276/55619/23101/3084/152831"
"GO:0033218","GO:0033218","amide binding",14,"14/910","2346/6199/29953/8811/3416/163/4159/322/3326/10333/8021/84570/799/3685"
"GO:1901681","GO:1901681","sulfur compound binding",12,"12/910","1056/2719/6402/9508/1991/6355/9982/5549/84570/3053/151887/6649"
"GO:0005057","GO:0005057","signal transducer activity, downstream of receptor",11,"11/910","2064/2321/9201/4293/10461/5599/94/2324/4920/11183/916"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",9,"9/910","10799/55794/54464/9887/51567/80222/55699/28987/9879"
"GO:0060090","GO:0060090","molecular adaptor activity",8,"8/910","408/387755/117157/116449/2887/26747/8027/163"
"GO:0016829","GO:0016829","lyase activity",7,"7/910","7520/230/646625/2731/226/2977/171425"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",7,"7/910","5980/7520/55775/51567/84464/79618/6594"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",7,"7/910","284217/3910/4584/7837/5549/2201/85301"
"GO:0005319","GO:0005319","lipid transporter activity",6,"6/910","53919/9885/11309/79895/124976/8273"
"GO:0001618","GO:0001618","virus receptor activity",6,"6/910","9074/3416/1949/9080/3685/8764"
"GO:0003735","GO:0003735","structural constituent of ribosome",5,"5/910","6155/6122/6157/6223/6173"
"GO:0072341","GO:0072341","modified amino acid binding",5,"5/910","79792/5333/284110/85477/9066"
"GO:0016247","GO:0016247","channel regulator activity",5,"5/910","80333/7881/79849/27091/5579"
"GO:0016874","GO:0016874","ligase activity",4,"4/910","4193/80222/55699/2729"
"GO:0005044","GO:0005044","scavenger receptor activity",4,"4/910","81035/84466/286133/8492"
"GO:0042562","GO:0042562","hormone binding",4,"4/910","8811/3416/4159/799"
"GO:0004879","GO:0004879","nuclear receptor activity",3,"3/910","3172/2516/2099"
"GO:0032947","GO:0032947","protein-containing complex scaffold activity",3,"3/910","80852/339451/916"
"GO:0005326","GO:0005326","neurotransmitter transporter activity",3,"3/910","6505/6533/6507"
"GO:0008565","GO:0008565","protein transporter activity",3,"3/910","91782/4036/799"
"GO:0042165","GO:0042165","neurotransmitter binding",3,"3/910","2731/3416/3359"
"GO:0051540","GO:0051540","metal cluster binding",3,"3/910","5980/6390/80224"
"GO:0016853","GO:0016853","isomerase activity",2,"2/910","23071/55033"
"GO:0098748","GO:0098748","endocytic adaptor activity",2,"2/910","408/163"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",2,"2/910","7277/10382"
"GO:0017056","GO:0017056","structural constituent of nuclear pore",2,"2/910","55706/8021"
"GO:0003823","GO:0003823","antigen binding",2,"2/910","7040/11024"
"GO:0098631","GO:0098631","cell adhesion mediator activity",2,"2/910","29091/57549"
"GO:0004784","GO:0004784","superoxide dismutase activity",2,"2/910","6648/6649"
"GO:0030371","GO:0030371","translation repressor activity",2,"2/910","80315/5813"
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding",2,"2/910","80315/5813"
"GO:0009975","GO:0009975","cyclase activity",1,"1/910","2977"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",1,"1/910","57115"
"GO:0004708","GO:0004708","MAP kinase kinase activity",1,"1/910","4293"
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity",1,"1/910","3084"
"GO:0099604","GO:0099604","ligand-gated calcium channel activity",1,"1/910","219931"
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",1,"1/910","4036"
"GO:0070287","GO:0070287","ferritin receptor activity",1,"1/910","286133"
"GO:0005212","GO:0005212","structural constituent of eye lens",1,"1/910","1412"
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",1,"1/910","2201"
"GO:0005549","GO:0005549","odorant binding",1,"1/910","390445"
"GO:0015643","GO:0015643","toxic substance binding",1,"1/910","1828"
"GO:0050840","GO:0050840","extracellular matrix binding",1,"1/910","3685"
"GO:0043176","GO:0043176","amine binding",1,"1/910","3359"
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",1,"1/910","2346"
"GO:0004601","GO:0004601","peroxidase activity",1,"1/910","7837"
"GO:0004791","GO:0004791","thioredoxin-disulfide reductase activity",1,"1/910","7295"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",1,"1/910","8021"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/910",""
"GO:0008987","GO:0008987","quinolinate synthetase A activity",0,"0/910",""
"GO:0010280","GO:0010280","UDP-L-rhamnose synthase activity",0,"0/910",""
"GO:0032451","GO:0032451","demethylase activity",0,"0/910",""
"GO:0046572","GO:0046572","versicolorin B synthase activity",0,"0/910",""
"GO:0046905","GO:0046905","phytoene synthase activity",0,"0/910",""
"GO:0070283","GO:0070283","radical SAM enzyme activity",0,"0/910",""
"GO:1990055","GO:1990055","phenylacetaldehyde synthase activity",0,"0/910",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/910",""
"GO:0005068","GO:0005068","transmembrane receptor protein tyrosine kinase adaptor activity",0,"0/910",""
"GO:0005231","GO:0005231","excitatory extracellular ligand-gated ion channel activity",0,"0/910",""
"GO:0008086","GO:0008086","light-activated voltage-gated calcium channel activity",0,"0/910",""
"GO:0008384","GO:0008384","IkappaB kinase activity",0,"0/910",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/910",""
"GO:0038078","GO:0038078","MAP kinase phosphatase activity involved in regulation of innate immune response",0,"0/910",""
"GO:0097199","GO:0097199","cysteine-type endopeptidase activity involved in apoptotic signaling pathway",0,"0/910",""
"GO:0099107","GO:0099107","ion channel regulator activity involved in G-protein coupled receptor signaling pathway",0,"0/910",""
"GO:1990890","GO:1990890","netrin receptor binding",0,"0/910",""
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/910",""
"GO:0004998","GO:0004998","transferrin receptor activity",0,"0/910",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/910",""
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",0,"0/910",""
"GO:0030226","GO:0030226","apolipoprotein receptor activity",0,"0/910",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/910",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/910",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/910",""
"GO:0005213","GO:0005213","structural constituent of chorion",0,"0/910",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/910",""
"GO:0008307","GO:0008307","structural constituent of muscle",0,"0/910",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/910",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/910",""
"GO:0030280","GO:0030280","structural constituent of epidermis",0,"0/910",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/910",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/910",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/910",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/910",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/910",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/910",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/910",""
"GO:0017089","GO:0017089","glycolipid transporter activity",0,"0/910",""
"GO:0034202","GO:0034202","glycolipid-translocating activity",0,"0/910",""
"GO:0034437","GO:0034437","glycoprotein transporter activity",0,"0/910",""
"GO:0000035","GO:0000035","acyl binding",0,"0/910",""
"GO:0001871","GO:0001871","pattern binding",0,"0/910",""
"GO:0008430","GO:0008430","selenium binding",0,"0/910",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/910",""
"GO:0031409","GO:0031409","pigment binding",0,"0/910",""
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/910",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/910",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/910",""
"GO:0046812","GO:0046812","host cell surface binding",0,"0/910",""
"GO:0046790","GO:0046790","virion binding",0,"0/910",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/910",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/910",""
"GO:0050436","GO:0050436","microfibril binding",0,"0/910",""
"GO:0050824","GO:0050824","water binding",0,"0/910",""
"GO:0050997","GO:0050997","quaternary ammonium group binding",0,"0/910",""
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/910",""
"GO:0072328","GO:0072328","alkene binding",0,"0/910",""
"GO:0097243","GO:0097243","flavonoid binding",0,"0/910",""
"GO:1901567","GO:1901567","fatty acid derivative binding",0,"0/910",""
"GO:1904012","GO:1904012","platinum binding",0,"0/910",""
"GO:1904013","GO:1904013","xenon atom binding",0,"0/910",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/910",""
"GO:1904517","GO:1904517","MgATP(2-) binding",0,"0/910",""
"GO:1990300","GO:1990300","cellulosome binding",0,"0/910",""
"GO:0004362","GO:0004362","glutathione-disulfide reductase activity",0,"0/910",""
"GO:0032542","GO:0032542","sulfiredoxin activity",0,"0/910",""
"GO:0045174","GO:0045174","glutathione dehydrogenase (ascorbate) activity",0,"0/910",""
"GO:0050605","GO:0050605","superoxide reductase activity",0,"0/910",""
"GO:0051920","GO:0051920","peroxiredoxin activity",0,"0/910",""
"GO:0004694","GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity",0,"0/910",""
"GO:0044748","GO:0044748","3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing",0,"0/910",""
"GO:0045183","GO:0045183","translation factor activity, non-nucleic acid binding",0,"0/910",""
"GO:0090624","GO:0090624","endoribonuclease activity, cleaving miRNA-paired mRNA",0,"0/910",""
"GO:0000036","GO:0000036","acyl carrier activity",0,"0/910",""
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/910",""
"GO:0016530","GO:0016530","metallochaperone activity",0,"0/910",""
"GO:0022809","GO:0022809","mobile ion carrier activity",0,"0/910",""
"GO:0097163","GO:0097163","sulfur carrier activity",0,"0/910",""
"GO:0140132","GO:0140132","iron-sulfur cluster carrier activity",0,"0/910",""
"GO:0001070","GO:0001070","RNA binding transcription regulator activity",0,"0/910",""
"GO:0001072","GO:0001072","transcription antitermination factor activity, RNA binding",0,"0/910",""
"GO:0001073","GO:0001073","transcription antitermination factor activity, DNA binding",0,"0/910",""
