"","ID","Description","Count","GeneRatio","geneID"
"GO:0003700","GO:0003700","DNA binding transcription factor activity",52,"52/748","7559/727857/5915/2115/22887/374899/3175/6668/7634/79673/30832/2099/10743/6670/2020/344022/10379/284355/2146/7022/94234/6689/602/7761/100132074/7638/22807/7718/60468/11108/147687/7703/571/84458/7025/8187/7580/2104/6886/7755/80818/26298/51804/387332/9831/9421/400720/55818/81566/860/51043/2516"
"GO:0030234","GO:0030234","enzyme regulator activity",43,"43/748","29108/11135/216/2664/8829/6352/259173/10294/202151/2099/23145/9858/1676/55188/11261/1476/55802/483/30837/3730/8826/496/23397/1337/3300/140902/27344/55531/9743/6694/7040/663/481/324/8837/23533/2719/4659/134266/146923/11116/83666/4869"
"GO:0060089","GO:0060089","molecular transducer activity",38,"38/748","5915/8829/3383/2099/81472/1395/54328/3587/2835/9289/2210/2261/5734/7436/3563/554/2064/552/7025/2825/344561/2104/390093/929/27239/5797/973/390648/1439/1268/8877/7855/7048/283189/553/26538/27202/2516"
"GO:0008289","GO:0008289","lipid binding",33,"33/748","127833/79792/10423/80115/246/83849/9026/126567/2099/2733/91404/128869/84747/6247/8826/219287/2242/9267/2835/9743/9885/4900/2104/85477/247/929/55704/1071/29993/8854/221749/7855/2516"
"GO:0016491","GO:0016491","oxidoreductase activity",32,"32/748","1577/216/51170/246/6649/10243/1719/1718/83875/55163/1036/441024/53905/1337/1738/221/66002/51102/4329/1535/1428/247/84842/4016/2329/29958/7264/8854/55818/23171/4716/2110"
"GO:0044877","GO:0044877","protein-containing complex binding",31,"31/748","1062/1508/143244/3383/9026/23468/8408/2146/7168/10672/9289/23332/6041/2210/79643/7436/2887/63923/79983/85477/7087/481/324/23533/8357/80149/8350/7450/25/1842/4869"
"GO:0022857","GO:0022857","transmembrane transporter activity",29,"29/748","6891/146167/57657/3782/54795/54499/65012/26504/483/55652/114571/496/1337/9312/63895/136306/6326/10242/80228/10396/54977/6331/9990/481/6526/55314/30820/6505/85320"
"GO:0048037","GO:0048037","cofactor binding",26,"26/748","4151/1577/216/10243/1719/1718/26061/55163/10993/4913/55652/53905/5095/1738/571/66002/4329/84706/1535/1428/2329/284106/80777/7264/23171/2110"
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity",17,"17/748","81704/259173/57572/79574/55188/60684/221178/23348/9267/10672/2261/3563/2064/55255/100128327/2059/1439"
"GO:0016874","GO:0016874","ligase activity",16,"16/748","23093/164395/79717/142827/83887/3035/3978/116285/93100/5095/84532/10606/833/3376/6897/150465"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",16,"16/748","51634/3035/23016/6041/117246/28987/10898/144233/10621/80149/833/3376/8886/6897/4848/10623"
"GO:0003682","GO:0003682","chromatin binding",16,"16/748","23468/2099/6670/2146/23397/83743/7703/26057/6886/8357/80149/8350/55818/860/4869/2516"
"GO:0000988","GO:0000988","transcription factor activity, protein binding",14,"14/748","89780/5915/8863/56970/7025/2958/1428/10409/9421/57591/83666/4848/4869/2516"
"GO:0033218","GO:0033218","amide binding",13,"13/748","5481/1719/1718/5095/1738/554/552/2825/929/11331/7855/6199/553"
"GO:1901681","GO:1901681","sulfur compound binding",13,"13/748","8829/6649/26061/3730/400668/5095/1738/51363/9289/4329/64094/2719/1842"
"GO:0016829","GO:0016829","lyase activity",10,"10/748","109/26061/10993/4913/27301/111/768/10606/60490/5805"
"GO:0060090","GO:0060090","molecular adaptor activity",9,"9/748","9046/9026/2549/23468/602/8935/10111/2887/2059"
"GO:0030545","GO:0030545","receptor regulator activity",9,"9/748","89780/6352/255324/338872/54918/7040/8190/94027/9547"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",8,"8/748","55218/4913/27301/3978/10111/128387/51426/8438"
"GO:0016247","GO:0016247","channel regulator activity",8,"8/748","11261/57463/10110/57628/29085/10242/30820/23171"
"GO:0016853","GO:0016853","isomerase activity",6,"6/748","246/5481/51645/285755/7264/5223"
"GO:0005057","GO:0005057","signal transducer activity, downstream of receptor",6,"6/748","9046/9175/5595/2261/2064/7048"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",6,"6/748","3881/1674/84617/7168/2036/10382"
"GO:0005319","GO:0005319","lipid transporter activity",6,"6/748","114571/124976/9885/10396/1071/57048"
"GO:0030246","GO:0030246","carbohydrate binding",6,"6/748","374378/10423/10216/6247/26033/388512"
"GO:0004879","GO:0004879","nuclear receptor activity",5,"5/748","5915/2099/7025/2104/2516"
"GO:0072341","GO:0072341","modified amino acid binding",4,"4/748","79792/1719/6247/85477"
"GO:0005044","GO:0005044","scavenger receptor activity",3,"3/748","10216/84466/84439"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",3,"3/748","3730/3910/7007"
"GO:0008565","GO:0008565","protein transporter activity",3,"3/748","1434/8190/83548"
"GO:0042562","GO:0042562","hormone binding",3,"3/748","216/552/1428"
"GO:0051540","GO:0051540","metal cluster binding",3,"3/748","4913/284106/2110"
"GO:0001618","GO:0001618","virus receptor activity",3,"3/748","3383/9080/2993"
"GO:0009975","GO:0009975","cyclase activity",2,"2/748","109/111"
"GO:0003735","GO:0003735","structural constituent of ribosome",2,"2/748","64979/65008"
"GO:0005326","GO:0005326","neurotransmitter transporter activity",2,"2/748","54977/6505"
"GO:0003823","GO:0003823","antigen binding",2,"2/748","1718/7040"
"GO:0098631","GO:0098631","cell adhesion mediator activity",2,"2/748","11135/23114"
"GO:0050840","GO:0050840","extracellular matrix binding",2,"2/748","1893/9289"
"GO:0050997","GO:0050997","quaternary ammonium group binding",2,"2/748","2835/1071"
"GO:0030371","GO:0030371","translation repressor activity",2,"2/748","1719/400961"
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding",2,"2/748","1719/400961"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",2,"2/748","55374/1434"
"GO:0032451","GO:0032451","demethylase activity",1,"1/748","55818"
"GO:0004708","GO:0004708","MAP kinase kinase activity",1,"1/748","5595"
"GO:0005068","GO:0005068","transmembrane receptor protein tyrosine kinase adaptor activity",1,"1/748","9046"
"GO:0097199","GO:0097199","cysteine-type endopeptidase activity involved in apoptotic signaling pathway",1,"1/748","8837"
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",1,"1/748","7436"
"GO:0098748","GO:0098748","endocytic adaptor activity",1,"1/748","9026"
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/748","7168"
"GO:0017056","GO:0017056","structural constituent of nuclear pore",1,"1/748","55706"
"GO:0032947","GO:0032947","protein-containing complex scaffold activity",1,"1/748","55752"
"GO:0034437","GO:0034437","glycoprotein transporter activity",1,"1/748","7436"
"GO:0001871","GO:0001871","pattern binding",1,"1/748","10216"
"GO:0005549","GO:0005549","odorant binding",1,"1/748","283189"
"GO:0015643","GO:0015643","toxic substance binding",1,"1/748","57583"
"GO:1901567","GO:1901567","fatty acid derivative binding",1,"1/748","4329"
"GO:0004601","GO:0004601","peroxidase activity",1,"1/748","53905"
"GO:0004784","GO:0004784","superoxide dismutase activity",1,"1/748","6649"
"GO:0005344","GO:0005344","oxygen carrier activity",1,"1/748","4151"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/748",""
"GO:0008987","GO:0008987","quinolinate synthetase A activity",0,"0/748",""
"GO:0010280","GO:0010280","UDP-L-rhamnose synthase activity",0,"0/748",""
"GO:0046572","GO:0046572","versicolorin B synthase activity",0,"0/748",""
"GO:0046905","GO:0046905","phytoene synthase activity",0,"0/748",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/748",""
"GO:0070283","GO:0070283","radical SAM enzyme activity",0,"0/748",""
"GO:1990055","GO:1990055","phenylacetaldehyde synthase activity",0,"0/748",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/748",""
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity",0,"0/748",""
"GO:0005231","GO:0005231","excitatory extracellular ligand-gated ion channel activity",0,"0/748",""
"GO:0008086","GO:0008086","light-activated voltage-gated calcium channel activity",0,"0/748",""
"GO:0008384","GO:0008384","IkappaB kinase activity",0,"0/748",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/748",""
"GO:0038078","GO:0038078","MAP kinase phosphatase activity involved in regulation of innate immune response",0,"0/748",""
"GO:0099107","GO:0099107","ion channel regulator activity involved in G-protein coupled receptor signaling pathway",0,"0/748",""
"GO:0099604","GO:0099604","ligand-gated calcium channel activity",0,"0/748",""
"GO:1990890","GO:1990890","netrin receptor binding",0,"0/748",""
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/748",""
"GO:0004998","GO:0004998","transferrin receptor activity",0,"0/748",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/748",""
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",0,"0/748",""
"GO:0030226","GO:0030226","apolipoprotein receptor activity",0,"0/748",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/748",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/748",""
"GO:0070287","GO:0070287","ferritin receptor activity",0,"0/748",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/748",""
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/748",""
"GO:0005213","GO:0005213","structural constituent of chorion",0,"0/748",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/748",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/748",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/748",""
"GO:0030280","GO:0030280","structural constituent of epidermis",0,"0/748",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/748",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/748",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/748",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/748",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/748",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/748",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/748",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/748",""
"GO:0017089","GO:0017089","glycolipid transporter activity",0,"0/748",""
"GO:0034202","GO:0034202","glycolipid-translocating activity",0,"0/748",""
"GO:0000035","GO:0000035","acyl binding",0,"0/748",""
"GO:0008430","GO:0008430","selenium binding",0,"0/748",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/748",""
"GO:0031409","GO:0031409","pigment binding",0,"0/748",""
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/748",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/748",""
"GO:0042165","GO:0042165","neurotransmitter binding",0,"0/748",""
"GO:0043176","GO:0043176","amine binding",0,"0/748",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/748",""
"GO:0046812","GO:0046812","host cell surface binding",0,"0/748",""
"GO:0046790","GO:0046790","virion binding",0,"0/748",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/748",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/748",""
"GO:0050436","GO:0050436","microfibril binding",0,"0/748",""
"GO:0050824","GO:0050824","water binding",0,"0/748",""
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/748",""
"GO:0072328","GO:0072328","alkene binding",0,"0/748",""
"GO:0097243","GO:0097243","flavonoid binding",0,"0/748",""
"GO:1904012","GO:1904012","platinum binding",0,"0/748",""
"GO:1904013","GO:1904013","xenon atom binding",0,"0/748",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/748",""
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",0,"0/748",""
"GO:1904517","GO:1904517","MgATP(2-) binding",0,"0/748",""
"GO:1990300","GO:1990300","cellulosome binding",0,"0/748",""
"GO:0004362","GO:0004362","glutathione-disulfide reductase activity",0,"0/748",""
"GO:0004791","GO:0004791","thioredoxin-disulfide reductase activity",0,"0/748",""
"GO:0032542","GO:0032542","sulfiredoxin activity",0,"0/748",""
"GO:0045174","GO:0045174","glutathione dehydrogenase (ascorbate) activity",0,"0/748",""
"GO:0050605","GO:0050605","superoxide reductase activity",0,"0/748",""
"GO:0051920","GO:0051920","peroxiredoxin activity",0,"0/748",""
"GO:0004694","GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity",0,"0/748",""
"GO:0044748","GO:0044748","3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing",0,"0/748",""
"GO:0045183","GO:0045183","translation factor activity, non-nucleic acid binding",0,"0/748",""
"GO:0090624","GO:0090624","endoribonuclease activity, cleaving miRNA-paired mRNA",0,"0/748",""
"GO:0000036","GO:0000036","acyl carrier activity",0,"0/748",""
"GO:0016530","GO:0016530","metallochaperone activity",0,"0/748",""
"GO:0022809","GO:0022809","mobile ion carrier activity",0,"0/748",""
"GO:0097163","GO:0097163","sulfur carrier activity",0,"0/748",""
"GO:0140132","GO:0140132","iron-sulfur cluster carrier activity",0,"0/748",""
"GO:0001070","GO:0001070","RNA binding transcription regulator activity",0,"0/748",""
"GO:0001072","GO:0001072","transcription antitermination factor activity, RNA binding",0,"0/748",""
"GO:0001073","GO:0001073","transcription antitermination factor activity, DNA binding",0,"0/748",""
