"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","17/180","108/6396",6.04668211934538e-09,2.28196525199643e-07,1.90947856400381e-07,"851584/854793/852704/853188/852995/853048/853762/853784/851154/855335/855269/850298/854165/854461/856095/856228/851403",17
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","19/180","147/6396",2.14579624155251e-08,7.76062974028158e-07,6.49385704680365e-07,"851584/854793/852704/853064/853188/852995/853048/853714/853762/853784/851154/855335/855269/850298/854165/854461/856095/856228/851403",19
"GO:0030490","GO:0030490","maturation of SSU-rRNA","17/180","120/6396",3.10426903774167e-08,1.03634827875376e-06,8.67184468033099e-07,"851584/854793/852704/853188/852995/853048/853762/853784/851154/855335/855269/850298/854165/854461/856095/856228/851403",17
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","17/180","120/6396",3.10426903774167e-08,1.03634827875376e-06,8.67184468033099e-07,"851656/856723/856863/853160/856488/852995/853320/853860/852439/850652/855068/855335/855269/852569/854075/855890/851497",17
"GO:0016072","GO:0016072","rRNA metabolic process","32/180","395/6396",3.70748473389717e-08,1.19188768482324e-06,9.97335074615613e-07,"851584/851656/854711/854793/856723/856863/852704/853064/853188/856488/852854/852995/853048/853762/853784/853860/853419/852439/850652/851154/855068/855335/855269/855611/854075/850298/854165/854461/855890/856095/856228/851403",32
"GO:0009072","GO:0009072","aromatic amino acid family metabolic process","9/180","31/6396",1.07200538232229e-07,3.32321668519911e-06,2.78076584136234e-06,"851605/851705/851956/856824/852672/856539/852858/853669/852551",9
"GO:0019878","GO:0019878","lysine biosynthetic process via aminoadipic acid","6/180","11/6396",1.87946510164921e-07,5.62543347666041e-06,4.70719027273306e-06,"854714/854852/852672/853230/852412/855786",6
"GO:0006555","GO:0006555","methionine metabolic process","10/180","47/6396",5.09561594967132e-07,1.4743315481049e-05,1.23367544044674e-05,"851736/856778/852672/852691/852752/856539/853594/850664/850877/855855",10
"GO:0034470","GO:0034470","ncRNA processing","33/180","471/6396",6.91526609942535e-07,1.9362745078391e-05,1.62021514723378e-05,"851584/851656/854711/854793/856723/856863/852704/853064/853188/856488/852854/852995/853048/853762/853784/853860/853419/852439/850652/851154/855068/855335/855269/855611/853996/854075/850298/854165/854461/855890/856095/856228/851403",33
"GO:0009112","GO:0009112","nucleobase metabolic process","9/180","39/6396",9.2766085389408e-07,2.51628006618769e-05,2.10554601706222e-05,"854845/854850/852241/852648/853664/853573/855581/854479/851272",9
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","10/180","53/6396",1.65734284006344e-06,4.35931389446989e-05,3.64774022214919e-05,"851736/856778/852672/852691/852752/856539/853594/850664/850877/855855",10
"GO:0009086","GO:0009086","methionine biosynthetic process","9/180","42/6396",1.81468893971307e-06,4.63279411667925e-05,3.87658008793195e-05,"851736/856778/852672/852691/852752/856539/853594/850664/855855",9
"GO:0000097","GO:0000097","sulfur amino acid biosynthetic process","9/180","44/6396",2.74840693546776e-06,6.62671449996114e-05,5.54503153647003e-05,"851736/856778/852672/852691/852752/856539/853594/850664/855855",9
"GO:0000463","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","9/180","44/6396",2.74840693546776e-06,6.62671449996114e-05,5.54503153647003e-05,"856723/856863/856488/852995/852439/855068/855335/855269/855890",9
"GO:0010501","GO:0010501","RNA secondary structure unwinding","7/180","27/6396",6.86052715569197e-06,0.000160944258679476,0.000134673221548434,"851584/852704/853419/852439/850652/855335/855611",7
"GO:0015849","GO:0015849","organic acid transport","12/180","93/6396",9.75834594923657e-06,0.000222901165366772,0.000186516861633608,"856646/852360/852956/852401/853912/852444/854297/854397/850333/854530/855863/856171",12
"GO:0000470","GO:0000470","maturation of LSU-rRNA","9/180","55/6396",1.88762865314971e-05,0.00042011837716255,0.000351542178319379,"856723/856863/856488/852995/852439/855068/855335/855269/855890",9
"GO:0006541","GO:0006541","glutamine metabolic process","6/180","24/6396",4.03316844249739e-05,0.000875197552021933,0.00073233848034821,"852241/853669/852550/854479/856147/856268",6
"GO:0009082","GO:0009082","branched-chain amino acid biosynthetic process","5/180","16/6396",5.66868063225691e-05,0.00119626604027032,0.00100099874822522,"851736/853473/855619/854275/850348",5
"GO:1903825","GO:1903825","organic acid transmembrane transport","9/180","63/6396",5.78838406582411e-05,0.00119626604027032,0.00100099874822522,"856646/852360/852401/853912/852444/854297/850333/854530/856171",9
"GO:0046112","GO:0046112","nucleobase biosynthetic process","6/180","26/6396",6.58279598666881e-05,0.00132880625963454,0.00111190434046548,"852241/853664/853573/855581/854479/851272",6
"GO:0006206","GO:0006206","pyrimidine nucleobase metabolic process","5/180","17/6396",7.84849541301531e-05,0.00154829409511302,0.001295565032292,"852241/852648/853664/853573/854479",5
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","20/180","281/6396",0.000109831187227137,0.00201776082410709,0.00168840039853734,"852076/854744/854845/854850/852241/852648/853163/853169/852934/853664/853465/852442/853573/854948/855131/855149/855581/854479/855855/851272",20
"GO:0009309","GO:0009309","amine biosynthetic process","4/180","10/6396",0.000111581243729424,0.00201776082410709,0.00168840039853734,"851956/856824/852858/853669",4
"GO:0042401","GO:0042401","cellular biogenic amine biosynthetic process","4/180","10/6396",0.000111581243729424,0.00201776082410709,0.00168840039853734,"851956/856824/852858/853669",4
"GO:1902047","GO:1902047","polyamine transmembrane transport","4/180","10/6396",0.000111581243729424,0.00201776082410709,0.00168840039853734,"856370/852331/853912/850631",4
"GO:0006865","GO:0006865","amino acid transport","8/180","54/6396",0.000115782133589896,0.00205099779502101,0.00171621207684271,"856646/852360/853912/852444/854297/850333/854530/855863",8
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","10/180","85/6396",0.000121951936393345,0.00211708561578847,0.00177151233918754,"851736/856778/852672/852691/852752/856539/853594/850664/850877/855855",10
"GO:0003333","GO:0003333","amino acid transmembrane transport","7/180","42/6396",0.000145848822094874,0.00248228975643824,0.00207710396791461,"856646/852360/853912/852444/854297/850333/854530",7
"GO:0000466","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","10/180","88/6396",0.000163536377379427,0.00272979953010274,0.00228421255853856,"856863/852704/856488/853762/852439/855269/850298/854165/856228/851403",10
"GO:0019856","GO:0019856","pyrimidine nucleobase biosynthetic process","4/180","11/6396",0.000171498643815314,0.00280869477040929,0.00235022967691294,"852241/853664/853573/854479",4
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","10/180","89/6396",0.00017981325970979,0.00283778017141996,0.00237456744879914,"856863/852704/856488/853762/852439/855269/850298/854165/856228/851403",10
"GO:0046942","GO:0046942","carboxylic acid transport","10/180","89/6396",0.00017981325970979,0.00283778017141996,0.00237456744879914,"856646/852360/852956/853912/852444/854297/854397/850333/854530/855863",10
"GO:0071265","GO:0071265","L-methionine biosynthetic process","5/180","21/6396",0.000235496616603338,0.00365019755735175,0.00305437341083277,"852672/852691/856539/853594/855855",5
"GO:0017144","GO:0017144","drug metabolic process","20/180","298/6396",0.000243485901607878,0.00370782039641471,0.00310259043600066,"852076/854845/854850/856804/856832/852672/852691/853169/856539/853230/852979/853594/853465/852442/850747/850877/852507/852559/855855/856268",20
"GO:0000447","GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/180","46/6396",0.000263160317402713,0.00393833026733716,0.00329547402918098,"852704/853762/855269/850298/854165/856228/851403",7
"GO:0000480","GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/180","33/6396",0.0002688282353745,0.00395496454754349,0.00330939308489572,"852704/853762/855269/854165/856228/851403",6
"GO:0015846","GO:0015846","polyamine transport","4/180","13/6396",0.000355489824451802,0.00514275279373607,0.00430329787494286,"856370/852331/853912/850631",4
"GO:0000472","GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/180","35/6396",0.000375992153468068,0.00535018342967677,0.00447686947183722,"852704/853762/855269/854165/856228/851403",6
"GO:0000967","GO:0000967","rRNA 5'-end processing","6/180","36/6396",0.000440781437378629,0.0061709401233008,0.00516365351088716,"852704/853762/855269/854165/856228/851403",6
"GO:0015695","GO:0015695","organic cation transport","4/180","14/6396",0.000486804793771731,0.00670708826974385,0.00561228584298236,"856370/853019/850631/855580",4
"GO:0019740","GO:0019740","nitrogen utilization","5/180","25/6396",0.000561154394639055,0.00761065647729218,0.0063683640181077,"850523/853019/853904/855580/851384",5
"GO:0009092","GO:0009092","homoserine metabolic process","4/180","15/6396",0.000649323949841254,0.00867097213018783,0.00725560365004802,"851736/856778/852691/853594",4
"GO:0034471","GO:0034471","ncRNA 5'-end processing","6/180","39/6396",0.000688438131037062,0.00905400451121469,0.00757611340375714,"852704/853762/855269/854165/856228/851403",6
"GO:0000966","GO:0000966","RNA 5'-end processing","6/180","40/6396",0.000791275451165661,0.0102511506210715,0.00857784856723183,"852704/853762/855269/854165/856228/851403",6
"GO:0006811","GO:0006811","ion transport","22/180","378/6396",0.000860226833680437,0.0109805425240385,0.00918818135045668,"851608/856646/856370/852343/852360/852956/853019/853714/853912/853926/852444/850631/855580/854030/854297/854397/850333/854530/854564/854565/855863/856324",22
"GO:0000055","GO:0000055","ribosomal large subunit export from nucleus","5/180","28/6396",0.000969387768481016,0.0121946171455293,0.0102040817734844,"851678/856723/853160/856488/855789",5
"GO:0006790","GO:0006790","sulfur compound metabolic process","12/180","150/6396",0.00100017704162258,0.01240219531612,0.0103777768228508,"851736/852076/856778/852672/852691/852752/856539/853594/850664/850877/855292/855855",12
"GO:0072488","GO:0072488","ammonium transmembrane transport","4/180","17/6396",0.00108329572902974,0.0132320758645469,0.0110721954238872,"856370/853019/850631/855580",4
"GO:0000478","GO:0000478","endonucleolytic cleavage involved in rRNA processing","7/180","58/6396",0.00111283587340083,0.0132320758645469,0.0110721954238872,"852704/853762/855269/850298/854165/856228/851403",7
"GO:0000479","GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/180","58/6396",0.00111283587340083,0.0132320758645469,0.0110721954238872,"852704/853762/855269/850298/854165/856228/851403",7
"GO:0009081","GO:0009081","branched-chain amino acid metabolic process","5/180","29/6396",0.00114496793497574,0.0134301644264722,0.0112379498596481,"851736/853473/855619/854275/850348",5
"GO:0055085","GO:0055085","transmembrane transport","25/180","464/6396",0.0011617483255897,0.0134453006214915,0.0112506153636055,"851574/851608/856646/856370/852331/856494/852343/852360/852956/853019/852401/853912/853926/852444/850631/855580/854030/854297/854397/850333/854530/855863/856171/856324/851329",25
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","7/180","59/6396",0.00123317766135243,0.013970120924804,0.01168976890385,"856646/852360/853912/852444/854297/850333/854530",7
"GO:0006006","GO:0006006","glucose metabolic process","8/180","76/6396",0.00123928492074874,0.013970120924804,0.01168976890385,"852821/853169/853356/853972/853465/852442/852519/855131",8
"GO:0006568","GO:0006568","tryptophan metabolic process","4/180","18/6396",0.00136246358949609,0.0147827299460326,0.0123697352204251,"851956/856824/852858/853669",4
"GO:0006586","GO:0006586","indolalkylamine metabolic process","4/180","18/6396",0.00136246358949609,0.0147827299460326,0.0123697352204251,"851956/856824/852858/853669",4
"GO:0042430","GO:0042430","indole-containing compound metabolic process","4/180","18/6396",0.00136246358949609,0.0147827299460326,0.0123697352204251,"851956/856824/852858/853669",4
"GO:0042255","GO:0042255","ribosome assembly","8/180","79/6396",0.00159624178810882,0.0169315179032921,0.0141677751070477,"853064/856488/853860/850652/855269/854075/855890/856228",8
"GO:0016051","GO:0016051","carbohydrate biosynthetic process","10/180","117/6396",0.00159952127657828,0.0169315179032921,0.0141677751070477,"854758/856832/853169/852920/853356/853972/853465/854872/852519/855131",10
"GO:0009069","GO:0009069","serine family amino acid metabolic process","6/180","46/6396",0.0016794283763836,0.0175631786831442,0.0146963294826213,"851736/856778/852691/853594/850747/855855",6
"GO:0015711","GO:0015711","organic anion transport","12/180","161/6396",0.00184506118140708,0.0190656322078731,0.0159535365309635,"856646/852360/852956/853714/853912/852444/854297/854397/850333/854530/855863/856324",12
"GO:0000469","GO:0000469","cleavage involved in rRNA processing","8/180","81/6396",0.00187634924362871,0.0191608369819967,0.0160332009672298,"852704/853762/855269/850298/854165/854461/856228/851403",8
"GO:0000105","GO:0000105","histidine biosynthetic process","3/180","10/6396",0.00227334687620676,0.022171517848848,0.0185524464172994,"856782/852550/850327",3
"GO:0006547","GO:0006547","histidine metabolic process","3/180","10/6396",0.00227334687620676,0.022171517848848,0.0185524464172994,"856782/852550/850327",3
"GO:0009097","GO:0009097","isoleucine biosynthetic process","3/180","10/6396",0.00227334687620676,0.022171517848848,0.0185524464172994,"851736/853473/850348",3
"GO:0052803","GO:0052803","imidazole-containing compound metabolic process","3/180","10/6396",0.00227334687620676,0.022171517848848,0.0185524464172994,"856782/852550/850327",3
"GO:0000054","GO:0000054","ribosomal subunit export from nucleus","6/180","49/6396",0.00233859590888514,0.0225544583212478,0.0188728792646871,"851678/856723/853160/856488/853714/855789",6
"GO:0015696","GO:0015696","ammonium transport","4/180","21/6396",0.00249470662156159,0.0237956631595105,0.0199114814213707,"856370/853019/850631/855580",4
"GO:0033750","GO:0033750","ribosome localization","6/180","50/6396",0.00259658437463624,0.0244982090998289,0.0204993503260756,"851678/856723/853160/856488/853714/855789",6
"GO:0009119","GO:0009119","ribonucleoside metabolic process","5/180","35/6396",0.00273099006749709,0.0254892406299728,0.0213286151281606,"852076/852241/853664/854948/855855",5
"GO:0006144","GO:0006144","purine nucleobase metabolic process","4/180","22/6396",0.00298289286367876,0.0275441596348209,0.0230481083531729,"854845/854850/855581/851272",4
"GO:0015801","GO:0015801","aromatic amino acid transport","3/180","11/6396",0.00306153996335356,0.0276814238353217,0.0231629668280039,"852360/853912/850333",3
"GO:0090293","GO:0090293","nitrogen catabolite regulation of transcription","3/180","11/6396",0.00306153996335356,0.0276814238353217,0.0231629668280039,"850523/853904/851384",3
"GO:0034220","GO:0034220","ion transmembrane transport","15/180","244/6396",0.00350133397920838,0.0307263768526393,0.0257108901628925,"851608/856646/856370/852343/852360/853019/853912/853926/852444/850631/855580/854030/854297/850333/854530",15
"GO:0006094","GO:0006094","gluconeogenesis","5/180","37/6396",0.00350450611568121,0.0307263768526393,0.0257108901628925,"853169/853356/853972/853465/852519",5
"GO:0019319","GO:0019319","hexose biosynthetic process","5/180","37/6396",0.00350450611568121,0.0307263768526393,0.0257108901628925,"853169/853356/853972/853465/852519",5
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","6/180","54/6396",0.00384685766074042,0.0333907244952268,0.0279403345885357,"851605/851705/851736/856778/850714/852551",6
"GO:0006549","GO:0006549","isoleucine metabolic process","3/180","12/6396",0.00399818191123627,0.0340237441073832,0.0284700259933233,"851736/853473/850348",3
"GO:0050667","GO:0050667","homocysteine metabolic process","3/180","12/6396",0.00399818191123627,0.0340237441073832,0.0284700259933233,"852691/853594/855855",3
"GO:0046364","GO:0046364","monosaccharide biosynthetic process","5/180","39/6396",0.00442407723993708,0.0372721743590786,0.031188212839879,"853169/853356/853972/853465/852519",5
"GO:0019318","GO:0019318","hexose metabolic process","8/180","93/6396",0.00446579047620297,0.0372721743590786,0.031188212839879,"852821/853169/853356/853972/853465/852442/852519/855131",8
"GO:0044106","GO:0044106","cellular amine metabolic process","5/180","40/6396",0.00494304892404729,0.0408625377721243,0.0341925188731091,"851956/856824/852858/853669/855993",5
"GO:0043102","GO:0043102","amino acid salvage","3/180","13/6396",0.00509098953727161,0.0412988683958108,0.0345576269622962,"852672/856539/855855",3
"GO:0071267","GO:0071267","L-methionine salvage","3/180","13/6396",0.00509098953727161,0.0412988683958108,0.0345576269622962,"852672/856539/855855",3
"GO:0000027","GO:0000027","ribosomal large subunit assembly","5/180","41/6396",0.00550380760866465,0.0438284862781735,0.0366743336550324,"856488/853860/850652/855269/854075",5
"GO:0009308","GO:0009308","amine metabolic process","5/180","41/6396",0.00550380760866465,0.0438284862781735,0.0366743336550324,"851956/856824/852858/853669/855993",5
"GO:0006576","GO:0006576","cellular biogenic amine metabolic process","4/180","26/6396",0.00558502127801567,0.0440708951756145,0.0368771739888116,"851956/856824/852858/853669",4
"GO:0098655","GO:0098655","cation transmembrane transport","11/180","164/6396",0.00632921497263899,0.0494933206869427,0.0414144934198284,"851608/856646/856370/853019/853912/853926/850631/855580/854297/850333/854530",11
"GO:0043650","GO:0043650","dicarboxylic acid biosynthetic process","4/180","27/6396",0.00641465319172014,0.0497135622358311,0.0415987847959295,"851605/851705/850714/852551",4
