"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009066","GO:0009066","aspartate family amino acid metabolic process","18/192","84/6396",2.96642073278943e-11,1.89427152508125e-09,1.55904367836076e-09,"854714/856268/853594/850877/856539/856778/852691/852672/853230/854834/852752/850714/854852/851736/855855/852412/855786/850664",18
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","16/192","70/6396",1.3934485766971e-10,8.30495351711474e-09,6.83523196569317e-09,"856147/854096/856268/856411/853669/853357/855993/854297/854479/852550/852241/853573/852507/855084/856800/853374",16
"GO:0071941","GO:0071941","nitrogen cycle metabolic process","8/192","12/6396",2.54934935211971e-10,1.42444895049689e-08,1.17236526127084e-08,"854096/853357/853904/855993/854479/856370/853573/852507",8
"GO:0009085","GO:0009085","lysine biosynthetic process","8/192","14/6396",1.46848820086555e-09,7.72252030337532e-08,6.35587153191964e-08,"854714/856778/852672/853230/854852/851736/852412/855786",8
"GO:0006553","GO:0006553","lysine metabolic process","8/192","15/6396",3.06628496586119e-09,1.44276776814732e-07,1.18744221115622e-07,"854714/856778/852672/853230/854852/851736/852412/855786",8
"GO:0009073","GO:0009073","aromatic amino acid family biosynthetic process","8/192","15/6396",3.06628496586119e-09,1.44276776814732e-07,1.18744221115622e-07,"851605/853669/852551/851705/852672/852858/851956/856824",8
"GO:0009084","GO:0009084","glutamine family amino acid biosynthetic process","10/192","30/6396",8.38347498120286e-09,3.74741331659768e-07,3.084236322032e-07,"856147/854096/856411/853357/854297/854479/853573/855084/856800/853374",10
"GO:0006555","GO:0006555","methionine metabolic process","11/192","47/6396",9.07874703211327e-08,3.86495230795679e-06,3.18097452403367e-06,"853594/850877/856539/856778/852691/852672/854834/852752/851736/855855/850664",11
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","16/192","108/6396",1.049057139337e-07,4.26298673894218e-06,3.50856909280653e-06,"853762/851584/854165/856228/851154/853048/851403/854793/854461/853188/855269/853784/852995/855335/852704/856095",16
"GO:0009072","GO:0009072","aromatic amino acid family metabolic process","9/192","31/6396",1.868776363094e-07,7.26385247220016e-06,5.97837381145404e-06,"851605/853669/852551/856539/851705/852672/852858/851956/856824",9
"GO:0019878","GO:0019878","lysine biosynthetic process via aminoadipic acid","6/192","11/6396",2.7601902583196e-07,1.02817087122405e-05,8.46216223932193e-06,"854714/852672/853230/854852/852412/855786",6
"GO:0009086","GO:0009086","methionine biosynthetic process","10/192","42/6396",2.99854721317826e-07,1.07228048343255e-05,8.82519790320675e-06,"853594/856539/856778/852691/852672/854834/852752/851736/855855/850664",10
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","18/192","147/6396",3.21661616038748e-07,1.10602109514862e-05,9.10289350652164e-06,"853762/851584/854165/856228/851154/853048/851403/854793/854461/853188/855269/853064/853784/852995/855335/852704/853714/856095",18
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","11/192","53/6396",3.39379907917434e-07,1.12372458399328e-05,9.24859866020609e-06,"853594/850877/856539/856778/852691/852672/854834/852752/851736/855855/850664",11
"GO:0030490","GO:0030490","maturation of SSU-rRNA","16/192","120/6396",4.66047763884681e-07,1.47927384689225e-05,1.21748783583855e-05,"853762/851584/854165/856228/851154/853048/851403/854793/854461/853188/855269/853784/852995/855335/852704/856095",16
"GO:0000097","GO:0000097","sulfur amino acid biosynthetic process","10/192","44/6396",4.79853932437083e-07,1.47927384689225e-05,1.21748783583855e-05,"853594/856539/856778/852691/852672/854834/852752/851736/855855/850664",10
"GO:0042254","GO:0042254","ribosome biogenesis","34/192","475/6396",1.31214124963163e-06,3.91018092390225e-05,3.21819906488599e-05,"853419/856863/856488/853762/854075/852854/851584/854165/856228/851678/851154/853860/853048/851403/850652/854793/856723/855789/854711/854461/853188/852439/855269/853064/853784/853160/851497/852995/851656/855335/853320/852704/853714/856095",34
"GO:0006364","GO:0006364","rRNA processing","28/192","351/6396",1.58001630775013e-06,4.45633508461506e-05,3.66770072312013e-05,"853419/856863/856488/853762/854075/852854/851584/854165/856228/851154/853860/853048/851403/850652/854793/856723/854711/854461/853188/852439/855269/853064/853784/852995/851656/855335/852704/856095",28
"GO:0009112","GO:0009112","nucleobase metabolic process","9/192","39/6396",1.59510875511948e-06,4.45633508461506e-05,3.66770072312013e-05,"854850/854845/854479/852241/853573/852648/855581/853664/851272",9
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","14/192","120/6396",1.22902787200632e-05,0.000332954823507165,0.00027403205184447,"856863/856488/854075/853860/850652/856723/852439/855269/853160/851497/852995/851656/855335/853320",14
"GO:0016072","GO:0016072","rRNA metabolic process","28/192","395/6396",1.54817747603408e-05,0.000407079606933666,0.000335039026547313,"853419/856863/856488/853762/854075/852854/851584/854165/856228/851154/853860/853048/851403/850652/854793/856723/854711/854461/853188/852439/855269/853064/853784/852995/851656/855335/852704/856095",28
"GO:0015849","GO:0015849","organic acid transport","12/192","93/6396",1.87947205528381e-05,0.000480070862121066,0.000395113072674703,"852401/854297/852360/856646/854397/850333/852444/853912/854530/855863/852956/856171",12
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","11/192","85/6396",4.10399128284167e-05,0.00101915783523901,0.000838798218335184,"853594/850877/856539/856778/852691/852672/854834/852752/851736/855855/850664",11
"GO:0006541","GO:0006541","glutamine metabolic process","6/192","24/6396",5.79878584332583e-05,0.0013746169093316,0.00113135195999386,"856147/856268/853669/854479/852550/852241",6
"GO:0034470","GO:0034470","ncRNA processing","30/192","471/6396",5.84289066606272e-05,0.0013746169093316,0.00113135195999386,"853419/856863/856488/853762/854075/852854/851584/854165/856228/851154/853860/853048/851403/850652/854793/856723/854711/854024/854461/853188/852439/855269/853064/853784/853996/852995/851656/855335/852704/856095",30
"GO:0009082","GO:0009082","branched-chain amino acid biosynthetic process","5/192","16/6396",7.7188565731083e-05,0.0017693994298356,0.00145627010650545,"854275/855619/853473/851736/850348",5
"GO:0046112","GO:0046112","nucleobase biosynthetic process","6/192","26/6396",9.43397245707678e-05,0.00208345016729218,0.00171474351458522,"854479/852241/853573/855581/853664/851272",6
"GO:1903825","GO:1903825","organic acid transmembrane transport","9/192","63/6396",9.55497280301781e-05,0.00208345016729218,0.00171474351458522,"852401/854297/852360/856646/850333/852444/853912/854530/856171",9
"GO:0006206","GO:0006206","pyrimidine nucleobase metabolic process","5/192","17/6396",0.000106701775239334,0.00227122350152298,0.00186928673915526,"854479/852241/853573/852648/853664",5
"GO:0010501","GO:0010501","RNA secondary structure unwinding","6/192","27/6396",0.000118293397749555,0.00245940226949074,0.00202416364815028,"853419/851584/850652/852439/855335/852704",6
"GO:0009309","GO:0009309","amine biosynthetic process","4/192","10/6396",0.000143428819338554,0.00278750792366668,0.0022942046846144,"853669/852858/851956/856824",4
"GO:0042401","GO:0042401","cellular biogenic amine biosynthetic process","4/192","10/6396",0.000143428819338554,0.00278750792366668,0.0022942046846144,"853669/852858/851956/856824",4
"GO:1902047","GO:1902047","polyamine transmembrane transport","4/192","10/6396",0.000143428819338554,0.00278750792366668,0.0022942046846144,"850631/856370/853912/852331",4
"GO:0006865","GO:0006865","amino acid transport","8/192","54/6396",0.000181321381263941,0.0034489641457439,0.00283860348272105,"854297/852360/856646/850333/852444/853912/854530/855863",8
"GO:0017144","GO:0017144","drug metabolic process","21/192","298/6396",0.000212855911583684,0.00393562365558304,0.00323913921494471,"854850/852076/856268/853594/853169/854845/852979/850877/853465/856539/856804/852559/852691/852672/853230/852442/852507/856832/850747/851016/855855",21
"GO:0003333","GO:0003333","amino acid transmembrane transport","7/192","42/6396",0.000217801919076661,0.00393562365558304,0.00323913921494471,"854297/852360/856646/850333/852444/853912/854530",7
"GO:0019856","GO:0019856","pyrimidine nucleobase biosynthetic process","4/192","11/6396",0.000220113179842452,0.00393562365558304,0.00323913921494471,"854479/852241/853573/853664",4
"GO:0000463","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/192","44/6396",0.000294061726260601,0.0051547290838623,0.00424250044697957,"856863/856488/856723/852439/855269/852995/855335",7
"GO:0046942","GO:0046942","carboxylic acid transport","10/192","89/6396",0.000304009014748701,0.00522661652279497,0.00430166601840773,"854297/852360/856646/854397/850333/852444/853912/854530/855863/852956",10
"GO:0071265","GO:0071265","L-methionine biosynthetic process","5/192","21/6396",0.000318153558530182,0.00536659021369779,0.00441686866757889,"853594/856539/852691/852672/855855",5
"GO:0000480","GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/192","33/6396",0.000380943862365647,0.00630673727694238,0.00519063859246759,"853762/854165/856228/851403/855269/852704",6
"GO:0009069","GO:0009069","serine family amino acid metabolic process","7/192","46/6396",0.000390424140820478,0.00634616694351832,0.00522309041978018,"853594/856778/852691/854834/850747/851736/855855",7
"GO:0015846","GO:0015846","polyamine transport","4/192","13/6396",0.000454879869072386,0.00726183219554845,0.00597671106168418,"850631/856370/853912/852331",4
"GO:0000472","GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/192","35/6396",0.00053109556956469,0.00819349899304361,0.00674350146725243,"853762/854165/856228/851403/855269/852704",6
"GO:0006790","GO:0006790","sulfur compound metabolic process","13/192","150/6396",0.000531569285902158,0.00819349899304361,0.00674350146725243,"852076/853594/850877/856539/856778/852691/852672/854834/852752/851736/855855/855292/850664",13
"GO:0000967","GO:0000967","rRNA 5'-end processing","6/192","36/6396",0.0006216162153069,0.00926733224536495,0.00762729923408702,"853762/854165/856228/851403/855269/852704",6
"GO:0015695","GO:0015695","organic cation transport","4/192","14/6396",0.000621968607071473,0.00926733224536495,0.00762729923408702,"850631/856370/855580/853019",4
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","19/192","281/6396",0.000718523115621383,0.0105304863174675,0.00866691385365568,"854850/852076/852934/853169/854845/853465/854479/852241/853573/852442/854948/852648/855581/853163/854744/853664/855855/855149/851272",19
"GO:0019740","GO:0019740","nitrogen utilization","5/192","25/6396",0.000753385973259851,0.0108633396789404,0.00894086239912794,"853904/850523/851384/855580/853019",5
"GO:0009092","GO:0009092","homoserine metabolic process","4/192","15/6396",0.000828362541778872,0.0117548589261954,0.00967461013706652,"853594/856778/852691/851736",4
"GO:0034471","GO:0034471","ncRNA 5'-end processing","6/192","39/6396",0.000966238706044348,0.013497146925057,0.0111085667027138,"853762/854165/856228/851403/855269/852704",6
"GO:0000966","GO:0000966","RNA 5'-end processing","6/192","40/6396",0.00110880643550841,0.0150192871718866,0.0123613349030363,"853762/854165/856228/851403/855269/852704",6
"GO:0044106","GO:0044106","cellular amine metabolic process","6/192","40/6396",0.00110880643550841,0.0150192871718866,0.0123613349030363,"853669/855993/852858/854834/851956/856824",6
"GO:0000470","GO:0000470","maturation of LSU-rRNA","7/192","55/6396",0.00117875029914058,0.0157283995139056,0.0129449561523843,"856863/856488/856723/852439/855269/852995/855335",7
"GO:0000466","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","9/192","88/6396",0.00120937008513094,0.0158996596486333,0.013085908506293,"856863/856488/853762/854165/856228/851403/852439/855269/852704",9
"GO:0009308","GO:0009308","amine metabolic process","6/192","41/6396",0.00126697291771522,0.0164155621512668,0.0135105121202584,"853669/855993/852858/854834/851956/856824",6
"GO:0000055","GO:0000055","ribosomal large subunit export from nucleus","5/192","28/6396",0.001295406054163,0.0165103316304332,0.0135885103139913,"856488/851678/856723/855789/853160",5
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","9/192","89/6396",0.00131122320554894,0.0165103316304332,0.0135885103139913,"856863/856488/853762/854165/856228/851403/852439/855269/852704",9
"GO:0055085","GO:0055085","transmembrane transport","26/192","464/6396",0.00135898005374064,0.0168739048728741,0.0138877422655587,"851329/851608/9164887/852401/850631/854297/852360/856370/856646/854397/850333/856494/852444/856324/851574/855580/854030/853926/853912/853019/852331/852343/854530/855863/852956/856171",26
"GO:0072488","GO:0072488","ammonium transmembrane transport","4/192","17/6396",0.00137784681847854,0.0168739048728741,0.0138877422655587,"850631/856370/855580/853019",4
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","8/192","73/6396",0.00144037844484902,0.0174013287796625,0.01432182834921,"851215/856591/852334/852445/854062/852920/851016/852331",8
"GO:0009081","GO:0009081","branched-chain amino acid metabolic process","5/192","29/6396",0.00152766542312543,0.0182097718436551,0.0149872018352936,"854275/855619/853473/851736/850348",5
"GO:0032989","GO:0032989","cellular component morphogenesis","10/192","110/6396",0.00162588767532395,0.0189773691014282,0.0156189579676184,"851215/856591/852334/852328/852445/854062/856324/852920/851016/852331",10
"GO:0042737","GO:0042737","drug catabolic process","6/192","43/6396",0.00163451613065993,0.0189773691014282,0.0156189579676184,"854850/854845/852979/856804/852507/851016",6
"GO:0006568","GO:0006568","tryptophan metabolic process","4/192","18/6396",0.00173032745640628,0.0193364093253402,0.0159144591056315,"853669/852858/851956/856824",4
"GO:0006586","GO:0006586","indolalkylamine metabolic process","4/192","18/6396",0.00173032745640628,0.0193364093253402,0.0159144591056315,"853669/852858/851956/856824",4
"GO:0042430","GO:0042430","indole-containing compound metabolic process","4/192","18/6396",0.00173032745640628,0.0193364093253402,0.0159144591056315,"853669/852858/851956/856824",4
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","7/192","59/6396",0.0017913502125492,0.0197711986422097,0.0162723040750083,"854297/852360/856646/850333/852444/853912/854530",7
"GO:0006811","GO:0006811","ion transport","22/192","378/6396",0.00201313350970526,0.0219480653375184,0.0180639322629522,"851608/850631/854297/852360/854565/854564/856370/856646/854397/850333/852444/856324/855580/854030/853926/853912/853019/852343/854530/855863/852956/853714",22
"GO:0000447","GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/192","46/6396",0.00233109047583975,0.0251083721132619,0.0206649618593784,"853762/854165/856228/851403/855269/852704",6
"GO:0006534","GO:0006534","cysteine metabolic process","4/192","20/6396",0.00261394446295166,0.0277797047553748,0.0228635507170694,"853594/852691/854834/855855",4
"GO:0000105","GO:0000105","histidine biosynthetic process","3/192","10/6396",0.00273446758218455,0.0277797047553748,0.0228635507170694,"852550/856782/850327",3
"GO:0006547","GO:0006547","histidine metabolic process","3/192","10/6396",0.00273446758218455,0.0277797047553748,0.0228635507170694,"852550/856782/850327",3
"GO:0009097","GO:0009097","isoleucine biosynthetic process","3/192","10/6396",0.00273446758218455,0.0277797047553748,0.0228635507170694,"853473/851736/850348",3
"GO:0052803","GO:0052803","imidazole-containing compound metabolic process","3/192","10/6396",0.00273446758218455,0.0277797047553748,0.0228635507170694,"852550/856782/850327",3
"GO:0015696","GO:0015696","ammonium transport","4/192","21/6396",0.00315413055810966,0.0314034434452382,0.0258459990206306,"850631/856370/855580/853019",4
"GO:0015711","GO:0015711","organic anion transport","12/192","161/6396",0.00316142048106425,0.0314034434452382,0.0258459990206306,"854297/852360/856646/854397/850333/852444/856324/853912/854530/855863/852956/853714",12
"GO:0000054","GO:0000054","ribosomal subunit export from nucleus","6/192","49/6396",0.00323072339783408,0.0317391946996007,0.0261223326210066,"856488/851678/856723/855789/853160/853714",6
"GO:0030476","GO:0030476","ascospore wall assembly","6/192","50/6396",0.0035814964732718,0.0328755133185817,0.0270575577648518,"851215/856591/852334/852920/851016/852331",6
"GO:0033750","GO:0033750","ribosome localization","6/192","50/6396",0.0035814964732718,0.0328755133185817,0.0270575577648518,"856488/851678/856723/855789/853160/853714",6
"GO:0042244","GO:0042244","spore wall assembly","6/192","50/6396",0.0035814964732718,0.0328755133185817,0.0270575577648518,"851215/856591/852334/852920/851016/852331",6
"GO:0070590","GO:0070590","spore wall biogenesis","6/192","50/6396",0.0035814964732718,0.0328755133185817,0.0270575577648518,"851215/856591/852334/852920/851016/852331",6
"GO:0070591","GO:0070591","ascospore wall biogenesis","6/192","50/6396",0.0035814964732718,0.0328755133185817,0.0270575577648518,"851215/856591/852334/852920/851016/852331",6
"GO:0009070","GO:0009070","serine family amino acid biosynthetic process","5/192","35/6396",0.00361024972767268,0.0328755133185817,0.0270575577648518,"853594/856778/852691/854834/851736",5
"GO:0009119","GO:0009119","ribonucleoside metabolic process","5/192","35/6396",0.00361024972767268,0.0328755133185817,0.0270575577648518,"852076/852241/854948/853664/855855",5
"GO:0015801","GO:0015801","aromatic amino acid transport","3/192","11/6396",0.00367735048306283,0.0328755133185817,0.0270575577648518,"852360/850333/853912",3
"GO:0090293","GO:0090293","nitrogen catabolite regulation of transcription","3/192","11/6396",0.00367735048306283,0.0328755133185817,0.0270575577648518,"853904/850523/851384",3
"GO:0006144","GO:0006144","purine nucleobase metabolic process","4/192","22/6396",0.00376576244295143,0.0333325903366196,0.0274337461972178,"854850/854845/855581/851272",4
"GO:0071940","GO:0071940","fungal-type cell wall assembly","6/192","51/6396",0.00395982090243037,0.0347066655565956,0.0285646523302253,"851215/856591/852334/852920/851016/852331",6
"GO:0070726","GO:0070726","cell wall assembly","6/192","52/6396",0.00436697171655506,0.0375391607173099,0.0308958828934412,"851215/856591/852334/852920/851016/852331",6
"GO:1901657","GO:1901657","glycosyl compound metabolic process","6/192","52/6396",0.00436697171655506,0.0375391607173099,0.0308958828934412,"852076/852241/854024/854948/853664/855855",6
"GO:0006094","GO:0006094","gluconeogenesis","5/192","37/6396",0.00461863500218221,0.0389533933202915,0.0320598397867464,"853169/852519/853465/853972/853356",5
"GO:0019319","GO:0019319","hexose biosynthetic process","5/192","37/6396",0.00461863500218221,0.0389533933202915,0.0320598397867464,"853169/852519/853465/853972/853356",5
"GO:0006549","GO:0006549","isoleucine metabolic process","3/192","12/6396",0.00479565078746134,0.03969733151843,0.0326721237859208,"853473/851736/850348",3
"GO:0050667","GO:0050667","homocysteine metabolic process","3/192","12/6396",0.00479565078746134,0.03969733151843,0.0326721237859208,"853594/852691/855855",3
"GO:0030437","GO:0030437","ascospore formation","9/192","109/6396",0.00526255763861866,0.0424680350250879,0.0349524979189173,"851215/856591/852334/852445/854062/852920/856832/851016/852331",9
"GO:0048468","GO:0048468","cell development","9/192","109/6396",0.00526255763861866,0.0424680350250879,0.0349524979189173,"851215/856591/852334/852445/854062/852920/856832/851016/852331",9
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","6/192","54/6396",0.005272876831974,0.0424680350250879,0.0349524979189173,"851605/852551/856778/851705/850714/851736",6
"GO:0009653","GO:0009653","anatomical structure morphogenesis","14/192","217/6396",0.00548655711724187,0.0434069209098605,0.035725229855166,"851215/856149/856591/852334/852328/855982/851488/852445/854062/856324/852920/856832/851016/852331",14
"GO:0048856","GO:0048856","anatomical structure development","14/192","217/6396",0.00548655711724187,0.0434069209098605,0.035725229855166,"851215/856149/856591/852334/852328/855982/851488/852445/854062/856324/852920/856832/851016/852331",14
"GO:0030435","GO:0030435","sporulation resulting in formation of a cellular spore","12/192","173/6396",0.00564478567094222,0.0442670034194942,0.0364331041919539,"851215/856149/856591/852334/855982/851488/852445/854062/852920/856832/851016/852331",12
"GO:0046364","GO:0046364","monosaccharide biosynthetic process","5/192","39/6396",0.00581277911354702,0.0451880393696612,0.0371911450834724,"853169/852519/853465/853972/853356",5
"GO:0043102","GO:0043102","amino acid salvage","3/192","13/6396",0.00609788206297803,0.0465940731991655,0.0383483541342478,"856539/852672/855855",3
"GO:0071267","GO:0071267","L-methionine salvage","3/192","13/6396",0.00609788206297803,0.0465940731991655,0.0383483541342478,"856539/852672/855855",3
"GO:0034220","GO:0034220","ion transmembrane transport","15/192","244/6396",0.00637936941282532,0.0483318326700495,0.0397785835822025,"851608/850631/854297/852360/856370/856646/850333/852444/855580/854030/853926/853912/853019/852343/854530",15
"GO:0043934","GO:0043934","sporulation","12/192","176/6396",0.00646078998196505,0.0485373633939223,0.0399477416841536,"851215/856149/856591/852334/855982/851488/852445/854062/852920/856832/851016/852331",12
