"","ID","Description","Count","GeneRatio","geneID"
"GO:0003700","GO:0003700","DNA binding transcription factor activity",105,"105/1471","2294/8929/3217/162962/11278/6689/7620/7023/7704/2804/79027/5079/63976/388962/57594/344022/80714/8939/6874/23589/4774/9753/84891/2077/6663/2296/3662/23528/23152/54862/255877/4603/7020/23300/7596/3661/9202/25909/4205/57057/7760/9534/7789/9839/5813/4084/50674/10795/57677/29842/23660/8456/80152/80034/200350/22926/55689/1870/4851/153222/22809/51351/430/23462/84458/326/29128/1499/7024/3091/284349/7421/2313/7546/7673/5453/57801/342357/196/6659/29841/4779/93649/579/79618/57708/2298/22823/64864/54039/22806/5933/170302/84667/152815/145258/83463/26974/2019/90993/7494/10320/80110/9668/7626"
"GO:0022857","GO:0022857","transmembrane transporter activity",86,"86/1471","2893/7036/117531/634/154664/776/79085/30819/7018/84889/6506/113829/682/6891/3767/3743/6326/79054/11309/5002/387700/8514/7109/3685/80036/6533/152519/114780/136306/55652/25769/116443/10568/2565/7222/57153/1144/9312/6340/113235/6581/6507/245972/219931/10396/2555/2563/2706/2903/81894/6579/5024/219527/1836/9154/6547/51393/779/6338/492/26521/6574/27109/343/9914/90134/203859/563/8402/1497/343450/57709/10050/6568/10786/53405/6529/113655/65012/10560/6512/151473/6323/285195/54499/148867"
"GO:0044877","GO:0044877","protein-containing complex binding",84,"84/1471","80315/5357/10018/7018/55140/960/137994/645027/4318/636/8968/4193/7456/90459/7450/3481/139285/3685/3092/9491/339451/4082/23300/10552/51585/2779/8350/4035/5499/916/10763/3183/4322/2774/7739/2125/9578/10580/22989/5167/120892/1058/5578/8174/55037/3824/6731/94/3084/29128/2887/8425/494324/26155/4635/9555/10272/408/7155/11047/4779/7443/84962/4436/79618/22823/8266/10163/53616/3326/8751/9887/3020/2213/3480/975/3066/931/4604/85477/5317/1794/147372/644150"
"GO:0060089","GO:0060089","molecular transducer activity",71,"71/1471","2893/10461/222611/390649/960/5956/2321/8549/27242/126259/187/50839/50835/50837/8793/3593/3685/163702/64123/11057/23566/51289/2532/2064/916/116443/2565/219869/799/1144/8633/961/4883/126541/165829/2555/2563/57007/2324/2903/5024/3824/4851/94/120787/115350/8425/26533/7421/4486/929/7850/3689/3363/196/5734/7133/10871/11314/11024/2213/3480/57115/22859/4159/29933/8764/346517/8484/81793/26538"
"GO:0030234","GO:0030234","enzyme regulator activity",70,"70/1471","5922/3268/55140/134266/79774/284352/5527/81669/6295/3698/9655/5345/3481/57018/29947/5998/1029/9491/83478/5147/5707/9839/6355/7040/57498/28964/10294/4660/9858/161742/5599/3627/120892/79849/66036/650/9467/57568/4851/3084/79822/3993/57465/2258/129049/55803/5149/83667/9555/10188/11140/55450/408/11047/8530/10144/343578/613/54776/115703/3326/6692/9754/9024/3300/23677/3699/729873/414060/1794"
"GO:0000988","GO:0000988","transcription factor activity, protein binding",50,"50/1471","5579/11278/54797/63976/57594/6874/9604/2077/6663/51132/116931/6907/2296/23528/4603/7020/8805/3661/4205/57057/6996/112950/4084/8031/50674/29842/56970/22926/4851/3084/22809/23462/326/1499/51567/26155/3091/7994/124359/7421/5453/10514/6659/4779/93649/84962/9792/9734/11030/23175"
"GO:0016491","GO:0016491","oxidoreductase activity",48,"48/1471","123099/55349/6648/1718/1962/84105/4016/51060/2109/6309/8514/125/7837/1371/9682/220002/27294/7295/441024/3948/6713/8529/55967/239/650/7054/645/340811/55711/1737/83667/54363/51302/53905/4715/2766/79831/2731/2539/3614/1356/5226/7306/2877/10493/240/54905/1645"
"GO:0003682","GO:0003682","chromatin binding",46,"46/1471","5579/322/8968/4774/6663/2296/23152/7020/8805/1786/84733/4205/8350/3183/50674/1058/4851/22809/6829/326/10919/29128/1499/26155/1663/2313/7546/9555/7155/257101/7936/29841/7443/84962/79987/79831/170959/22823/9869/5933/170302/3020/4998/3066/90993/90381"
"GO:0008289","GO:0008289","lipid binding",45,"45/1471","5922/90203/57732/112574/57758/9833/6857/55614/29993/139285/3092/92017/23566/8938/9066/26509/114882/57017/127833/92747/9784/154661/6456/5009/29924/284110/55803/7421/124460/55204/929/222642/4779/114609/9362/57590/115703/221749/9754/11314/148281/29091/85477/6402/1645"
"GO:0030545","GO:0030545","receptor regulator activity",30,"30/1471","347148/5179/94027/3481/7837/3593/6355/7040/56477/2255/8744/970/7292/3627/650/3084/2258/4880/374/2069/8074/116173/6846/9518/9235/7477/90865/9547/2668/441549"
"GO:0048037","GO:0048037","cofactor binding",23,"23/1471","2977/55349/55140/1718/7837/55652/84706/6713/4942/8529/2729/7054/6947/1663/54363/5980/56339/51302/53905/2731/2539/6898/54905"
"GO:0033218","GO:0033218","amide binding",22,"22/1471","100101267/322/30819/1718/320/3685/23534/2346/23542/799/113235/4883/11015/929/3689/3326/2213/3480/9520/4159/8484/6199"
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity",22,"22/1471","152831/7109/60684/10411/79961/2064/51332/2255/23101/8925/389337/6103/2903/3084/2069/8074/55619/613/22878/2668/115557/1794"
"GO:0030246","GO:0030246","carbohydrate binding",20,"20/1471","157869/8972/682/79623/89790/10394/946/89858/114780/57452/5167/3824/56241/158326/10462/2539/5553/22859/6402/64841"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",16,"16/1471","27343/23064/2067/1786/6996/51659/1107/8438/51567/1663/10514/27301/5980/7155/79618/9401"
"GO:0016829","GO:0016829","lyase activity",15,"15/1471","2977/27343/108/111/113/1962/84105/4953/4597/230/646625/60490/27301/171425/2731"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",15,"15/1471","51106/9704/10171/90459/10595/440400/9416/5435/51567/246175/56339/563/80222/9887/91893"
"GO:1901681","GO:1901681","sulfur compound binding",15,"15/1471","1056/3918/4035/6355/2255/9508/9982/5167/3627/55501/64094/5549/56339/5553/6402"
"GO:0005057","GO:0005057","signal transducer activity, downstream of receptor",14,"14/1471","10461/2321/2064/916/5599/2324/94/4293/6885/1796/11183/4486/5600/3480"
"GO:0060090","GO:0060090","molecular adaptor activity",14,"14/1471","8470/636/26747/3092/23542/2125/10580/2266/117157/2887/55803/408/114609/387755"
"GO:0016874","GO:0016874","ligase activity",13,"13/1471","4193/10171/8945/54988/348158/116285/2180/23093/23305/2729/5198/80222/91893"
"GO:0072341","GO:0072341","modified amino acid binding",9,"9/1471","6857/9066/114882/113235/284110/9362/11314/148281/85477"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",8,"8/1471","5357/8470/7277/636/3092/3866/10382/8419"
"GO:0042562","GO:0042562","hormone binding",8,"8/1471","11057/799/1144/4883/7421/3480/4159/8484"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",7,"7/1471","2201/284217/7837/4584/7286/5549/4588"
"GO:0001618","GO:0001618","virus receptor activity",7,"7/1471","9076/3685/3693/9074/9080/975/8764"
"GO:0016853","GO:0016853","isomerase activity",6,"6/1471","54517/1962/126789/239/7155/2582"
"GO:0005044","GO:0005044","scavenger receptor activity",6,"6/1471","157869/4035/5167/57007/56241/8492"
"GO:0005319","GO:0005319","lipid transporter activity",6,"6/1471","634/23250/11309/114882/10396/6579"
"GO:0005326","GO:0005326","neurotransmitter transporter activity",6,"6/1471","6506/6533/57153/6507/6529/6512"
"GO:0008565","GO:0008565","protein transporter activity",6,"6/1471","23534/4035/799/91782/563/10693"
"GO:0016247","GO:0016247","channel regulator activity",6,"6/1471","5579/30819/8514/79849/219527/2258"
"GO:0009975","GO:0009975","cyclase activity",5,"5/1471","2977/108/111/113/10171"
"GO:0005231","GO:0005231","excitatory extracellular ligand-gated ion channel activity",5,"5/1471","2893/116443/1144/2903/5024"
"GO:0003735","GO:0003735","structural constituent of ribosome",5,"5/1471","63931/6122/6173/51258/6155"
"GO:0032947","GO:0032947","protein-containing complex scaffold activity",5,"5/1471","339451/916/23542/120892/1981"
"GO:0005212","GO:0005212","structural constituent of eye lens",4,"4/1471","1409/1371/1412/8419"
"GO:0003823","GO:0003823","antigen binding",4,"4/1471","1718/7040/3824/11024"
"GO:0042165","GO:0042165","neurotransmitter binding",4,"4/1471","116443/1144/3363/2731"
"GO:0008307","GO:0008307","structural constituent of muscle",3,"3/1471","8470/5339/4604"
"GO:0001871","GO:0001871","pattern binding",3,"3/1471","157869/5167/56241"
"GO:0098631","GO:0098631","cell adhesion mediator activity",3,"3/1471","5499/8174/29091"
"GO:0051540","GO:0051540","metal cluster binding",3,"3/1471","55140/1663/5980"
"GO:0004601","GO:0004601","peroxidase activity",3,"3/1471","7837/53905/2877"
"GO:0032451","GO:0032451","demethylase activity",2,"2/1471","9682/79831"
"GO:0004879","GO:0004879","nuclear receptor activity",2,"2/1471","7421/196"
"GO:0004708","GO:0004708","MAP kinase kinase activity",2,"2/1471","120892/4293"
"GO:0099604","GO:0099604","ligand-gated calcium channel activity",2,"2/1471","219931/2903"
"GO:0098748","GO:0098748","endocytic adaptor activity",2,"2/1471","3092/408"
"GO:0017056","GO:0017056","structural constituent of nuclear pore",2,"2/1471","100101267/55706"
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",2,"2/1471","2201/4604"
"GO:0015643","GO:0015643","toxic substance binding",2,"2/1471","2053/1828"
"GO:0030371","GO:0030371","translation repressor activity",2,"2/1471","80315/5813"
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding",2,"2/1471","80315/5813"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",1,"1/1471","57115"
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity",1,"1/1471","3084"
"GO:0004998","GO:0004998","transferrin receptor activity",1,"1/1471","7036"
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",1,"1/1471","4035"
"GO:0030226","GO:0030226","apolipoprotein receptor activity",1,"1/1471","4035"
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",1,"1/1471","4035"
"GO:0030280","GO:0030280","structural constituent of epidermis",1,"1/1471","5317"
